ID,Name,Glottocode,Latitude,Longitude,Clade,Location,Quality
Wj,Wanji,oldw1238,38.37,71.46,Other,,
WK,Wadiyara Koli,wadi1248,26.07,72.13,Gujaratic,,
Wkh,Wakhi,wakh1245,37.18,73.98,Other,,
Wot,Wotapuri,wota1240,34.70,70.86,Kohistani,,
WPah,West Pahari,hima1250,31.01,77.53,W. Pahari,,
WPahpoet,West Pahari (poetic),hima1250,31.01,77.53,W. Pahari,,
X,Khufi,khuf1238,37.86,71.60,Other,,
Yazgh,Yazghulami,yazg1240,38.28,71.56,Other,,
Yghn,Yaghnobi,yagn1238,39.15,69.24,Other,,
Yid,Yidgha,yidg1240,36.01,71.51,Other,,
Zadj,Zadjali,jadg1238,23.5880,58.3829,Sindhic,,
Naiki,Naiki (Chanda),naik1250,19.95,79.297,C. Dravidian,,
Ni,Nihali,niha1238,21.19,76.33,Nihali,,
NDu,Chhattisgarhi,chha1249,21.225068,82.028298,E. Hindi,,C
SSr,Surgujia,surg1246,23.045719,83.189104,E. Hindi,,C
jhang,Jatki,jatk1238,32.139652,72.653674,Lahndic,,C
mahasu,Mahasu Pahari,maha1287,31.01,77.53,W. Pahari,,
kaithal,Haryanvi,hary1238,28.91568,76.37168,W. Hindi,,C
bagri_fatehabad,Bagri,bagr1243,29.40465,74.40918,Rajasthanic,,C
dhundari_badagaon,Shekhawati,shek1243,27.978027,75.163279,Rajasthanic,,C
dhundari_bamore,Dhundari,dhun1238,26.696403,75.972699,Rajasthanic,,C
hadothi_kelwada,Shahawadi,hada1254,25.138213,76.876916,Rajasthanic,,C
marwari_bagra,Godwari,godw1241,25.417504,73.107785,Rajasthanic,,C
mewari_bannoda,Wagri,wagd1238,24.137701,74.047239,Bhil,,C
mewari_basad,Malvi,malv1243,24.243083,75.027707,Rajasthanic,,C
mewari_dholpura,Mewari,mewa1249,25.084731,74.220835,Rajasthanic,,C
mewati_akera,Mewati,mewa1250,27.817648,77.035043,Rajasthanic,,C
mewati_jhambaus,Ahirwadi,mewa1250,28.235628,76.927847,Rajasthanic,,C
markodi,Markodi,,12.350567,75.23855,S. Dravidian I,,C
bagheli_lakshman,Bagheli,bagh1251,24.482879,81.356341,E. Hindi,,C
bundeli_atarra,Bundeli,bund1253,25.008376,79.564258,W. Hindi,,C
maimani,Maimani,luwa1238,23.616667,58.566667,Sindhic,,
luwati,Luwati,luwa1238,23.621347,58.561492,Sindhic,,
Rana,Rana Tharu,rana1246,28.65,80.44,Bihari,,
Dang,Dangaura Tharu,dang1260,27.88,81.78,Bihari,,
Chitwan,Chitwania Tharu,chit1274,27.58,84.41,Bihari,,
Morang,Morangia Tharu,thar1284,26.666667,87.5,Bihari,,
sambalpuri,Sambalpuri,samb1261,21.22,83.93,Eastern,,
Kannauji-Central,Kannauji,kana1281,27.0437956,79.8951742,W. Hindi,,
Tharu-BNM,Bhuksa Tharu,thar1284,29.397962,79.126163,Bihari,,C
Tharu-TkN,Thakur Tharu,thar1284,28.959116,80.304593,Bihari,,C
Tharu-KkP,Kathoriya Tharu,thar1284,28.53981,80.797511,Bihari,,C
Tharu-SkP,Sunha Tharu,thar1284,28.837028,80.320613,Bihari,,C
Tharu-DDK,Dang Tharu,thar1284,28.040015,82.3318,Bihari,,C
Balti,Balti,balt1258,35.129909,76.023132,Other,,C
SSNP-chitral-SSS,Savi,savi1242,35,71.5,Shinaic,,C
SSNP-chitral-GWB,Gawar-bati,gawa1247,35.3,71.56,Kunar,,C
SSNP-chitral-KAT,Kati,kati1270,35.45573,70.55901,Nuristani,,C
SSNP-hindko-DIK,Siraiki,sera1259,34,71.41,Lahndic,,C
SSNP-hindko-TAL,Awankari,avan1234,32.93,72.42,Lahndic,,C
SSNP-kohistani-DSH,Gawri,kala1373,35.505494,72.482537,Kohistani,,C
SSNP-gojri-KUN,Gujari,guja1253,34.043002,73.225443,Rajasthanic,,C
SSNP-ushojo-USH,Ushojo,usho1238,35.139395,72.67756,Shinaic,,C
TurkicUnspec,Turkic (unspecified),,,,Other,,C
HKAT-prs_d,Darwazi,darw1234,38.33353,70.6845,Other,,C
HKAT-isk,Ishkashimi,ishk1244,36.73882,71.55875,Other,,C
HKAT-kir,Kyrgyz,kirg1245,36.89837,73.97764,Other,,C
HKAT-lbj,Ladakhi,lada1244,34.1224,77.25266,Other,,C
HKAT-prx,Purik,puri1258,34.33588,76.0115,Other,,C
HKAT-sgh_r,Rushani,rosh1238,37.8916,71.42285,Other,,C
HKAT-uzs,Uzbek,sout2699,37.07386,70.3878,Other,,C
WesternMagar,Western Magar,west2418,28.2462,83.511,Other,"Palpa, Syangja, Tanahu, and Nawalpur districts, Nepal",C
DewasDoneDanuwar,Dewas-Done Danuwar,dhan1265,27.36,85.41,Bihari,"Makwanpur, Sindhuli, Kavre, and neighboring districts, Nepal",C
KochariyaEastDanuwar,Kochariya-East Danuwar,koch1253,27.12,85.63,Bihari,"Bara, eastern Sindhuli, and neighboring districts, Nepal",C
Hajong,Hajong,hajo1238,25.5143,89.8594,Eastern,Bangladesh and India (Glottolog language coordinate),B
Mahali,Mahali,maha1291,22.1698,86.7445,Munda,Glottolog language coordinate,B
Koda,Koda,koda1236,23.234,87.479,Munda,Glottolog language coordinate,B
KolBangladesh,Kol (Bangladesh),kolb1241,24.5318,88.337,Munda,Glottolog language coordinate,B
Sampang,Sampang,samp1249,27.2999,87.0019,Other,Glottolog language coordinate,B
EasternMewahang,Eastern Mewahang,east2357,27.5103,87.1134,Other,Glottolog language coordinate,B
WesternMewahang,Western Mewahang,west2422,27.4265,87.2893,Other,Glottolog language coordinate,B
Chhulung,Chhulung,chhu1238,26.9107,87.2133,Other,Glottolog 5.3 language coordinate,B
MagahiNepal,Magahi (Nepal survey),maga1260,25.0915,85.3335,Bihari,Glottolog 5.3 language coordinate; parent for the five Nepal survey sites,B
