Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	PDF_Page	Printed_Page	Response	Review
1	sky	1		akaʃ	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	2		rɨvan	al	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	3		van	bijm	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	4		hɔn	ck	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	5		kɨnːi	gh	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	5		kəní	e	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	1		ʃurdʒo	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	2		ni	abijlm	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	3		kɨnːi	g	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	3		kəní	e	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	3		khɔni	ck	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	4		kɨnːi	g	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	4		kɨnːito	h	53	50	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	4		kəní	e	53	50	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	1		tʃãd	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	2		hla	abil	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	3		khrɔ	ck	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	4		lo	e	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	4		lou̯	gh	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	5		thla	jm	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	6		lo	e	53	50	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
4	star	1		taɾa	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
4	star	2		arfi	bi	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
4	star	2		arʃi	ajlm	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
4	star	3		arʃi	ajlm	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
4	star	3		aʃɛ	ck	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
4	star	4		aʃɛ	ck	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
4	star	4		kai̯ʃi	gh	53	50	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
4	star	5		kɑːishí	e	53	50	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
4	star	5		kai̯ʃi	gh	53	50	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
5	cloud	1		mɛgh	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
5	cloud	2		mɛi̯tʃhum	al	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
5	cloud	3		vandom	bi	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
5	cloud	4		khɔhiu̯ŋ	ck	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
5	cloud	4		khupniŋ	gh	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
5	cloud	5		tʃhum	jm	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
5	cloud	6		khupniŋ	gh	53	50	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
5	cloud	7		təmɑi	e	53	50	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
6	rain	1		bɾɪʃʈi	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
6	rain	2		khɔ	ck	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
6	rain	2		khua̯	al	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
6	rain	3		rua̯ʔ	bijm	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
6	rain	4		kɨnːiamːai̯	h	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
6	rain	4		kɨnːinai̯	g	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
6	rain	4		kəní nɑ́iʔ	e	53	50	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	1		ɾɔŋdhɔnu	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	2		tʃuŋtʃaʔai̯khɔ	a	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	3		dumːətʃa	l	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	3		tʃumtʃa	bi	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	4		dɔgɔhɔm	c	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	4		hnə̃gahom	k	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	5		ʃia̯ɛ	g	53	50	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	6		khɛʔɛ	h	53	50	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	7		tʃhimbal	jm	53	50	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
7	rainbow	8		shanjœ́	e	53	50	10	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
8	wind	0			e	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0; printed no entry
8	wind	1		bataʃ	0	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
8	wind	2		hli	abijl	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
8	wind	3		khri	ck	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
8	wind	4		alːi	gh	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
8	wind	5		thli	m	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
9	lightning	1		bɪdːut tʃɔmkano	0	54	51	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
9	lightning	2		kɔltʃɛmɛlɛk	al	54	51	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
9	lightning	3		tʃɛktla	b	54	51	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
9	lightning	4		khrai̯ʔkhra	c	54	51	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
9	lightning	4		khrai̯khra	k	54	51	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
9	lightning	5		ɑməlɑshídei̯	e	54	51	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
9	lightning	5		ãluʃɪdːi	gh	54	51	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
9	lightning	6		mimtlalɛk	i	54	51	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
9	lightning	7		kolphɛ	jm	54	51	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	1		mɛgh gɔrdʒon	0	54	51	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	2		khɔmrit̚	a	54	51	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	2		khua̯ri	bi	54	51	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	2		khuri	b	54	51	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	3		khopui̯ri	jm	54	51	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	3		khua̯ri	bi	54	51	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	3		khuri	b	54	51	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	4		kɛkːum	c	54	51	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	5		kɨnːipəjuna	g	54	51	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	5		kənípəjɨ̈	e	54	51	10	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	6		alːipɨkːa	h	54	51	11	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	7		humːɛŋ	k	54	51	12	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
10	thunder	8		khua̯nrum	l	54	51	13	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
11	sea	1		ʃagoɾ / ʃɔmudɾo	0	54	51	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
11	sea	2		tipːi	b	54	51	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
11	sea	2		tui̯pui̯	a	54	51	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
11	sea	3		mrɛt	ck	54	51	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
11	sea	4		pɑnlei̯	e	54	51	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
11	sea	4		pəu̯ŋli	g	54	51	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
11	sea	5		ʃui̯da	h	54	51	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
11	sea	6		tiʃumʃumrɛt	i	54	51	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
11	sea	7		tui̯finrie̯t	jlm	54	51	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
12	mountain	1		pahaɽ	0	54	51	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
12	mountain	2		tlaŋ	abijlm	54	51	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
12	mountain	3		khui̯juŋ	ck	54	51	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
12	mountain	4		mo	g	54	51	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
12	mountain	4		mɔ̄i̯	e	54	51	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
12	mountain	4		moi̯	h	54	51	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
13	water	1		pani	0	54	51	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
13	water	2		tuː	g	54	51	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
13	water	2		tú	e	54	51	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
13	water	2		tui̯	achjklm	54	51	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
13	water	3		tiː	bi	54	51	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
13	water	4		tui̯	achjklm	54	51	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
14	river	1		nodi	0	54	51	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
14	river	2		tui̯dil	a	54	51	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
14	river	3		tɨvːa	bi	54	51	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
14	river	3		təvó	e	54	51	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
14	river	3		tuvːu	h	54	51	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
14	river	4		ohloŋ	ck	54	51	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
14	river	5		lui̯	jm	54	51	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
14	river	6		tʃipːa	g	54	51	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
14	river	7		va	l	54	51	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
15	soil/ground	1		maʈi	0	54	51	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
15	soil/ground	2		tual	abil	54	51	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
15	soil/ground	3		deɪ̯k	ck	54	51	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
15	soil/ground	4		klɛo̯	gh	54	51	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
15	soil/ground	5		lɛi̯i	jm	54	51	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
15	soil/ground	6		khɑːilɛʌ̃́n	e	54	51	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
16	mud	1		kada	0	54	51	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
16	mud	2		nɛi̯ŋ	abi	54	51	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
16	mud	2		nɛŋ	l	54	51	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
16	mud	3		kiu̯p	c	54	51	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
16	mud	4		anːiɛ̯pã	gh	54	51	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
16	mud	4		anɛʌ̃npʌ̃i̯	e	54	51	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
16	mud	5		tʃirdia̯k	jm	54	51	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
16	mud	6		khrok	k	54	51	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	1		dhula	0	55	52	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	2		ʃabːui̯mɪdi	l	55	52	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	2		ʃubːui̯mɪdi	a	55	52	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	3		vɪlai̯dip	b	55	52	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	4		dɛhui̯	c	55	52	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	5		anːʉŋ	g	55	52	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	6		khɛlːɛo̯ŋkhuna	h	55	52	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	7		ɑnɛo̯ndeʔ	e	55	52	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	8		phɪlkhu	i	55	52	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	9		lɛi̯khu	j	55	52	10	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	A		hui̯	k	55	52	11	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
17	dust	B		vai̯vut	m	55	52	12	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
18	stone	1		pathoɾ	0	55	52	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
18	stone	2		luŋhaŋ	a	55	52	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
18	stone	2		luŋtɛ	jm	55	52	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
18	stone	3		luŋ	bcikl	55	52	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
18	stone	4		lɛŋshɛo̯ŋ	e	55	52	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
18	stone	4		luʃɛ̃o̯	gh	55	52	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
18	stone	5		lɛŋshɛo̯ŋ	e	55	52	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
18	stone	5		luŋhaŋ	a	55	52	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	1		bali	0	55	52	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	1		balu	alm	55	52	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	2		tua̯lvɪlai̯dip	b	55	52	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	3		tiʃːɛl	c	55	52	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	4		ʃiʔi	h	55	52	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	4		tʃiʔi	g	55	52	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	5		phɪldɪp	i	55	52	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	6		tiau̯	j	55	52	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	7		dɛ	k	55	52	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	8		ʃiʔi	h	55	52	10	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
19	sand	9		shəpɛuŋ	e	55	52	11	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
20	gold	1		ʃona	0	55	52	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
20	gold	2		ŋun	abi	55	52	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
20	gold	3		ha	ck	55	52	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
20	gold	4		məkʌʔ	e	55	52	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
20	gold	4		mukːu	gh	55	52	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
20	gold	5		raŋgit̚tʃak	jl	55	52	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
20	gold	5		raŋkatʃak	m	55	52	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	1		ɾupa	0	55	52	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	1		rupa	b	55	52	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	2		lai̯kul	a	55	52	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	3		hen	ck	55	52	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	4		mutʃaŋ	g	55	52	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	5		takatã	h	55	52	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	5		taŋkaʃa	i	55	52	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	6		taŋkarua̯	jlm	55	52	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	6		taŋkaʃa	i	55	52	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
21	silver	7		tɑnkɑʔ	e	55	52	10	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
22	today	0			e	55	52	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0; printed no entry
22	today	1		adʒ	0	55	52	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
22	today	2		vai̯ni	h	55	52	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
22	today	2		vɔi̯ni	al	55	52	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
22	today	2		wanːi	g	55	52	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
