level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	44	1	191	1783	45	21	81.991737	HO2
5	1	1	1	44	2	259	1783	6	21	87.267715	1
5	1	1	1	44	3	288	1790	59	14	96.185333	nama
5	1	1	1	44	4	787	1786	42	20	87.828598	SA1
5	1	1	1	44	5	855	1786	6	20	91.250481	1
5	1	1	1	44	6	884	1792	61	15	91.250481	nawa
4	1	1	1	45	0	191	1815	754	24	-1	
5	1	1	1	45	1	191	1815	45	21	96.053917	HRA
5	1	1	1	45	2	259	1816	5	20	92.202377	1
5	1	1	1	45	3	287	1822	61	14	94.775818	nama
5	1	1	1	45	4	787	1818	45	21	92.892044	SBA
5	1	1	1	45	5	855	1818	6	21	85.583946	1
5	1	1	1	45	6	884	1821	61	18	74.445335	nawa
4	1	1	1	46	0	191	1848	753	23	-1	
5	1	1	1	46	1	191	1848	44	20	74.504753	HO3
5	1	1	1	46	2	256	1860	75	3	80.928230	-----
5	1	1	1	46	3	786	1850	47	20	93.567329	OCU
5	1	1	1	46	4	854	1851	6	19	90.894890	1
5	1	1	1	46	5	883	1853	61	18	0.000000	nu-&
