Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,138,legacy:20220913-kundalshahi:row:138,Kund,12487,śī,cold,,,,kund
ingested,,139,legacy:20220913-kundalshahi:row:139,Kund,12583,śīŋ,horn,,,,kund
ingested,,140,legacy:20220913-kundalshahi:row:140,Kund,12772,śit,white,,,,kund
ingested,,141,legacy:20220913-kundalshahi:row:141,Kund,12548,śok,dry,,,,kund
ingested,,142,legacy:20220913-kundalshahi:row:142,Kund,12548,śuk,dry,,,,kund
ingested,,143,legacy:20220913-kundalshahi:row:143,Kund,12694,śō,head,,,?,kund
ingested,,144,legacy:20220913-kundalshahi:row:144,Kund,12694,śɔ,head,,,?,kund
ingested,,145,legacy:20220913-kundalshahi:row:145,Kund,12598,śɔn,listen!,,,,kund
ingested,,146,legacy:20220913-kundalshahi:row:146,Kund,12598,śan,listen!,,,,kund
ingested,,147,legacy:20220913-kundalshahi:row:147,Kund,5798,tār,star,,,,kund
ingested,,148,legacy:20220913-kundalshahi:row:148,Kund,5661,tā̃d,thread,,,,kund
ingested,,149,legacy:20220913-kundalshahi:row:149,Kund,5661,tand,thread,,,,kund
ingested,,150,legacy:20220913-kundalshahi:row:150,Kund,5731,tēl,palm,,,,kund
ingested,,151,legacy:20220913-kundalshahi:row:151,Kund,5958,tɛ̄l,oil,,,,kund
ingested,,152,legacy:20220913-kundalshahi:row:152,Kund,5836,til,walk,,,,kund
ingested,,153,legacy:20220913-kundalshahi:row:153,Kund,5889,tu,you (2sg),,,,kund
ingested,,154,legacy:20220913-kundalshahi:row:154,Kund,10511,tus,you (2pl),,,,kund
ingested,,155,legacy:20220913-kundalshahi:row:155,Kund,5637,tō̃l,rice,,,,kund
ingested,,156,legacy:20220913-kundalshahi:row:156,Kund,5994,trā,three,,,,kund
ingested,,157,legacy:20220913-kundalshahi:row:157,Kund,13776,ṭʰūl,egg,,,,kund
ingested,,158,legacy:20220913-kundalshahi:row:158,Kund,3895,xaṭūṭ,short,,,,kund
ingested,,159,legacy:20220913-kundalshahi:row:159,Kund,2485,yagáy,eleven,,,,kund
ingested,,160,legacy:20220913-kundalshahi:row:160,Kund,10452,yɛ,come!,,,,kund
ingested,,161,legacy:20220913-kundalshahi:row:161,Kund,5301,yɔ̄n,moon,,,,kund
ingested,,162,legacy:20220913-kundalshahi:row:162,Kund,5301,yūn,moon,,,,kund
ingested,,163,legacy:20220913-kundalshahi:row:163,Kund,5214,zarál,spider,,,Kashmiri loan?,kund
