pkh-759-108,PKher,*aɟ,"he, she, it, 3rd person singular","munda1968proto[p. 108, SEAlang record 759]"
pkh-88-58,PKher,*aɟi,elder sister,"munda1968proto[p. 58, SEAlang record 88]"
pkh-250-69,PKher,*aɡu,to bring,"munda1968proto[p. 69, SEAlang record 250]"
pkh-491-88,PKher,*aɲɟɛd,to get dry,"munda1968proto[p. 88, SEAlang record 491]"
pkh-801-111,PKher,*aɳiɟ,to pour,"munda1968proto[p. 111, SEAlang record 801]"
pkh-1026-127,PKher,*aɽaŋ,to make noise,"munda1968proto[p. 127, SEAlang record 1026]"
pkh-1001-126,PKher,*aɽaʔ,to let go,"munda1968proto[p. 126, SEAlang record 1001]"
pkh-1002-126,PKher,*aɽaʔ,"vegetables, potherbs","munda1968proto[p. 126, SEAlang record 1002]"
pkh-658-101,PKher,*aɽɡɔm,to level,"munda1968proto[p. 101, SEAlang record 658]"
pkh-1039-128,PKher,*aʈal,layer,"munda1968proto[p. 128, SEAlang record 1039]"
pkh-1046-129,PKher,*aʈkar,to feel,"munda1968proto[p. 129, SEAlang record 1046]"
pkh-118-59,PKher,*aʈkir,kind of creeper,"munda1968proto[p. 59, SEAlang record 118]"
pkh-1243-141,PKher,*aʈɛd,"to spread (e.g., a mat)","munda1968proto[p. 141, SEAlang record 1243]"
pkh-321-75,PKher,*b(h)ùʔ,to bark,"munda1968proto[p. 75, SEAlang record 321]"
pkh-993-126,PKher,*babata,to itch,"munda1968proto[p. 126, SEAlang record 993]"
pkh-660-101,PKher,*badcɔm ~ *baɡcɔm,kind of grass,"munda1968proto[p. 101, SEAlang record 660]"
pkh-951-123,PKher,*baha,flower,"munda1968proto[p. 123, SEAlang record 951]"
pkh-859-115,PKher,*bahɛr ~ *babɛr,rope,"munda1968proto[p. 115, SEAlang record 859]"
pkh-787-110,PKher,*bai,to make,"munda1968proto[p. 110, SEAlang record 787]"
pkh-263-70,PKher,*bakuʔ ~ bakub,hook,"munda1968proto[p. 70, SEAlang record 263]"
pkh-781-110,PKher,*bal,to bore a hole,"munda1968proto[p. 110, SEAlang record 781]"
pkh-1040-128,PKher,*balbal,sweat,"munda1968proto[p. 128, SEAlang record 1040]"
pkh-none-106,PKher,*balɔ̀,"mad, insane",munda1968proto[p. 106]
pkh-952-123,PKher,*bana,bear,"munda1968proto[p. 123, SEAlang record 952]"
