fuv,3550,koṣāro,"storehouse",ކޮށާރޮ,,,fritz
fuv,9712,mado,"kernel of coconut",މަދޮ,,,fritz
fuv,13794,nāro,"vein, nerve, blood-vessel",ނާޱޮ,,,fritz
fuv,12096,oṇo,"bamboo",އޮޱޮ,,,fritz
fuv,e27,fādigimakuḍu,"spider",ފާދިގިމަކުޑު,,,fritz
fuv,e28,bakamūṇu,"owl",ބަކަމޫޱު,,,fritz
fuv,10158,mūṇu,"face",މޫޱު,,,fritz
fuv,2619,kahuᵐbu,"turtle",ކަހުނބު,,,fritz
fuv,3469,keuḷu,"chief of the Dhoni-crew",ކެއުޅު,,,fritz
fuv,1485,eⁿde,"bed",އެނދެ,,,fritz
fuv,9615,bere,"drum",ބެރެ,,,fritz
fuv,3474,kehuru,"fur",ކެހުރު,,,fritz
fuv,4489,guguru,"thunder",ގުގުރު,,,fritz
fuv,3759,kiḷi,"saliva",ކިޅި,,,fritz
fuv,13574,iri,"sun",އިރި,,,fritz
fuv,3696,kiri,"milk",ކިރި,,,fritz
fuv,6368,digi,"long",ދިގި,,,fritz
fuv,5839,tīṇi,"hot (spicy)",ތީޱި,,,fritz
fuv,4225,gui,"excrement",ގުއި,,,fritz
fuv,7247,liᵐboi,"lemon",ލިނބޮއި,,,fritz
fuv,920,aha,"horse",އަހަ,,,fritz
fuv,43,ehe,"jewel",އެހެ,,"???",fritz
fuv,9237,beḷal(u),"cat",ބެޅަލު,,,fritz
fuv,5131,jaᵐbu,"rose apple",ޖަނބު,,"likely loanword/semi-native form",fritz
fuv,2668,kaṣa,"spike, thorn",ކަށަ,,,fritz
fuv,4406,gaḍi,"hour, watch, clock",ގަޑި,,,fritz
fuv,10679,radun̊,"king",ރަދުން,,"likely loanword/semi-native form, lexicalized plural",fritz
fuv,941,aṣo,"eight",އަށޮ,,,fritz
fuv,2816,kakiḍi,"crab",ކަކިޑި,,,fritz
fuv,9393,baro,"heavy; load",ބަރޮ,,,fritz
fuv,11592,vaha,"smell",ވަހަ,,,fritz
fuv,10910,lado,"shy",ލަދޮ,,,fritz
fuv,e29,riveti,"beautiful, pretty",ރިވެތި,,,fritz
fuv,9754,mado,"a little",މަދޮ,,,fritz
fuv,3083,kaḷo,"black",ކަޅޮ,,,fritz
fuv,11547,varaha,"very",ވަރަހަ,,"lexicalized dative",fritz
fuv,221,itiri,"more, another, increase",އިތިރި,,,fritz
fuv,9691,ma,"I",މަ,,,fritz
fuv,992,ava,"I",އަވަ,,,fritz
fuv,11742,vidi,"lightning",ވިދި,,,fritz
fuv,5889,tо̄,"thou",ތޯ,,,fritz
fuv,986,afū,"we",އަފޫ,,,fritz
fuv,9723,maḍo,"quiet, soft, slow",މަޑޮ,,,fritz
fuv,3712,kudu,"small, little",ކުދު,,,fritz
fuv,e30,enek̊,"another",އެނެއް,,,fritz
