Status,Reason,PDF_Page,Printed_Page,Entry,Raw_Form_POS,Form,POS,Definition,Mean_Confidence,Low_Confidence_Tokens,Entry_Key,Emitted_Keys,Rejected_Forms,Review_Flags
ocr_unreviewed,source transcription requires human verification,146,138,2,a:fimi N.,a:fimi,N.,opium.,93.17,,ghatage-kasargod1970:p138:e2,ghatage-kasargod1970:p138:e2,,
ocr_unreviewed,source transcription requires human verification,146,138,3,a:širvadi N.,a:širvadi,N.,blessing.,78.29,a:širvadi,ghatage-kasargod1970:p138:e3,ghatage-kasargod1970:p138:e3,,low-confidence
ocr_unreviewed,source transcription requires human verification,146,138,4,a:širvadi deist.,a:širvadi deist.,,"to bless,",84.06,,ghatage-kasargod1970:p138:e4,ghatage-kasargod1970:p138:e4,,
ocr_unreviewed,source transcription requires human verification,146,138,5,a:še kə:ri V.,a:še kə:ri,V.,to hope.,86.94,,ghatage-kasargod1970:p138:e5,ghatage-kasargod1970:p138:e5,,
verified,Recovered nasalization and the final central high vowel.,146,138,6,ā:st V.,ã:stɨ,V.,"to smile, laugh.",90.15,,ghatage-kasargod1970:p138:e6,ghatage-kasargod1970:p138:e6,,human-corrected
ocr_unreviewed,source transcription requires human verification,146,138,7,a:sa Adj.,a:sa,Adj.,greedy.,94.27,,ghatage-kasargod1970:p138:e7,ghatage-kasargod1970:p138:e7,,
ocr_unreviewed,source transcription requires human verification,146,138,8,a:spətit N.,a:spətit,N.,hospital.,86.71,,ghatage-kasargod1970:p138:e8,ghatage-kasargod1970:p138:e8,,
ocr_unreviewed,source transcription requires human verification,146,138,9,a:likayi N.,a:likayi,N.,hail.,90.17,,ghatage-kasargod1970:p138:e9,ghatage-kasargod1970:p138:e9,,
ocr_unreviewed,source transcription requires human verification,146,138,10,ikkili F.,ikkili,F.,pincers.,95.98,,ghatage-kasargod1970:p138:e10,ghatage-kasargod1970:p138:e10,,
ocr_unreviewed,source transcription requires human verification,146,138,11,iččari V.,iččari,V.,to ask.,85.30,iččari,ghatage-kasargod1970:p138:e11,ghatage-kasargod1970:p138:e11,,low-confidence
