Status,Reason,PDF_Page,Printed_Page,Entry,Raw_Form_POS,Form,POS,Definition,Mean_Confidence,Low_Confidence_Tokens,Entry_Key,Emitted_Keys,Rejected_Forms,Review_Flags
ocr_unreviewed,source transcription requires human verification,151,143,28,kəne N.,kəne,N.,"room,",90.44,,ghatage-kasargod1970:p143:e28,ghatage-kasargod1970:p143:e28,,
ocr_unreviewed,source transcription requires human verification,151,143,29,"kədda Adv,",kədda,Adv.,when.,90.32,,ghatage-kasargod1970:p143:e29,ghatage-kasargod1970:p143:e29,,
ocr_unreviewed,source transcription requires human verification,151,143,30,kolar,kolar,,collar.,48.16,kolar,ghatage-kasargod1970:p143:e30,ghatage-kasargod1970:p143:e30,,low-confidence
ocr_unreviewed,source transcription requires human verification,151,143,31,kõvala M.,kõvala,M.,pumpkin guord.,87.73,,ghatage-kasargod1970:p143:e31,ghatage-kasargod1970:p143:e31,,
ocr_unreviewed,source transcription requires human verification,151,143,32,kə: yku F.,kə: yku,F.,cough.,83.62,,ghatage-kasargod1970:p143:e32,ghatage-kasargod1970:p143:e32,,
ocr_unreviewed,source transcription requires human verification,151,143,33,kə: te N.,kə: te,N.,castle.,87.98,,ghatage-kasargod1970:p143:e33,ghatage-kasargod1970:p143:e33,,
ocr_unreviewed,source transcription requires human verification,151,143,34,kramo M.,kramo,M.,habit.,95.81,,ghatage-kasargod1970:p143:e34,ghatage-kasargod1970:p143:e34,,
ocr_unreviewed,source transcription requires human verification,151,143,35,kra:yi F.,kra:yi,F.,price.,92.36,,ghatage-kasargod1970:p143:e35,ghatage-kasargod1970:p143:e35,,
verified,Removed reverse-page bleed and corrected the OCR diacritic.,151,143,36,krįšika M.,kriśika,M.,farmer.,83.80,,ghatage-kasargod1970:p143:e36,ghatage-kasargod1970:p143:e36,,human-corrected
ocr_unreviewed,source transcription requires human verification,151,143,37,kla:rki M.,kla:rki,M.,clerk.,90.64,,ghatage-kasargod1970:p143:e37,ghatage-kasargod1970:p143:e37,,
ocr_unreviewed,source transcription requires human verification,152,144,1,kšəme de:słt V.,kšəme de:słt,V.,"to forgive, to pardon.",84.34,de:słt,ghatage-kasargod1970:p144:e1,ghatage-kasargod1970:p144:e1,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,2,kšəyłi M.,kšəyłi,M.,tuberculosis.,82.39,kšəyłi,ghatage-kasargod1970:p144:e2,ghatage-kasargod1970:p144:e2,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,3,gətti Adj.,gətti,Adj.,"strong, hard.",82.57,gətti,ghatage-kasargod1970:p144:e3,ghatage-kasargod1970:p144:e3,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,4,"gədiyara N,",gədiyara,N.,clock.,93.87,,ghatage-kasargod1970:p144:e4,ghatage-kasargod1970:p144:e4,,
verified,Seeded audit recovery of source vowel and consonant diacritics.,152,144,5,gante N.,gəṇṭɛ,N.,bell.,81.39,gante,ghatage-kasargod1970:p144:e5,ghatage-kasargod1970:p144:e5,,low-confidence human-corrected
ocr_unreviewed,source transcription requires human verification,152,144,6,gətlela Adj.,gətlela,Adj.,"closed (door, ete.)",94.62,,ghatage-kasargod1970:p144:e6,ghatage-kasargod1970:p144:e6,,
ocr_unreviewed,source transcription requires human verification,152,144,7,gəna Adj.,gəna,Adj.,solid.,93.50,,ghatage-kasargod1970:p144:e7,ghatage-kasargod1970:p144:e7,,
ocr_unreviewed,source transcription requires human verification,152,144,8,gəruța M.,gəruța,M.,nest.,74.39,gəruța,ghatage-kasargod1970:p144:e8,ghatage-kasargod1970:p144:e8,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,9,gərgasti N.,gərgasti,N.,saw.,79.00,gərgasti,ghatage-kasargod1970:p144:e9,ghatage-kasargod1970:p144:e9,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,10,gərņnțo M.,gərņnțo,M.,nest.,84.58,,ghatage-kasargod1970:p144:e10,ghatage-kasargod1970:p144:e10,,
ocr_unreviewed,source transcription requires human verification,152,144,11,gələ M.,gələ,M.,throat.,95.90,,ghatage-kasargod1970:p144:e11,ghatage-kasargod1970:p144:e11,,
ocr_unreviewed,source transcription requires human verification,152,144,12,gə:nņi Adj,gə:nņi,Adj.,thick.,79.44,gə:nņi,ghatage-kasargod1970:p144:e12,ghatage-kasargod1970:p144:e12,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,13,gindi M.,gindi,M.,sandle wood tree.,93.83,,ghatage-kasargod1970:p144:e13,ghatage-kasargod1970:p144:e13,,
ocr_unreviewed,source transcription requires human verification,152,144,14,gi:ri N,gi:ri,N.,house.,89.75,,ghatage-kasargod1970:p144:e14,ghatage-kasargod1970:p144:e14,,
ocr_unreviewed,source transcription requires human verification,152,144,15,gadgə M.,gadgə,M.,"jar, pitcher.",87.91,,ghatage-kasargod1970:p144:e15,ghatage-kasargod1970:p144:e15,,
ocr_unreviewed,source transcription requires human verification,152,144,16,gaddo M.,gaddo,M.,"beard, chin.",78.35,gaddo,ghatage-kasargod1970:p144:e16,ghatage-kasargod1970:p144:e16,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,17,gaņiga M.,gaņiga,M.,oilman.,92.87,,ghatage-kasargod1970:p144:e17,ghatage-kasargod1970:p144:e17,,
ocr_unreviewed,source transcription requires human verification,152,144,18,gaņdiče mulo M,gaņdiče mulo,M.,buttock.,79.29,mulo,ghatage-kasargod1970:p144:e18,ghatage-kasargod1970:p144:e18,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,19,gadə M.,gadə,M.,field.,89.80,,ghatage-kasargod1970:p144:e19,ghatage-kasargod1970:p144:e19,,
ocr_unreviewed,source transcription requires human verification,152,144,20,garudə M.,garudə,M.,eagle.,89.93,,ghatage-kasargod1970:p144:e20,ghatage-kasargod1970:p144:e20,,
ocr_unreviewed,source transcription requires human verification,152,144,21,gavaņi M.,gavaņi,M.,wheat.,89.75,,ghatage-kasargod1970:p144:e21,ghatage-kasargod1970:p144:e21,,
verified,Recovered the source nasalized vowel.,152,144,22,gā:u N.,gã:u,N.,village.,95.39,,ghatage-kasargod1970:p144:e22,ghatage-kasargod1970:p144:e22,,human-corrected
ocr_unreviewed,source transcription requires human verification,152,144,23,ga: ji F.,ga: ji,F.,thunder.,46.36,ga: | ji,ghatage-kasargod1970:p144:e23,ghatage-kasargod1970:p144:e23,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,24,ga:ti V.,ga:ti,V.,to grind,86.60,ga:ti,ghatage-kasargod1970:p144:e24,ghatage-kasargod1970:p144:e24,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,25,ga:di F.,ga:di,F.,cart.,94.72,,ghatage-kasargod1970:p144:e25,ghatage-kasargod1970:p144:e25,,
ocr_unreviewed,source transcription requires human verification,152,144,26,ga:ņile N.,ga:ņile,N.,tumour.,63.74,ga:ņile,ghatage-kasargod1970:p144:e26,ghatage-kasargod1970:p144:e26,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,27,ga:ri N.,ga:ri,N.,"kite, hawk.",93.00,,ghatage-kasargod1970:p144:e27,ghatage-kasargod1970:p144:e27,,
ocr_unreviewed,source transcription requires human verification,152,144,28,ga:li V.,ga:li,V.,to put.,94.98,,ghatage-kasargod1970:p144:e28,ghatage-kasargod1970:p144:e28,,
ocr_unreviewed,source transcription requires human verification,152,144,29,gidou V.,gidou,V.,to send after.,93.44,,ghatage-kasargod1970:p144:e29,ghatage-kasargod1970:p144:e29,,
ocr_unreviewed,source transcription requires human verification,152,144,30,gilitu: mbu N.,gilitu: mbu,N.,window.,95.57,,ghatage-kasargod1970:p144:e30,ghatage-kasargod1970:p144:e30,,
ocr_unreviewed,source transcription requires human verification,152,144,31,gi V.,gi,V.,to take.,96.29,,ghatage-kasargod1970:p144:e31,ghatage-kasargod1970:p144:e31,,
ocr_unreviewed,source transcription requires human verification,152,144,32,gi:di M.,gi:di,M.,vulture.,93.70,,ghatage-kasargod1970:p144:e32,ghatage-kasargod1970:p144:e32,,
ocr_unreviewed,source transcription requires human verification,152,144,33,gi:mu M,gi:mu,M.,"summer,",78.14,gi:mu,ghatage-kasargod1970:p144:e33,ghatage-kasargod1970:p144:e33,,low-confidence
verified,Separated the POS from the head and recovered the central high vowel.,152,144,34,gi iV.,gi:lɨ,V.,to swallow.,71.18,gi | iV.,ghatage-kasargod1970:p144:e34,ghatage-kasargod1970:p144:e34,,low-confidence human-corrected
ocr_unreviewed,source transcription requires human verification,152,144,35,guttu N.,guttu,N.,secret.,83.62,guttu,ghatage-kasargod1970:p144:e35,ghatage-kasargod1970:p144:e35,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,36,guntə kə:ri V.,guntə kə:ri,V.,"to remember.,",87.08,,ghatage-kasargod1970:p144:e36,ghatage-kasargod1970:p144:e36,,
ocr_unreviewed,source transcription requires human verification,152,144,37,gundəsi V.,gundəsi,V.,to kick.,85.11,gundəsi,ghatage-kasargod1970:p144:e37,ghatage-kasargod1970:p144:e37,,low-confidence
ocr_unreviewed,source transcription requires human verification,152,144,38,gubbi F.,gubbi,F.,"button, sparrow.",96.45,,ghatage-kasargod1970:p144:e38,ghatage-kasargod1970:p144:e38,,
ocr_unreviewed,source transcription requires human verification,153,145,1,gurvart Adj.,gurvart,Adj.,"pregnant,",79.90,gurvart,ghatage-kasargod1970:p145:e1,ghatage-kasargod1970:p145:e1,,low-confidence
ocr_unreviewed,source transcription requires human verification,153,145,2,gurvar ro:u V.,gurvar ro:u,V.,to conceive.,92.49,,ghatage-kasargod1970:p145:e2,ghatage-kasargod1970:p145:e2,,
ocr_unreviewed,source transcription requires human verification,153,145,3,gurəti N.,gurəti,N.,sign.,94.27,,ghatage-kasargod1970:p145:e3,ghatage-kasargod1970:p145:e3,,
ocr_unreviewed,source transcription requires human verification,153,145,4,gu M.,gu,M.,excrement.,95.34,,ghatage-kasargod1970:p145:e4,ghatage-kasargod1970:p145:e4,,
ocr_unreviewed,source transcription requires human verification,153,145,5,gu:me N.,gu:me,N.,owl.,86.88,,ghatage-kasargod1970:p145:e5,ghatage-kasargod1970:p145:e5,,
ocr_unreviewed,source transcription requires human verification,153,145,6,gu:du M.,gu:du,M.,cage.,92.45,,ghatage-kasargod1970:p145:e6,ghatage-kasargod1970:p145:e6,,
ocr_unreviewed,source transcription requires human verification,153,145,7,"gere o:di V,",gere o:di,V.,"to draw a line,",67.75,"o:di | V,",ghatage-kasargod1970:p145:e7,ghatage-kasargod1970:p145:e7,,low-confidence
ocr_unreviewed,source transcription requires human verification,153,145,8,gelpațt F.,gelpațt,F.,"cheek,",84.80,,ghatage-kasargod1970:p145:e8,ghatage-kasargod1970:p145:e8,,
ocr_unreviewed,source transcription requires human verification,153,145,9,ge:ti N.,ge:ti,N.,gate.,85.27,,ghatage-kasargod1970:p145:e9,ghatage-kasargod1970:p145:e9,,
verified,Recovered both printed alternatives and their vowel contrast.,153,145,10,gotte ~ gott €,goṭṭe ~ goṭṭɛ,,at.,75.14,gott,ghatage-kasargod1970:p145:e10,ghatage-kasargod1970:p145:e10|ghatage-kasargod1970:p145:e10:variant:1,,low-confidence suspicious-character human-corrected
ocr_unreviewed,source transcription requires human verification,153,145,11,gotte ~ gotte,gotte ~ gotte,,nearer.,66.44,gotte | gotte,ghatage-kasargod1970:p145:e11,ghatage-kasargod1970:p145:e11|ghatage-kasargod1970:p145:e11:variant:1,,low-confidence
ocr_unreviewed,source transcription requires human verification,153,145,12,godani N.,godani,N.,godown.,92.56,,ghatage-kasargod1970:p145:e12,ghatage-kasargod1970:p145:e12,,
ocr_unreviewed,source transcription requires human verification,153,145,13,godo M.,godo,M.,horse.,91.59,,ghatage-kasargod1970:p145:e13,ghatage-kasargod1970:p145:e13,,
ocr_unreviewed,source transcription requires human verification,153,145,14,gonče N.,gonče,N.,bunch.,93.86,,ghatage-kasargod1970:p145:e14,ghatage-kasargod1970:p145:e14,,
verified,Recovered the retroflex nasal and central high vowel.,153,145,15,gõönsi V.,gõṇsɨ,V.,to find out.,76.79,gõönsi,ghatage-kasargod1970:p145:e15,ghatage-kasargod1970:p145:e15,,low-confidence human-corrected
ocr_unreviewed,source transcription requires human verification,153,145,16,go:u M.,go:u,M.,husband.,93.69,,ghatage-kasargod1970:p145:e16,ghatage-kasargod1970:p145:e16,,
ocr_unreviewed,source transcription requires human verification,153,145,17,go:du Adj.,go:du,Adj.,sweet.,92.60,,ghatage-kasargod1970:p145:e17,ghatage-kasargod1970:p145:e17,,
ocr_unreviewed,source transcription requires human verification,153,145,18,go:gu F.,go:gu,F.,"centipede.,",57.67,go:gu,ghatage-kasargod1970:p145:e18,ghatage-kasargod1970:p145:e18,,low-confidence
ocr_unreviewed,source transcription requires human verification,153,145,19,go:di N.,go:di,N.,wheat,94.00,,ghatage-kasargod1970:p145:e19,ghatage-kasargod1970:p145:e19,,
ocr_unreviewed,source transcription requires human verification,153,145,20,go:ru N.,go:ru,N.,cow.,94.63,,ghatage-kasargod1970:p145:e20,ghatage-kasargod1970:p145:e20,,
ocr_unreviewed,source transcription requires human verification,153,145,21,"go:la M. r,",go:la,M.,sphere.,75.45,"r,",ghatage-kasargod1970:p145:e21,ghatage-kasargod1970:p145:e21,,low-confidence trailing-noise
ocr_unreviewed,source transcription requires human verification,153,145,22,go:li N.,go:li,N.,a kind of tree.,94.92,,ghatage-kasargod1970:p145:e22,ghatage-kasargod1970:p145:e22,,
ocr_unreviewed,source transcription requires human verification,153,145,23,go:li kayi N.,go:li kayi,N.,"marble (ball), pebble.",95.16,,ghatage-kasargod1970:p145:e23,ghatage-kasargod1970:p145:e23,,
ocr_unreviewed,source transcription requires human verification,153,145,24,go:vati N.,go:vati,N.,straw.,94.49,,ghatage-kasargod1970:p145:e24,ghatage-kasargod1970:p145:e24,,
ocr_unreviewed,source transcription requires human verification,153,145,25,go:du N.,go:du,N.,gur.,64.21,go:du,ghatage-kasargod1970:p145:e25,ghatage-kasargod1970:p145:e25,,low-confidence
ocr_unreviewed,source transcription requires human verification,153,145,26,go:ti N.,go:ti,N.,"hay, straw.",73.26,go:ti,ghatage-kasargod1970:p145:e26,ghatage-kasargod1970:p145:e26,,low-confidence
ocr_unreviewed,source transcription requires human verification,153,145,27,granta N.,granta,N.,"volume,",72.47,granta,ghatage-kasargod1970:p145:e27,ghatage-kasargod1970:p145:e27,,low-confidence
ocr_unreviewed,source transcription requires human verification,153,145,28,gra:ņi N.,gra:ņi,N.,eclipse.,85.78,,ghatage-kasargod1970:p145:e28,ghatage-kasargod1970:p145:e28,,
ocr_unreviewed,source transcription requires human verification,153,145,29,gra:mi M.,gra:mi,M.,village.,94.14,,ghatage-kasargod1970:p145:e29,ghatage-kasargod1970:p145:e29,,
ocr_unreviewed,source transcription requires human verification,153,145,30,grahisəu V.,grahisəu,V.,ito think.,69.69,ito,ghatage-kasargod1970:p145:e30,ghatage-kasargod1970:p145:e30,,low-confidence
ocr_unreviewed,source transcription requires human verification,153,145,31,gla:st N.,gla:st,N.,glass.,91.70,,ghatage-kasargod1970:p145:e31,ghatage-kasargod1970:p145:e31,,
ocr_unreviewed,source transcription requires human verification,153,145,32,čəkrə M.,čəkrə,M.,wheel.,93.82,,ghatage-kasargod1970:p145:e32,ghatage-kasargod1970:p145:e32,,
ocr_unreviewed,source transcription requires human verification,153,145,33,čəkrəvərti M:,čəkrəvərti,M.,sovereign king.,94.39,,ghatage-kasargod1970:p145:e33,ghatage-kasargod1970:p145:e33,,
ocr_unreviewed,source transcription requires human verification,153,145,34,čəddi F.,čəddi,F.,short pant.,84.02,čəddi,ghatage-kasargod1970:p145:e34,ghatage-kasargod1970:p145:e34,,low-confidence
ocr_unreviewed,source transcription requires human verification,153,145,35,čəraki N.,čəraki,N.,"spinning wheel,",90.25,,ghatage-kasargod1970:p145:e35,ghatage-kasargod1970:p145:e35,,
ocr_unreviewed,source transcription requires human verification,153,145,36,čəvkəțti N.,čəvkəțti,N.,"sash, AE ne",52.48,čəvkəțti | AE | ne,ghatage-kasargod1970:p145:e36,ghatage-kasargod1970:p145:e36,,low-confidence
verified,Removed reverse-page bleed after comparison with the source image.,153,145,37,čəvkka Adj.,čəvkka,Adj.,square.,77.82,A,ghatage-kasargod1970:p145:e37,ghatage-kasargod1970:p145:e37,,low-confidence human-corrected
verified,Recovered a head whose letters were completely misclassified by OCR.,153,145,38,CVKS M irr,čəvkkə,M.,handkerchief.,41.39,CVKS | M | irr,ghatage-kasargod1970:p145:e38,ghatage-kasargod1970:p145:e38,,low-confidence trailing-noise human-corrected
ocr_unreviewed,source transcription requires human verification,154,146,1,čə:ņdi M.,čə:ņdi,M.,ball.,87.70,,ghatage-kasargod1970:p146:e1,ghatage-kasargod1970:p146:e1,,
ocr_unreviewed,source transcription requires human verification,154,146,2,ča:ți,ča:ți,,whip.,83.55,,ghatage-kasargod1970:p146:e2,ghatage-kasargod1970:p146:e2,,
ocr_unreviewed,source transcription requires human verification,154,146,3,čanņe~ čandane N.,čanņe~ čandane,N.,moon-light.,84.60,,ghatage-kasargod1970:p146:e3,ghatage-kasargod1970:p146:e3|ghatage-kasargod1970:p146:e3:variant:1,,
ocr_unreviewed,source transcription requires human verification,154,146,4,čamčo M.,čamčo,M.,spoon.,93.01,,ghatage-kasargod1970:p146:e4,ghatage-kasargod1970:p146:e4,,
ocr_unreviewed,source transcription requires human verification,154,146,5,čalņi F.,čalņi,F.,sieve.,82.09,čalņi,ghatage-kasargod1970:p146:e5,ghatage-kasargod1970:p146:e5,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,6,čalou V.,čalou,V.,"to move, to shake.",95.03,,ghatage-kasargod1970:p146:e6,ghatage-kasargod1970:p146:e6,,
ocr_unreviewed,source transcription requires human verification,154,146,7,ča:u V.,ča:u,V.,"to chew, to bite.",94.32,,ghatage-kasargod1970:p146:e7,ghatage-kasargod1970:p146:e7,,
ocr_unreviewed,source transcription requires human verification,154,146,8,ča: ti V:,ča: ti,V.,to lick.,66.47,ča: | ti,ghatage-kasargod1970:p146:e8,ghatage-kasargod1970:p146:e8,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,9,ča: nətəle N.,ča: nətəle,N.,baldness.,43.90,ča: | nətəle | baldness.,ghatage-kasargod1970:p146:e9,ghatage-kasargod1970:p146:e9,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,10,ča: ņətəle yə M.,ča: ņətəle yə,M.,bald.,70.98,ča: | ņətəle,ghatage-kasargod1970:p146:e10,ghatage-kasargod1970:p146:e10,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,11,ča:yłi M.,ča:yłi,M.,"tea,",73.71,ča:yłi,ghatage-kasargod1970:p146:e11,ghatage-kasargod1970:p146:e11,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,12,ča:ri F.,ča:ri,F.,gram.,92.79,,ghatage-kasargod1970:p146:e12,ghatage-kasargod1970:p146:e12,,
ocr_unreviewed,source transcription requires human verification,154,146,13,ča:rt Nu.,ča:rt,Nu.,four.,78.23,ča:rt,ghatage-kasargod1970:p146:e13,ghatage-kasargod1970:p146:e13,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,14,ča:re Adj.,ča:re,Adj.,oblique.,94.08,,ghatage-kasargod1970:p146:e14,ghatage-kasargod1970:p146:e14,,
ocr_unreviewed,source transcription requires human verification,154,146,15,ča:li V.,ča:li,V.,"to churn,",90.07,,ghatage-kasargod1970:p146:e15,ghatage-kasargod1970:p146:e15,,
ocr_unreviewed,source transcription requires human verification,154,146,16,čikkəlļłi F.,čikkəlļłi,F.,mud.,69.13,čikkəlļłi,ghatage-kasargod1970:p146:e16,ghatage-kasargod1970:p146:e16,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,17,čikku N.,čikku,N.,"a kind of fruit,",93.54,,ghatage-kasargod1970:p146:e17,ghatage-kasargod1970:p146:e17,,
ocr_unreviewed,source transcription requires human verification,154,146,18,čita:li N.,čita:li,N.,deer.,92.53,,ghatage-kasargod1970:p146:e18,ghatage-kasargod1970:p146:e18,,
ocr_unreviewed,source transcription requires human verification,154,146,19,čitra N.,čitra,N.,picture.,95.23,,ghatage-kasargod1970:p146:e19,ghatage-kasargod1970:p146:e19,,
ocr_unreviewed,source transcription requires human verification,154,146,20,čimți F.,čimți,F.,tongs.,81.68,čimți,ghatage-kasargod1970:p146:e20,ghatage-kasargod1970:p146:e20,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,21,čimņiče gu: du M.,čimņiče gu: du,M.,lamp (of oil).,74.77,gu: | du,ghatage-kasargod1970:p146:e21,ghatage-kasargod1970:p146:e21,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,22,čimməņ te:li N.,čimməņ te:li,N.,"kerosene oil,",92.16,,ghatage-kasargod1970:p146:e22,ghatage-kasargod1970:p146:e22,,
ocr_unreviewed,source transcription requires human verification,154,146,23,čimm e N.,čimm,E.,eye-brow.,93.62,,ghatage-kasargod1970:p146:e23,ghatage-kasargod1970:p146:e23,,trailing-noise
ocr_unreviewed,source transcription requires human verification,154,146,24,či: nčt F.,či: nčt,F.,tamarind.,81.90,,ghatage-kasargod1970:p146:e24,ghatage-kasargod1970:p146:e24,,
ocr_unreviewed,source transcription requires human verification,154,146,25,či:nčați F.,či:nčați,F.,frying pan.,76.93,F.,ghatage-kasargod1970:p146:e25,ghatage-kasargod1970:p146:e25,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,26,či: pu N.,či: pu,N.,"bolt, latch.",62.67,či: | pu,ghatage-kasargod1970:p146:e26,ghatage-kasargod1970:p146:e26,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,27,či:pe N.,či:pe,N.,plantain flower.,89.57,,ghatage-kasargod1970:p146:e27,ghatage-kasargod1970:p146:e27,,
ocr_unreviewed,source transcription requires human verification,154,146,28,čimpi~ či: pi V.,čimpi~ či: pi,V.,to suck.,62.07,či: | pi,ghatage-kasargod1970:p146:e28,ghatage-kasargod1970:p146:e28|ghatage-kasargod1970:p146:e28:variant:1,,low-confidence
ocr_unreviewed,source transcription requires human verification,154,146,29,či:ri V.,či:ri,V.,"to saw, to split.",93.11,,ghatage-kasargod1970:p146:e29,ghatage-kasargod1970:p146:e29,,
ocr_unreviewed,source transcription requires human verification,154,146,30,či:ləo M.,či:ləo,M.,bag.,65.62,či:ləo,ghatage-kasargod1970:p146:e30,ghatage-kasargod1970:p146:e30,,low-confidence
verified,Removed reverse-page bleed and restored the retroflex stop.,154,146,31,čukkoțu Adj.,čukkoṭu,Adj.,"good, strong.",69.63,ag,ghatage-kasargod1970:p146:e31,ghatage-kasargod1970:p146:e31,,low-confidence human-corrected
ocr_unreviewed,source transcription requires human verification,154,146,32,čulto M.,čulto,M.,paternal uncle.,92.40,,ghatage-kasargod1970:p146:e32,ghatage-kasargod1970:p146:e32,,
ocr_unreviewed,source transcription requires human verification,154,146,33,čulti F.,čulti,F.,"paternal aunt,",94.06,,ghatage-kasargod1970:p146:e33,ghatage-kasargod1970:p146:e33,,
ocr_unreviewed,source transcription requires human verification,154,146,34,ču:du F.,ču:du,F.,torch.,95.09,,ghatage-kasargod1970:p146:e34,ghatage-kasargod1970:p146:e34,,
ocr_unreviewed,source transcription requires human verification,154,146,35,ču:lu F.,ču:lu,F.,oven.,93.29,,ghatage-kasargod1970:p146:e35,ghatage-kasargod1970:p146:e35,,
ocr_unreviewed,source transcription requires human verification,154,146,36,četņi F.,četņi,F.,condiment.,78.87,četņi,ghatage-kasargod1970:p146:e36,ghatage-kasargod1970:p146:e36,,low-confidence
verified,Removed reverse-page bleed after comparison with the source image.,154,146,37,čedu N.,čedu,N.,girl.,90.40,,ghatage-kasargod1970:p146:e37,ghatage-kasargod1970:p146:e37,,human-corrected
verified,Recovered the complete head and removed bleed-through text.,154,146,38,Ceppu N. Saisi,čeppu,N.,green coconut.,58.02,Ceppu | N. | Saisi | YNE,ghatage-kasargod1970:p146:e38,ghatage-kasargod1970:p146:e38,,low-confidence human-corrected
ocr_unreviewed,source transcription requires human verification,155,147,1,černbuți M.,černbuți,M.,copper smith.,77.96,černbuți,ghatage-kasargod1970:p147:e1,ghatage-kasargod1970:p147:e1,,low-confidence
ocr_unreviewed,source transcription requires human verification,155,147,2,če:mbu N.,če:mbu,N.,copper.,76.46,,ghatage-kasargod1970:p147:e2,ghatage-kasargod1970:p147:e2,,
ocr_unreviewed,source transcription requires human verification,155,147,3,čeri V:,čeri,V.,"to graze,",71.66,čeri,ghatage-kasargod1970:p147:e3,ghatage-kasargod1970:p147:e3,,low-confidence
ocr_unreviewed,source transcription requires human verification,155,147,4,če:li V.,če:li,V.,"to walk,",85.20,,ghatage-kasargod1970:p147:e4,ghatage-kasargod1970:p147:e4,,
ocr_unreviewed,source transcription requires human verification,155,147,5,čotte N.,čotte,N.,"lame person,",81.50,čotte,ghatage-kasargod1970:p147:e5,ghatage-kasargod1970:p147:e5,,low-confidence
ocr_unreviewed,source transcription requires human verification,155,147,6,čoņțli F.,čoņțli,F.,penis.,83.74,,ghatage-kasargod1970:p147:e6,ghatage-kasargod1970:p147:e6,,
ocr_unreviewed,source transcription requires human verification,155,147,7,čoləți V.,čoləți,V.,to rub.,82.28,čoləți,ghatage-kasargod1970:p147:e7,ghatage-kasargod1970:p147:e7,,low-confidence
ocr_unreviewed,source transcription requires human verification,155,147,8,"čo:rt V,",čo:rt,V.,to steal.,78.66,čo:rt,ghatage-kasargod1970:p147:e8,ghatage-kasargod1970:p147:e8,,low-confidence
ocr_unreviewed,source transcription requires human verification,155,147,9,čoli V.,čoli,V.,"to rub,",80.50,čoli,ghatage-kasargod1970:p147:e9,ghatage-kasargod1970:p147:e9,,low-confidence
ocr_unreviewed,source transcription requires human verification,155,147,10,čorto M.,čorto,M.,thief.,76.82,čorto,ghatage-kasargod1970:p147:e10,ghatage-kasargod1970:p147:e10,,low-confidence
verified,Recovered the source affricate retroflex stops and central vowel.,155,147,11,Jəàdi Adj.,ǰəḍḍɨ,Adj.,heavy.,62.18,Jəàdi,ghatage-kasargod1970:p147:e11,ghatage-kasargod1970:p147:e11,,low-confidence human-corrected
verified,Recovered the source palatal affricate and removed entry punctuation.,155,147,12,Jəbku.,ǰəbku,,whip.,74.15,,ghatage-kasargod1970:p147:e12,ghatage-kasargod1970:p147:e12,,human-corrected
verified,Recovered the source palatal affricate.,155,147,13,jJəmkana N.,ǰəmkena,N.,"carpet, rug.",80.23,jJəmkana,ghatage-kasargod1970:p147:e13,ghatage-kasargod1970:p147:e13,,low-confidence human-corrected
verified,Recovered the source palatal affricate and final central vowel.,155,147,14,jJagekə:rt V.,ǰage kə:rɨ,V.,to wake up.,83.48,jJagekə:rt,ghatage-kasargod1970:p147:e14,ghatage-kasargod1970:p147:e14,,low-confidence human-corrected
ocr_unreviewed,source transcription requires human verification,155,147,15,jagero:u V.,jagero:u,V.,to remain awake.,81.17,jagero:u,ghatage-kasargod1970:p147:e15,ghatage-kasargod1970:p147:e15,,low-confidence
ocr_unreviewed,source transcription requires human verification,155,147,16,jago M:,jago,M.,place.,82.75,,ghatage-kasargod1970:p147:e16,ghatage-kasargod1970:p147:e16,,
ocr_unreviewed,source transcription requires human verification,155,147,17,jamindari M.,jamindari,M.,landlord.,92.19,,ghatage-kasargod1970:p147:e17,ghatage-kasargod1970:p147:e17,,
ocr_unreviewed,source transcription requires human verification,155,147,18,jaylikə:ri V.,jaylikə:ri,V.,to imprison.,93.05,,ghatage-kasargod1970:p147:e18,ghatage-kasargod1970:p147:e18,,
ocr_unreviewed,source transcription requires human verification,155,147,19,"jalli F,",jalli,F.,pebble.,91.22,,ghatage-kasargod1970:p147:e19,ghatage-kasargod1970:p147:e19,,
