CDIAL,Gloss,KS,RL,MH,TH,SH,RP,BH,BN
,"he, she, it (here nearby)",jə̃haj,jɛ̃,ɛɛ,ia,ijai,æ̃i,"ɛŋaj, iŋæj, ijæj",ɛɛ
2462,"one, single, same",jɛk,ɛk,ek,ɛk,ɛk,æk,ɛk,"ek, ɛk"
10881,"same, of similar kind",,ɛkɛ lakʰa,"ɛkɛlaxa, ɛkɛlaxat̪i",,,,,
10882,"same, of similar kind",,,,,,ækej rɔkɔ̃,ɛkei naxan,
2485,eleven,ɛgarʌ,ɛgarʌ,ɛgarʌ,ɛɣarɔ,egaro,ægaro,egaro,ɛɣarɔ
,here,"iʈʰin, hɛʈʰin, hiʈʰina","ɛiʈʰa, ɛiʈʰina, jɛiʈʰina","ɛiʈʰɛ, ɛiʈʰin","eiʈʰe, eiʈʰe kɔna",eiʈʰe,"eiʈe, eʈe, æʈekona","eʈi, eʈixunʲæ, eiʈe",ɛtɛ
191,heel,jɛri,ɛɽi,eri,eri,,,,
1589,this many,ɛt̪əla,ɛt̪la,"ɛt̪la, ɛt̪ɛla",ɛt̪o,ɛt̪ola,æt̪oʈa,ɛt̪ola,ɛtoɣila
,Sunday,"ət̪ʌwar, at̪ʌwar","ɛt̪ʌwar, ɛt̪war","et̪war, et̪warbar",,,,ɛt̪oβar,
2095,"rat, harvest rat",nid̪ur,nid̪ur,nind̪ur,nind̪ur,end̪ur,end̪ur,end̪ur,"endur, indur"
,now,alʱa,alʱa,alʱa,"ɛla, ɛlanʱe, ɛlʱaj",ɛla,æla,ɛla,"ɛla, ɛlao"
,this many,,ɛt̪kina,,,,eknʲæ,,
3330,"those, dist.dem.pl",u-la,u-la,u-la,oila,oilʲa,"oglʲæ, ɔgla, ugʎæ","oi-la, o-la",hei-gila
7626,"that way, over there",u-pak-ɛ,hu-pak-ɛ,,"upaka, upake, oipakaj",oi paxe,"opake, oipake",,oi ɸale
,"she, he, it (over there)",wəhãj,wʌhɛ̃,ʌɛ,uã,uwai,"õi, t̪ãi","uŋæi, uwæi",oɛ
2563,lip,woʈʰ,ʈʰoʈ,ʈʰoʈ,"oʈʰ, ʈʰoʈ",ʈʰoʈ,õʈ,"oʈ, ʈʰoʈ",tʰot
,there,"u-ʈʰin, huʈʰin","oi-ʈʰa, oi-ʈʰina","oi-ʈʰɛ, oi-ʈʰin","oiʈʰe, ʃeiʈʰe, oiʈʰe kona, ʃeiʈʰe kona",oiʈʰe,"oʈe, oʈekona, ʃeʈe","ʃe-ʈi-xunʲæ, oiʈe",otɛ
855,"dew, mist, light condensation",wos,os,,,,,,
861,wide (road),,,ʌsar,,oʃar kɔr-,,oʃar,
2650 (Ts.),difficult,kəʈʰin,kʌʈʰin,kʌʈʰin,koʈʰin,koʈʰin,,koʈin,kotʰin
2651 (Ts.),hard,,,kʌʈʰor,,,,koʈur,
,how many? (INT),,kɛt̪kina,,,,kɔt̪oknæ,,
3167,how many? (INT),"kɛd̪əla, kət̪əla, kət̪ɛla","kɛt̪la, kɛt̪ɛla","kɛt̪la, kɛt̪ɛla",kɔt̪o,"kɔt̪ola, kɔt̪ɔ","kɔt̪gulʲæ, kɔt̪ogulʲæ, kɔt̪olʲæ",kɔt̪ola,
2704 (Ts.),talk,,,,kat̪ʰa,,kɔt̪a,kɔt̪a,kotʰa
2696,"some, few",,kʌnɛk,kʌnɛk,kɔnek,kɔnek,,kɔnek,"kʰɔnik, kʰanik"
2744,forehead,kəpal,kʌpal,kʌpal,kɔpal,koɸal,koɸal,kɔpal,kapal
2880,camphor,kəpur,kʌpur,kʌpur,,koɸur,koɸul,kopur,"korpur, korpul"
,wrist,,,,kobʤi,,kobʣi,,"kɔbza, kɔgza"
,"little, few",kʌm-ɛ,kʌm,kʌm,,,,kɔm,kɔm
,waist,kəmər,kʌmʌr,kʌmʌr,kɔmor,kɔmɔr,kɔmor,kɔmor,komor
2764 (Ts.),lotus,kəməl,kʌmʌl,kʌməl,,,,,
2771,"blanket, doona, quilt",kəmməl,,"kʌmʌl, kʌmbəl",kɔmbol,"kɔmbol, kɔmol",kombol,kɔmbli,
2814,does,kʌr-,kʌr-,kʌr-,kɔr-,"kɔr-, kor-",kɔr-,kɔr-,kɔr-
2920,"waterpot (earthen, made of baked clay)",,,kʌlsi,,kulʃi,"kolʃi, kɔloʃ",kolʃi,kolsi
