CDIAL,Gloss,KS,RL,MH,TH,SH,RP,BH,BN
4829,kite (bird of prey),ʧilʱa,ʧilʱa,ʧilʱa,ʧilʱa,ʦiʎa,ʦiʎæ,ʦilʲæ,sila
,thing,ʧiʤ,ʧiʤ,ʧiʤ,,,,,
4889,lime,ʧun,ʧun,ʧun,ʧun,"sun, ʦun",ʦunʲæ,ʦun,sun
4864,"silence, quiet",ʧup,ʧup,ʧup,ʧup,ʦup,,,
4883,hair,ʧul,ʧuli,ʧuli,ʧul,ʦuli,ʦul,ʦuli,suli
4874,itchy,,,ʧulkani,ʧulkani,ʦulkani,"ʦulkʲæ, ʦulkæni",ʦulkæni,
,well,ʧua,,ʧua,ʧua,ʦua,"ʦuæ, suæ",ʦuæ,
,alcohol,,,,ʧuhani,,ʦoani,,
4785,"unmarried male, boy",,ʧɛŋra,ʧɛŋra,,sɛŋera,"ʦæŋra, ʦæŋɽa",ʦɛŋra,sɛŋera
,lizard (big),,,,,t̪ãrasɛŋ,,ʦɛŋmoulʲæ,moŋula
4785,"unmarried female, girl",,ʧɛŋri,ʧɛŋri,,seŋeri,"ʦeŋɽi, ʦeŋri",,
,penis,,,ʧɛʈ,,ʦɛʈ,,ʦɛʈ,
4818,flat,,ʧɛpʈa,ʧɛpʈa,ʧɛpʈa,ʦɛpʈa,ʦæpʈa,ʦɛpʈa,sɛpta
4818,wide (road),,,,ʧɛpʈa,,ʦæpʈa,,
,"features, likeness",ʧɛhəra,,"ʧehera, ʧəhəra",ʧɛhɛra,sɛhɛra,ʦehera,ʦehara,
4918,sharp (knife) with a point,ʧʌkʰʌ,ʧʌkʰʌ,ʧʌxʌ,"ʧɔxa, ʧɔxo",ʦokʦoka,ʦoka,ʦoka,soka
,buttocks,,,,,ʦoru,ʦoru,ʦoru,
4629,bed frame,,"ʧowki, ʧõki",ʧowki,,soxi,ʦoki,,
12803,six,ʧʰʌ,ʧʰʌ,ʧʰʌ,ʧʰɔj,ʦɔj,ʦɔj,ʦʰɔj,sɔj
5027,"shadow, shade",ʧʰə̃ja,"ʧʰãha, ʧʰiã",ʧʰĩa,ʧʰia,ʦʰɛma,"sæ̃jæ, sæ̃ja, ʦʰæ̃ja",ʦʰɛŋa,soja
5020,ashes,,,,,sai,ʦʰai,ʦʰai,sai
4963,goat,,ʧʰagʌl,ʧʰagʌl,ʧʰagɔl,"saɣol, ʦʰaɣol","sagol, ʦʰagol",ʦʰaɣɔl,saɣɔl
,lake (ox-bow),ʧʰarən,,,,,,"sara, ʦʰara",
,"deprived of, without",,,,ʧʰara,,saɽa,ʦʰara,
4998,"release, deliverance, acquittal",,,ʧʰɛral,ʧʰara,"ʦʰaɽa, ʦʰara","sari d̪æwa, ʦʰaɽi d̪æwa",saɽa,
4975,mushroom,ʧʰət̪a,ʧʰʌt̪a,,bɛŋer ʧʰat̪a,,"bæŋer sat̪a, ʦʰat̪a",bɛŋɛr sat̪a,
5014,chest,ʧʰat̪i,ʧʰat̪i,,,ʦʰat̪i,,ʦʰat̪i,
4981,roof,ʧʰət̪,,ʧʰʌt̪,ʧʰad̪,,"ʦʰad̪, sad̪",,
5007,cow-dung,ʧʰan,ʧʰan,ʧʰan,,,,"san, ʦʰan",
4989,"thatched roof, covering",,,ʧʰan-,,san,,ʦʰan,
4994,"print, reflection",ʧʰap,ʧʰap,ʧʰap,ʧʰap,,ʦʰap,ʦʰap,
5005,bark of a tree,ʧʰal,,,ʧʰal,ʦʰal,sal,ʦʰal,
5005,hide (skin of an animal),,,,ʧʰal,"ʦʰal, ʦʰalʈa",ʦʰal,sal,sal
5017,"thatched roof, covering",,ʧʰʌwni,,,,ʦʰawni,,
5026,child,ʧʰua,bɛʈa ʧʰua,bɛʈa ʧʰua,ʧʰua,sawa,sawa,sawa,"apasawa, apasɔwa"
5052,bark of a tree,ʧʰilka,ʧʰʌlka,ʧʰilka,,,,,
3727,knife,ʧʰuri,,ʧʰuri,ʧʰuri,suɽi,ʦʰuri,ʦʰuri,
5043;5046;5064,nostril,ʧʰɛd̪ ,ʧʰɛd̪ ,,,ʦʰɛnd̪a,"ʦʰænd̪a, sænd̪a, ʦʰæd̪a",ʦʰɛnd̪a,
5071,little,ʧʰoʈo,ʧʰʌʈʌ,ʧʰʌʈʌ,"ʧʰɔʈɔ, ʧʰuʈu",,ʦʰoʈo,,
,key,,ʧʰərani,ʧʰʌrani,,,"ʦʰorani, sorani","ʦʰorani, sorani",
5177,forest,ʤəŋəl,ʤʌŋgʌl,ʤʌŋgʌl,ʤɔŋgol,zɔŋɔl,"ʣɔŋgol, ʣoŋli, ʣɔŋla",ʣɔŋol,"zɔŋgɔl, soŋgɔl"
,"forest-dwelling, wild",,ʤʌŋgʌli,ʤʌŋli,,zɔŋoli,ʣɔŋli,ʣɔŋoli,"zɔŋoli, soŋolia"
5078,"world, universe",,ʤʌgʌt̪,,ʤɔgot̪,,ʤɔgot̪,,
,rust,ʤəŋ,,,ʤɔŋ,zɔŋ,"ʣaŋ, ʣaŋat̪, ʣɔŋ",ʣɔŋ,
5086,root (of a tree),ʤər,ʤʌr,"ʤʌr, ʤʌr-a",ʤɔr,,,,
,as many (REL),"ʤɛ-t̪ɛ-la, ʤɛ-t̪-la","ʤɛ-t̪-la, ʤɛ-t̪ɛ-la","ʤɛ-t̪-la, ʤɛ-t̪ɛ-la",ʤɔt̪o,zɔt̪ola,,ʣɔt̪ola,zɛtogula
10410,if,ʤəd̪i,"ʤʌd̪i, jɛd̪i, jəd̪i","ʤʌd̪i, ʤud̪ʱi","ʤud̪i, ʤod̪i",zud̪i,"ʣod̪i, ʣoid̪kʲæl","ʣod̪i, ʣɛd̪u",zodi
5110 (Ts),"animal, creature",ʤənt̪u,ʤʌnt̪u,ʤʌt̪u,,zont̪ur,,ʣont̪ur,
,birth,ʤənəm,ʤʌnmʌ,"ʤʌnmʌ, ʤʌlmʌ",ʤɔlmo,zɔnmɔ,ʣɔlmo,ʣɔnmo,"zɔnmɔ, sormɔ"
,land,ʤəmin,,ʤʌmin,ʤomi,zomin,"ʣomi, ʣomin",ʣomin,
,fever,,ʤʌr,ʤʌr,ʤɔr,zɔr,ʣɔr,ʣɔr,zɔr
5155,waterpot,,ʤʌl,ʤʌl,,zɔl,,ʣɔl,
,"jealousy, envy",ʤələn,ʤʌlʌn,,,,"ʣɔla, ʣɔla",,
,"young, youthful",ʤəwan,ʤəwan,ʤəwan,ʤuwan,,ʣuwæn,,zuwan
,answer,ʤəwab,ʤəwaɸ,"ʤəwaɸ, ʤəwap",ʤowab,"zobap, zowap",ʣɔwap,ʣɔwap,
,posion,ʤəhər,,ʤʌhʌr,,,,,
5082,thigh,ʤaŋ,ʤaŋ,ʤaŋ,ʤaŋ,,,,
5090,cold (weather),ʤar,,ʤar,ʤar,zar,"ʣar, ʣaɽ",ʣar,
,life,,,ʤan,,,ʣan,,
,"animal, creature",,"ʤʌnawʌr, ʤanwʌr","ʤənawər, ʤənwar",,,ʣanwar,,
5213,"net, web",ʤal,ʤal,ʤal,ʤal,zal,ʣal,ʣal,zal
5313,firewood,ʤalʌn,"ʤarʌn, ʤʌrn-a",,,,,,
,place,ʤʌgʱʌ,,ʤʌgʌh,ʤaga,,ʣaga,ʣaɣa,"zaeɣa, saɣa"
,ship,ʤəhaʤ,ʤəhaʤ,ʤəhaʤ,ʤahaʧ,zahat̪,ʣahaz,ʣahas,"zahas, sahas"
,the one who (REL),ʤaɛ,ʤəhaj,ʤahɛ,ɛ̃j,zaj,"ʣãi, ʣa",ʣaj,"zaɛ, saɛ"
5239,life,ʤiu,ʤib,ʤib,ʤip,"zip, ziu",,ʣiu,ziu
,thing,,,ʤinis,ʤiniʃ,ziniʃ,ʤiniʃ,ʤiniʃ,
5228,tongue,ʤiβa,ʤiβʱa,ʤibʱa,ʤiβʱa,ziβa,ʣibʲæ,ʣibʲæ,"ziβʱa, siβʱa"
5234,"cumin plant, cumin seed",ʤira,ʤira,ʤirə,ʤira,zira,ʣirʲæ,ʣirʲæ,"zira, sira"
6606,fire,,,,,zui,,ʣui,zui
,rope (thick),,,,,zukt̪i,,,"zutki, sutki"
10479,shoe,ʤut̪a,ʤut̪a,ʤot̪a,ʤut̪a,zot̪a,ʣot̪a,ʣut̪ʲæ,zuta
,separate,,,,ʤud̪a,zud̪a,ʣud̪ʲæ,,
,when (REL),,ʤɛiβɛla,ʤɛiβɛla,"ʤebɛla, ʤeβɛla, ʤɛla",zɛla,"ʣæla, ʣebæla",ʣɛla,"zela, sela"
,like what (REL),,,,ʤɛmon,zɛmɔn,ʣæmon,"ʣei mɔt̪on, ʣemun",
,like what (REL),ʤɛrʌŋ,"ʤɛirʌŋ, ʤɛinʌŋ","ʤɛnʌŋ, ʤɛnʌŋt̪i",ʤɛnoŋ,,,,
10881;10882,like what (REL),,,,,,ʣæŋka,ʣei naxan,"zɛŋka, sɛŋka"
5295,gecko (small lizard),,ʤɛrkɛʈa,ʤɛʈkalaj,ʤɛʈkeʈi,ziʈʰi,ʣeʈi,ʣiʈi,"zetʰi, setʰi"
,as many (REL),,ʤɛt̪kina,,,,ʣeknæ,,
5161,leech,ʤəluk,"ʤʌ̃k, ʤʌluk",ʤʌluk,ʤoluk,zok,ʣok,ʣok,"zok, sok"
5301,light,,ʤʌnʱak,ʤʌnʱak,,,,ʣonak,"zonak, sonak"
,"power, force, strength",ʤor,ʤor,ʤor,ʤor,zor,ʣor,ʣor,"zor, sor"
5318,"flashing, shining",,,,ʤʱɔkʤʱɔk,zʱɔg-zʱoxa,ʦɔkʦɔka,"ʣʱɔgʣʱoka, ʦʱɔk-ʦʱoka",
5329,rain,,ʤʱʌri,,,zʱori,"ʣʱoɽi, ʣʱori","ʣʱori, ʦʱori",
5343,"stream, small river",,,,,,,"ʣʱɔra, ʦʱɔra",sʱora
5362,forest,ʤʱar,,ʤʱarbari,ʤʱar,zʱar,"ʣʱarbaɽi, ʣʱaɽ baɽi",,
Munda,"silence, quiet",,ʤʱit̪-mar-ɛ,,,zʱit,,ʣʱit̪ ,
5407,lie (untruth),ʤʱuʈ,,ʤʱuʈʰ,,,,,
,"false, incorrect, untrue",ʤʱuʈʰa,ʤʱuʈʰa,ʤʱuʈʰa,,,,,
,basket,,,,ʤʱuri,,ʣʱuri,,
5406,"hangs, swings",ʤʱul-,ʤʱul-,"ʤʱul-, ʤʱula-",ʤʱula-,zʱul-,"ʣʱol-, ʣʱul-","ʣʱol-, ʣʱul-",sʱul-
5415,basket,,,ʤʱʌla,,,ʣʱola,,
,deaf,,,,,ʈoʃa,ʈɔʃa,ʈɔʃa,
,cockroach,,ʈãʈʌr,ʈaʈər,,,,,
5422,bald,ʈʰukmuria,,ʈʰʌkʈʰokia,,,ʈakuwʲæ,ʈakuwʲæ,
,fresh,,ʈʌʈka,,ʈaʈka,,ʈaʈka,,tatka
5990;6089,wall (bamboo),ʈaʈi,ʈaʈi,ʈaʈi,ʈaʈi,,"ʈaʈi, ʈaɽi",,
5495,footprint,ʈap,ʈap,,,,,,
5487,gecko (small lizard),ʈikʈiki,ʈikʈikia,ʈʰikʈiki,"ʈikʈʰiki, ʈikʈiki",,,,
5464,presses,,,ʈip-,,ʈip-,"ʈep-, ʈip-","ʈep-, ʈip-",
,leech,ʈina,ʈina,ʈina,ʧina ʤoluk,ʈina,sinʲæ,ʦinʲæ ʣok,
5479,throat,,ʈuʈ-i,,ʈuʈi,,ʈuʈi,ʈuʈi,
5808,sour,,,,,ʈɛŋa,ʈɛŋa,ʈɛŋa,tɛŋa
5474,"crooked (not straight), twisted, bent",ʈɛra,,ʈɛra,,,,ʈeɽiæ,
5477,basket,ʈokori,,ʈokʌri,,,,,tukuli
13760;13762,place,,"ʈʰaĩ, ʈʰaw̃",ʈʰai,,ʈʰai,,,
13676,cold (weather),ʈʰənɖa,ʈʰənɖa,ʈʰanɖa,ʈʰanɖa,ʈʰanɖa,ʈʰanɖa,ʈʰanɖa,tʰanda
5546,branch,ʈʰal,"ʈʰal, ʈʰal-i",ʈʰali,,"ʈʰal, ʈʰaiʎ",ʈʰæl,ʈʰaiʎ,
5503,right (correct),ʈʰik,ʈʰik,ʈʰik,ʈʰik,ʈʰik,ʈʰik,ʈʰik,tʰik
5428,leg,ʈʰɛŋ,"ʈʰɛŋ, ʈʰɛŋ-a",ʈʰɛŋ,,"ʈʰɛŋ, ʈʰɛŋa","ʈʰæŋ, ʈʰæŋa","ʈʰɛŋ, ʈʰɛŋa",tʰeŋ
5523,path,,ɖɛgʌr,ɖɛgʌr,,,,,
5520,stick,ɖaŋ,bʌd̪ʌŋ,,,,,ɖaŋ,daŋ
,stick,,,,,,,ɖanɖi,
5524,"long, tall",,,,,,,ɖaŋor,daŋɔr
,"strong, able",,,,,,ɖaʈ,ɖaʈ,
5546,branch,,,,"ɖal, ɖail",ɖal,ɖal,,"dani, tani"
6110,"fly, gadfly",,,,,ɖaʃ,ɖãʃ,ɖaʃ,"das, tas"
6251,right (hand),d̪əhina,"d̪ɛhina, d̪ahina","d̪ãja, d̪ahina",ɖahin,ɖain,ɖainʲæ,ɖain,"dain, tain"
5550,egg,ɖimma,ɖimma,ɖimma,ɖima,ɖima,ɖima,ɖimʲæ,"dima, tiŋa"
5535,wing,ɖɛna,ɖɛna,ɖɛnɖə,,ɖena,ɖæna,ɖɛna,"dena, tena"
6225,rope (thick),,,moi ɖor,"ɖori, moiɖor",ɖoɽi,ɖori,ɖoɽi,"dori, tori"
,bucket,ɖol,ɖol,,,,,,
,drum,,,,,,ɖʱak,ɖʱak,
5574,basket,ɖʰãki,ɖʱaki,ɖ̤ʰaki,,ɖʱaxi,,,
5524,"long, tall",,,,ɖʱaraŋga,"ɖʱaŋa, ɖʱaŋga",ɖʱaŋga,"ɖʱaŋa, ʈʱaŋa",
5536,louse,ɖʰilʌ,ɖʰila,,,,ɖʱæla,,
5590,loose,ɖʱila,ɖʱila,ɖʱila,"ɖʱil, ɖʱila","ɖʱila, ʈʱila",ɖʱilʲæ,ɖʱilʲæ,tʱila
5592,enters,ɖʱuk-,ɖʱuk-,ɖʱuk-,ɖʱuk-,,ɖʱok-,,
6502,"blanket, doona, quilt",,d̪ʱussa,,,ɖʰuʃʷa,ɖʱuʃʲæ,ɖʱuʃ,
,unmarried male,,,ɖʱɛna,,ɖʱɛna,,,
5608,drum,ɖʱol,ɖʱol,ɖʱol,ɖʱol,ɖʱol,ɖʱol,"ɖʱol, ʈʱol",tʱol
5805,until,t̪ək,t̪ʌk,ʤʌp-t̪ʌk,,t̪ɔk,,t̪ɔk,
5731,"under, below",,t̪ʌlʌt̪,t̪ʌlʌt̪,t̪ɔlot̪,,t̪ɔlot̪,t̪ɔlot̪,"tɔlɔt, tolɔt"
,fresh,t̪aʤa,t̪aza,t̪aza,,t̪aza,t̪aza,t̪aza,
,for,t̪anɛ,t̪anɛ,t̪anɛ,t̪ahanɛ,,,,
,all,,,,,t̪aman,t̪amangulʲæ,t̪amanlae,
5779,copper,t̪əmma,t̪ama,t̪ama,t̪ama,t̪amma,t̪amma,t̪ama,tama
5798,star,t̪ara,t̪aro,t̪ara,t̪ara,t̪aɽa,t̪ara,"t̪ara, t̪ara-goni","tara, taraŋi, taraɲi"
5708,"quick, swift",,,,t̪arat̪ari,,,,taratari
5748,palm (of hand),"t̪əlwa, t̪ʌlwa",,t̪ala,t̪alu,t̪ala,t̪ala,"t̪ala, t̪alu",tala
5803,palate,t̪alu,t̪al-ka,t̪alka,t̪alu,"bɔrɔm t̪alu, borɔm t̪alu",t̪alu,t̪alu,talu
,sole (of the foot),t̪əlua,"t̪ʌluka, t̪alka",t̪ala,t̪ala,t̪ala,t̪ala,,
5806,bitter,t̪it̪ʌ,,t̪it̪ʌ,t̪it̪o,t̪it̪a,t̪it̪ʲæ,t̪it̪ʲæ,tita
5994,three,t̪in,t̪in,t̪in,t̪in,t̪in,t̪in,t̪in,"tin, tini"
5842,river bank,,,,t̪ir,,t̪ir,,
13734,"married woman, wife",t̪irmat,t̪irmati,,,t̪iri,,t̪iri,tiri
,arrow,t̪ir,t̪ir,t̪ir,t̪ir,t̪ir,t̪ir,t̪ir,tir
,you (singular),t̪ui,t̪ui,t̪ui,t̪ui,t̪ui,t̪ui,t̪ui,tɔɛ
,storm,t̪uɸan,,t̪uɸan,,,"t̪uɸæn, t̪uɸʲæn",,
6080,mustard plant or seed,t̪uri,t̪uri,t̪uri,t̪uri,,,,
5904,cotton,,,,t̪ula,,t̪uʎæ,t̪uʎæ,
5892,husk (as of rice grain),,,,t̪uʃ,t̪uʃi,t̪uʃ,t̪uʃ,tus
,loud,,t̪jɛz,,,,,,tɛs
5813,tamarind,t̪ɛt̪li,t̪ɛt̪li,"t̪it̪li, t̪ɛt̪li",t̪et̪ul,t̪it̪ili,"t̪et̪ol, t̪ɛt̪ɔl, t̪et̪ul","t̪et̪li, t̪et̪ili",titili
6001,thirteen,t̪ɛrʌ,t̪ɛrʌ,t̪ɛrʌ,t̪ɛrɔ,t̪ɛro,t̪æro,t̪ɛro,"teɔ, terɔ"
5958,"oil (vegetable, for eating)",t̪ɛl,t̪el,t̪el,t̪el,t̪ɛl,t̪æl,t̪ɛl,tel
,cockroach,t̪ɛl-pia,,,"t̪ɛlpoka, t̪ɛlpia","t̪eluapoxa, t̪eluaɸoxa",t̪elkʲæ,"t̪eluæpoka, t̪eluɣaβoɣa",
,you (plural),t̪umra,"t̪əmʱa, t̪ʌmʱa, t̪əmʱa-la",t̪ʌmʱa,t̪umrʱa,"t̪omora, t̪omra","t̪omra, t̪umra",t̪omra,"tumi, tumiɽa"
,papaya,,,t̪elmus,,t̪elmus,,t̪olmu,
13720,"few, little",t̪ʰorɛk,t̪ʰorɛk,,,,,,
13666,female breast,,,t̪ʰʌn,t̪ʰon,,,,"stɔn, tɔn"
,buttocks,,,t̪ʰʌlma,t̪ʰolua,,,,tapuli
6091,claws (as of a bear),,,,t̪ʰaβa,t̪ʰabba,,t̪ʰaβa,
13766,"vessel, dish, bowl",,,t̪ʰal,,t̪ʰali,,,
,palate,,"t̪ʰut̪ni, t̪ʰut̪li",,"t̪ʰut̪li, t̪ʰot̪ma",,"t̪ʰut̪li, t̪ʰuʈri",,tʰuturi
13711;6097,spit,t̪ʰup,t̪ʰup,t̪ʰup,t̪ʰup,t̪ʰup,t̪ʰup,,
6119,south,d̪əkʰin,d̪əkʰin,d̪ʌkʰin,d̪okʰin,d̪okʰin,d̪okin,d̪okin,"dɔkʰin, tokʰin"
,"price, value",,,,,"d̪ɔr, d̪ɔr-bʱao",d̪ɔr,,
,river bank,,,,,d̪orina,,d̪oɲɲæ,
,"stream, small river",,,,d̪oria,d̪oria,d̪oriæ,d̪oria,
,tailer,d̪ərʤi,d̪ʌrʤi,d̪ʌrʤi,d̪oʤʤi,,,d̪orʣi,dorzi
6227,ten,d̪əs,d̪ʌs,d̪ʌs,d̪ɔʃ,d̪ɔʃ,d̪ɔʃ,d̪ɔʃ,"dɔs, tɔs"
6627,deep (lake),,,,,"d̪ɔhɔ, d̪ɔho",d̪ɔo,,"doha, toha"
6146,curds,d̪əi,d̪ʌhi,d̪ʌhi,d̪ohi,d̪oi,d̪oi,d̪oi,doi
6152,tooth,d̪ãt̪,d̪ãt̪,d̪at̪,d̪at̪,d̪at̪,d̪at̪,d̪at̪,dat
,"print, reflection",,,,d̪ag,,d̪ag,,
6250,beard,d̪arʱi,d̪aɽʱi,d̪arʱi,d̪a,d̪aɽi,"d̪ari, d̪aɽi",d̪aɽi,"dari, tari"
,grain (as of rice),d̪ana,d̪ana,d̪ana,d̪ana,d̪ana,d̪ana,d̪ana,
,arm (upper),,,,,,d̪apna,d̪aɸna,"daɸana, taɸana"
6622,"price, value",d̪am,d̪am,d̪am,d̪am,,d̪am,d̪am,
,road,,"d̪amal, d̪ɛmal",d̪amal,,,,,
,expensive,,,,,d̪ami,d̪ami,d̪ami,"dami, daŋi"
6184,"bullock, ox",,,,,d̪amɛra,,"d̪amɽa, d̪amra","damuri, tamuri"
,alcohol,d̪aru,d̪aru,d̪aru,,,,,
6328,day (not night),d̪in,d̪in,d̪in,d̪in,d̪in,d̪in,d̪in,din
,brain,d̪imag,d̪imag,d̪imag,,,,,
,heart,d̪il,,d̪il,,,"d̪il, d̪el ",,
6648,two,d̪ui,d̪ui,d̪ui,d̪ui,d̪ui,d̪ui,d̪ui,"dui, tui"
6391,milk,,d̪ud̪,d̪ud̪,"d̪ut̪, d̪ud̪",d̪ut̪,d̪ud̪,d̪ut̪,dutʰ
6644,storm,d̪un,d̪un,d̪un,d̪un,d̪un,,,
,"world, universe",d̪unia,d̪unia,d̪unia,d̪unia,d̪unia,d̪uniæ,d̪uniæ,
6593,milk,d̪uhəni,d̪unʱi,d̪unʱi,,,,,
6495,far,d̪ur,d̪ur,d̪urʌt,d̪urot,d̪ur,d̪ur,d̪ur,"durai, turai, durait"
6459,door,d̪uar,,d̪uar,,d̪uor,d̪uær,d̪uor,duar
,"delay, lateness, lapse of time",d̪ɛri,d̪ɛri,d̪eri,d̪eri,d̪eri,d̪eri,d̪eri,deri
,Sunday,,,,d̪ɛoβar,d̪ɛowar,,d̪ɛowar,"dɛowar, tɛowar"
6331;6523,"space, the sky, the heavens",,,,,,d̪æwa,d̪ɛwa,
,wall (brick),d̪iβal,d̪iwal,d̪iβal,"d̪ɛwal, d̪ɛal",ʦʰad̪ d̪oal,"d̪æal, d̪æwal",d̪ɛwal,
6557,body,d̪ɛa,d̪ɛha,d̪ɛha,,d̪eha,"d̪eho, d̪eha",d̪eha,"deha, teha"
,"shop, store",d̪ukan,d̪ʌkan,d̪ʌkan,d̪ɔkan,d̪oxan,d̪okan,d̪okan,"dokan, tokan"
,"fault, defect",,d̪os,d̪os,d̪oʃ,,d̪oʃ,d̪os,dos
6773 (Ts.),metal,d̪ʱat̪u,d̪ʱat̪u,d̪ʱat̪u,,d̪ʱat̪u,d̪ʱat̪u,t̪ʱat̪u,tʱatu
6777,grain (as of rice),,d̪ʱan,d̪ʱan,,,,,"bidʱan, pid̪ʱan"
6849,"smoke, vapour, gas",d̪ʱũwa,d̪ʱũwa,d̪ʱũwa,d̪ʱũwa,d̪ʱowa,"d̪ʱumʲæ, d̪ʱũwʲæ","d̪ʱumæ, d̪ʱuŋæ",tʱuŋa
,"rat-like creature that lives in trees, has a long tail",d̪ʱərja,,"d̪ʱʌrja, d̪ʱurja","d̪ʱaria, d̪ʱɔrea",d̪ʱɔrea,"d̪ʱɔrea, d̪ʱɔɽea",d̪ʱɔrea,"dal-holia, tal-holia"
6722,rich (person with means),d̪ʱəni,d̪ʱʌni,d̪ʱʌni,,d̪ʱoni,d̪ʱoni,"d̪ʱoni, t̪ʱoni",tʱoni
6701,"bullock, ox",d̪ʱakər,d̪ʱakʌr,d̪ʱakʌr,,,,,
6778,growing or unhusked rice,d̪ʱan,d̪ʱan,,d̪ʱan,d̪ʱan,d̪ʱan,d̪ʱan,tʱan
6788,"stream, small river",d̪ʱar,"d̪ʱad̪ʱʌr, d̪ʱʌd̪ʱr-a",d̪ʱara,d̪̤ ʰar,d̪ʱar,d̪ʱar,,
6793,sharp (knife) with a point,,,,d̪ʱarail,d̪ʱar,,,t̪ʱaral
6817,"slowly, patiently",d̪ʱirɛ d̪ʱirɛ,d̪ʱirɛ-d̪ʱirɛ,d̪ʱirɛ,d̪ʱire,d̪ʱire d̪ʱire,d̪ʱere d̪ʱere,d̪ʱire d̪ʱire,
6846,"beats cotton, scutches, separates into fine threads",d̪ʱun-,d̪ʱun-,d̪ʱun-,d̪ʱuna-,d̪ʱuna-,"d̪ʱon-, d̪ʱun-","d̪ʱon-, d̪ʱun-",tʱuna-
6825,"sunshine, light, heat of the sun",d̪ʱup,,d̪ʱup,,,,,
6835,dust,"d̪ʱulʌ, d̪ʱul",d̪ʱula,d̪ʱula,d̪̤ʰula,d̪ʱula,d̪ʱuʎæ,"d̪ʱuʎæ, t̪ʱuʎæ",tʱula
6894,deceit,d̪ʱʌka,,d̪ʱoka,,,,d̪ʱoka,
6886,washerman,d̪ʱoβi,d̪ʱuβi,d̪ʱobi,d̪ʱɔpa,"d̪ʱoɸi, d̪ʱuɸi",d̪ʱopa,d̪ʱopa,tʱowa
6984,nine,nəw,nʌw,nʌw,nɔj,nɔj,"nɔj, nɔw",nɔw,nɔ
,servant,nʌkər,nʌkʌr,nʌkʌr,,,,,
6914,fingernail,lʌŋ,,,nɔk,,nɔg,,nɔxɔ
,throat,nəʈi,,nʌʈi,,,,,
6943 (Ts.),river,ləd̪i,lʌd̪i,lʌd̪i,"nod̪ʰi, nod̪i",nod̪ʱi,nod̪i,nod̪i,nodi
6946,husband's elder sister,nənəd̪,nʌnʌt̪,nənəd̪,nɔnɔd̪,nɔnɔt̪,nɔnɔt̪,,
,new,nəja,nʌja,nʌja,nɔja,nɔja,nɔja,nɔja,
6970,male,,,nʌr,,,,nɔr,
,soft,nərəm,nʌrʌm,nʌrʌm,nɔrom,nɔrɔm,nɔrõ,nɔrom,"nɔrɔm, norɔm"
6926,naked,nəŋʈa,naŋʈia,"naŋʈa, naŋʈia",naŋga,nɛŋʈa,"næŋʈa, naŋʈa",neŋʈiæ,lɛŋta
7062,navel,lɛβi,lɛβʱi,leβʱi,najr,neβi,naj,nabi,naβʱi
6909,nose,nak,nak,nak,nak,nak,nak,nak,nak
,cat,nəkar,nakar,nakar,,,,,nakar
11006,plough,,,,laŋgol,naŋol,naŋgol,naŋol,naŋal
7047,intestines,nari-,lari,"lari, nari",,naɽibʱuʈi,naɽi-,nar,
7067,name,nam,nam,nam,nam,"naw̃, nam",nam,nam,nam
6956,"under, below",,,,,,namat̪,,
6964,"comes down, descends",namʱ-,naβʱ-,numʱ-,,nam-,nam-,nam-,nam-
7075,coconut,nariɛl,nariol,narigol,"narikel, narigel",narixol,"nargol, narkol",narikel,narikɔl
7078,female,,,nari,,,,nari,
7047,"stream, small river",,,,,,nala,nala,
7081,boat,naw,naw,"naw̃, nʌw̃ka",nowka,nowkʷa,"naw, nowkʲæ",naw,naw̃
7540,"under, below",niʧa,,niʧ-ʌt̪,niʧot̪,,"nis, nisot̪",niʦʲæt̪,
7540,low,niʧa,,,,,niʦʲæ,niʦʲæ,
,ant,nibri,nibri,libri,,,,,
,salt,,,,,nimɔk,,nimox,nimɔx
7563,blue,nila,nila,,"lil, nila",nil,"nil, niliæ",niluæ,nila
10978,salt,nun,nun,nun,nun,nun,nun,nun,
,"clothes, clothing",nua,nua,nua,nund̪a,,,,
,mouse,,nɛkna,nɛknaj,nɛknaj,nɛxɛnaj,,,
11009,tailer,nəŋər,nɛɣʌr,,"nɛŋɔr, nɛŋɔl",,neŋgur,,
,penis,,,,,,poki,poki,
7636,bird,,pʌkʰi,poxi,poxi,poxi,poxi,poxi,pokʰi
8415,rotten,,,,pɔʧa,posa,"pɔsa, pɔʦa",pɔʦa,posa
7743,path,,,,pɔt̪,,pɔt̪,,
7769,lotus,,,,pɔd̪d̪ɔ,pɔd̪d̪ɔ,pɔd̪d̪o,pɔd̪d̪ɔ,podũ
,claws (as of a bear),pənʤa,pʌnʤa,pʌnʤa,,,,,
,papaya,pʌpit̪a,pʌpit̪a,pʌpit̪a,papia,,papiæ,,
7964,bed frame,,pʌlʌŋ,pʌlʌŋ,,,,,
8800,"straw, hay (eaten by cow), dry rice grass","pwal, pol",pual,pual-i,pwal,poal,poal,poal,
,wool,,,,,pɔʃɔm,pɔʃõ,,
7655,five,pãʧ,pãʧ,paʧ,paʧ,pas,pãs,pas,pas
7685,"side of body, rib (of the chest)",panʤor,,,,panzarer bat̪a,"panʣra, panʣra haɖɖi",,
8075;8056,foot,,paw̃,paw̃,pa,paw,paw̃,paw,
