item,pdf_page,printed_page,form,morphology,gloss,etymology,raw_entry
1,186,172,i,adj,this,,"#, adj. - this"
2,186,172,i,pro,"he, she, it",,"i, pro. - he, she, it"
3,186,172,idugo,"n., neut",mosque,,"idugo:, n., neut. - mosque"
4,186,172,iga:ri,"D., neut",a ceremony for removing poflution,,"iga:ri, D., neut. - a ceremony for removing poflution"
5,186,172,icili,"n., neut",middle,,"icili, n., neut. - middle"
6,186,172,iJalbiJal,adv,like this and that,,"iJalbiJal, adv. - like this and that"
7,186,172,isa:pt,part,like,,"isa:pt, part. - like"
8,186,172,isa:b,part,generally,,"isa:b, part. - generally"
9,186,172,istam,"n., neut",desire,(S. ista),"istam, n., neut. - desire (S. ista)"
10,186,172,im,adv,like this,,"im, adv. - like this"
11,186,172,immat,adv,in the same manner,(H. imi},"immat, adv. — in the same manner (H. imi}"
12,186,172,indacru,"n., neut",darkness,(C. andha:r »386),"indacru, n., neut. — darkness (C. andha:r »386)"
13,186,172,induko:r,"v., ne",swing,,"induko:r, v., ne., - swing"
14,186,172,ini:spetre,"n , mas., sg",inspector of police,(Eng.),"ini:spetre, n , mas., sg. - inspector of police (Eng.)"
15,186,172,ine,pro,him (acc.),(G. ine: he),"ine, pro. - him (acc.) (G. ine: he)"
16,186,172,inebi,part,if not,,"inebi, part. - if not"
17,186,172,inah,"n,, neut",thing,(cf. Jinah),"inah,n,, neut; - thing (cf. Jinah)"
18,186,172,inda,"n., peut",egg,(G. did. P1117),"inda:,n., peut. - egg (G. did. P1117)"
19,186,172,ilazci: n,neut,name of a tree,,"ilazci: n., neut. - name of a tree"
20,186,172,i:titi,adv,quickly (aetion},,"i:titi, adv. - quickly (aetion}"
21,186,172,i:dnu:s,"n-, neut",equal,(Ta. i:zu DED 375),"i:dnu:s, n-, neut. - equal (Ta. i:zu DED 375)"
22,186,172,i:yam,"D., newt. (Ta. izyam",lead) ful,,"i:yam, D., newt. (Ta. izyam - lead) ful"
23,186,172,upli,adj,above,(G. upilu adj.),"upli, adj. - above (G. upilu adj.)"
24,186,172,upar,ady,above,(G. M. upari 2333),"upar, ady. - above (G. M. upari 2333)"
25,187,173,ubala:y,"y.,¢",boil,(M. uba:da: »2340a),"ubala:y, y.,¢, - boil (M. uba:da: »2340a)"
26,187,173,uba:Sa,"n., neut",yawning,(H. uba: si:),"uba:Sa:, n., neut. — yawning (H. uba: si:)"
27,187,173,uba:Satkar,"v., nc",yawn,(H. uba:si:le:na),"uba:Satkar, v., nc., — yawn (H. uba:si:le:na)"
28,187,173,uba:la:ca:val,"0., neut",boiled rice,,"uba:la:ca:val, 0., neut. - boiled rice"
29,187,173,uba:!,"v., nc",boil,(L. uba: »2340),"uba:!, v., nc., - boil (L. uba: »2340)"
30,187,173,ubo:kar,"v., nc","errect, make to stand",(G. ubho: karvo: 2038),"ubo:kar, v., nc., ~ errect, make to stand (G. ubho: karvo: 2038)"
31,187,173,ubri,"n., neut",balance,(G. upari >2218),"ubri,n., neut. + balance (G. upari >2218)"
32,187,173,ufti,adj,good,(Ta. utti DED 534),"ufti, adj. - good (Ta. utti DED 534)"
33,187,173,ultar,"V., intr",get down,(G. uttarve »1770),"ultar, V., intr., - get down (G. uttarve »1770)"
34,187,173,uitarba:Js,N,north,(M. utiar north »1767),"uitarba:Js, N., - north (M. utiar north »1767)"
35,187,173,uftatr,"v., tr",get down,,"uftatr, v., tr., - get down"
36,187,173,utska:nt,"n., neut",jumping,(H. uchalna:),"utska:nt, n., neut. - jumping (H. uchalna:)"
37,187,173,utram,"0., neut",name of a star,,"utram, 0., neut. - name of a star"
38,187,173,udiyé,"n., neut",white ant,(G. udha'i),"udiyé, n., neut. - white ant (G. udha'i)"
39,187,173,udhe:s,"0., neut",ascend,,"udhe:s, 0., neut. - ascend"
40,187,173,udha:r,"n., neut",debt,(G. udhay 2018),"udha:r, n., neut. - debt (G. udhay 2018)"
41,187,173,udheds,"v., nc",divide,(M. udhadnéZ),"udheds, v., nc., - divide (M. udhadnéZ)"
42,187,173,utha:dt,"v., c",make to stand ( 1683),,"utha:dt, v., c., ~ make to stand ( 1683)"
43,187,173,uthr,"v., nc",stand,(S. uttanka *1683),"uthr, v., nc., - stand (S. uttanka *1683)"
44,187,173,uda:y,"V., c",cause to fly,,"uda:y, V., c., - cause to fly"
45,187,173,udé,"v., nc",- fly,(G. udva »1697),"udé, v., nc., ~- fly (G. udva »1697)"
46,187,173,uksni:S,"n., neut",nineteen,(S. u:navim sati »2410),"uksni:S, n., neut. - nineteen (S. u:navim sati »2410)"
47,187,173,ukhal,"v., nc",peel,(H. ukalna:),"ukhal, v., nc., - peel (H. ukalna:)"
48,187,173,ukhala:y,"v., ¢",cause to peel,,"ukhala:y, v., ¢., - cause to peel"
49,187,173,ukhada:y,"v., c",cause to pluck,,"ukhada:y, v., c., - cause to pluck"
50,187,173,ukhads,"V., nc",pluck,(H. ukhadna:),"ukhads, V., nc., - pluck (H. ukhadna:)"
51,187,173,ukli,"n., neut",mortar,(G. M. ukkli: »2360),"ukli, n., neut, - mortar (G. M. ukkli: »2360)"
52,188,174,ugidf,"v., intr",< oper,,"ugidf, v., intr., =< oper"
53,188,174,ugada:v,"v., C",cause to open,,"ugada:v, v., C., — cause to open"
54,188,174,uga:di,"v., tr",open (S uccha:dayati »1652),,"uga:di,v., tr.,- open (S uccha:dayati »1652)"
55,188,174,ucu,adj,high,(G. tici# »1634),"ucu, adj. — high (G. tici# »1634)"
56,188,174,uja:y,"v., ne",put off,"(G. bujhavvii, Nep }","uja:y, v., ne., - put off (G. bujhavvii, Nep }"
57,188,174,uja:i/uja:Ju,"n., neut","light, sun rays (M ujal »1670}",,"uja:i/uja:Ju, n., neut. - light, sun rays (M ujal »1670}"
58,188,174,wer,part,"can, may be",,"wer, part. - can, may be"
59,188,174,u¥ki/uSki,adv,peeping,,"u¥ki/uSki, adv. - peeping"
60,188,174,wabli,"n., neut",bubble,(Ta. kumir DED 1752),"wabli, n., neut. - bubble (Ta. kumir DED 1752)"
61,188,174,undo:kar,"v., nc",make something to become upside down,,"undo:kar, v., nc., - make something to become upside down"
62,188,174,undo:hu,"v., ne-",lie upside down,,"undo:hu:, v., ne-, - lie upside down"
63,188,174,undu,adv,upside down,(M. uladné >2380),"undu, adv. — upside down (M. uladné >2380)"
64,188,174,undru,"n., neut",rat,(S. undura »2095),"undru, n., neut. - rat (S. undura »2095)"
65,188,174,ufie,adv,there,,"ufie:, adv. - there"
66,188,174,wufctkor,"y., nc",pull down,,"wufctkor, y., nc., - pull down"
67,188,174,urke:s,adv,now,(G. hatin >268),"urke:s, adv., — now (G. hatin >268)"
68,188,174,ulah,"n., neut",offerings to God,,"ulah, n., neut. - offerings to God"
69,188,174,ula:ngr,"v., nc",jump,"(G. ulaghvii, Nep. ul@ignu 2366)","ula:ngr, v., nc.,-jump (G. ulaghvii, Nep. ul@ignu 2366)"
70,188,174,ulft,v..ne,turn(B ulta %2368),,"ulft, v..ne.,-turn(B ulta %2368)"
71,188,174,ultepain,"n, neut",a kind of betel leaf,,"ultepain, n, neut. ~ a kind of betel leaf"
72,188,174,uraltt,adv,leaping,,"uraltt, adv. ~ leaping"
73,188,174,urttr,"¥, ne",make sharp (Ta urufti DED 57a),,"urttr, ¥, ne., — make sharp (Ta urufti DED 57a)"
74,188,174,urtho,part,near,,"urtho:, part. - near"
75,188,174,urri,adj,quickly (time),,"urri, adj. - quickly (time)"
76,189,175,ustanga:l,"n, neut",name of a place u:ttanka:],(Ta.),"ustanga:l, n, neut. - name of a place u:ttanka:] (Ta.)"
77,189,175,u:dtkapu:r,"n., neut",incense,(Ta. u:tu DED 638) (Skt. karpu:ra),"u:dtkapu:r, n., neut. incense (Ta. u:tu DED 638) (Skt. karpu:ra)"
78,189,175,urkodam. n,neut,procession,(Ta. u:rko:lam DED 643) [aij,"urkodam. n., neut. - procession (Ta. u:rko:lam DED 643) [aij"
79,189,175,ditt,"n., neut",camel,"(H. #:3, G. unt}","ditt, n., neut. - camel (H. #:3, G. unt}"
80,189,175,ebbi:s,"n., neut",twenty,(H. bi:s),"ebbi:s, n., neut. - twenty (H. bi:s)"
81,189,175,etra,adj,how much,(G. kez/ii),"etra:, adj. ~ how much (G. kez/ii)"
82,189,175,efo,adv,within the reach off,(Ta. ettu DED 669),"efo:, adv. ~ within the reach off (Ta. ettu DED 669)"
83,189,175,ekiki,"n, neut",one by one,,"ekiki, n, neut. ~ one by one"
84,189,175,ekacekac. n,neut,one by one,(H. e:kae:ka),"ekacekac. n., neut. - one by one (H. e:kae:ka)"
85,189,175,eko:la,adv,alone,,"eko:la:, adv. - alone"
86,189,175,ekulu,adv,"(H, aké:la)",,"ekulu, adv. - (H, aké:la)"
87,189,175,evdu,adv,how much,,"evdu, adv. ~ how much"
88,189,175,ercel,"n., neut",noise,(Ta. irayccal DED 414),"ercel, n., neut. ~ noise (Ta. irayccal DED 414)"
89,189,175,ermeta:ra,"n., neut",wild duck fex/,,"ermeta:ra:, n., neut. — wild duck fex/"
90,189,175,e:di,"n., neut",heel,,"e:di, n., neut. - heel"
91,189,175,ek,"n., neut",one,(G. M.H. e:k »2462),"ek, n., neut. - one (G. M.H. e:k »2462)"
92,189,175,e:nde,"v., nc",receive,(Ta. entu DED 756),"e:nde, v., nc., — receive (Ta. entu DED 756)"
93,189,175,e:mazt,"v., nc",deceive,(Ta. e:ma:rru DED 760),"e:mazt, v., nc., — deceive (Ta. e:ma:rru DED 760)"
94,189,175,e:faka,"n., neut",spice cardmom,(Ta. e:lakka:y DED 768),"e:faka:,n., neut. ~ spice cardmom (Ta. e:lakka:y DED 768)"
95,190,176,e:rpa:t,"n., neut",preparation,(Ta. e:rpa:tu DED 766),"e:rpa:t, n., neut. = preparation (Ta. e:rpa:tu DED 766)"
96,190,176,e:rambilla,"n., neut",aeroplane,(English),"e:rambilla:, n., neut. - aeroplane (English)"
97,190,176,ota:],"v., nc., 4",show,(G. bata:vit),"ota:], v., nc., 4. - show (G. bata:vit)"
98,190,176,oda:ya@,"n., Deut",odd-number,,"oda:ya@:, n., Deut. - odd-number"
99,190,176,odra:ntbe:R,"v., nc",sit errect,,"odra:ntbe:R, v., nc., - sit errect"
100,190,176,odi,"n., fem. (odiye:)",grand-mother,,"odi, n., fem. (odiye:) - grand-mother"
101,190,176,odava:y,"n,, neut",rope made from hides,(Ta. vatakkayiru DED 4268),"odava:y, n,, neut. — rope made from hides (Ta. vatakkayiru DED 4268)"
102,190,176,odazv,"v., ¢",cause to cover,(H. o:dva:na:),"odazv, v., ¢., - cause to cover (H. o:dva:na:)"
103,190,176,odo,"n., mas. (oda:)",grand-father,,"odo:, n., mas. (oda:) - grand-father"
104,190,176,oddava:rci,"n., fem",woman of the Odda caste who dig and carry earth,(G. od 2549),"oddava:rci, n., fem. - woman of the Odda caste who dig and carry earth (G. od 2549)"
105,190,176,odya,"n., mas",man of the Odda caste,,"odya:,n., mas. - man of the Odda caste"
106,190,176,ofJ-de,"v., nc",shake,,"ofJ-de, v., nc., - shake"
107,190,176,oliki,adj,known,,"oliki, adj. - known"
108,190,176,olaham,n . neut,world,(S. lo:g),"olaham, n . neut. - world (S. lo:g)"
109,190,176,olikade,adv,this side,,"olikade, adv. - this side"
110,190,176,orali,"n., nent",stammering,,"orali, n., nent. - stammering"
111,190,176,oyvigi,"n,, neut",cart track,(Ta. orunkay DED 849) fo:/,"oyvigi, n,, neut. ~ cart track (Ta. orunkay DED 849) fo:/"
112,190,176,otkrazne,"V., nc",to vomit,(M. oka:ra: »2538),"otkrazne, V., nc., - to vomit (M. oka:ra: »2538)"
113,190,176,o:tar,"v., oc",tremble,,"o:tar, v., oc., - tremble"
114,190,176,ostse,adj,false,,"ostse, adj. — false"
115,190,176,ozdhs,"v., ne",grow,(S. ro:dh »10843),"ozdhs, v., ne., - grow (S. ro:dh »10843)"
116,191,177,o:dé,"v., nc","spread the net, cloth etc",(G. od 2544 DED Ta. utu),"o:dé, v., nc, — spread the net, cloth etc. (G. od 2544 DED Ta. utu)"
117,191,177,ode,"n., neut",streamlet,(Ta. o:tai DED 877),"ode, n., neut. - streamlet (Ta. o:tai DED 877)"
118,191,177,ocjidi,"n., neut. (0: jidiye:)",intestine of animals,,"ocjidi, n., neut. (0: jidiye:) - intestine of animals"
119,191,177,osatr,"n., neut",state of being awake,,"osatr, n., neut, - state of being awake"
120,191,177,o:¥nat,"n , neut",doubt,(G. soc),"o:¥nat, n , neut. ~ doubt (G. soc)"
121,191,177,othade,"n., neut",medicine,"(S. ausadha, ro:hyado: 2571)","othade, n., neut.— medicine (S. ausadha, ro:hyado: 2571)"
122,191,177,o:hadsva:lo,"n., mas. (o:hadeva:fa:)",doctor,,"o:hadsva:lo:, n., mas. (o:hadeva:fa:) - doctor"
123,191,177,o-hat)vahat,"n., neut",time,,"o-hat)vahat, n., neut. — time"
124,191,177,o:nde,"0., neut",east,,"o:nde:, 0., neut. - east"
125,191,177,o:Re,"h., neut",dew,(G. os [mas.]),"o:Re, h., neut.’= dew (G. os [mas.])"
126,191,177,apne,"pro., pl",we,(G. aipan 1135),"apne:, pro., pl. - we (G. aipan 1135)"
127,191,177,abla:na:de:Jr,"n., neut",horses of Siva,,"abla:na:de:Jr, n., neut. horses of Siva"
128,191,177,ate,"n., fem",aunt,(Ta. attay DED 121),"ate:, n., fem. - aunt (Ta. attay DED 121)"
129,191,177,ataldi,"n., neut. (ataldiye:)",intestine,(H. antadi:),"ataldi, n., neut. (ataldiye:) - intestine (H. antadi:)"
130,191,177,afripe:r,"n., neut",till now,,"afripe:r, n., neut. - till now"
131,191,177,atra,adj,this much,(G. a:t/i),"atra:, adj. — this much (G. a:t/i)"
132,191,177,adhu:/adhi,"n-, neut",half,(G. adh %644),"adhu:/adhi:, n-, neut. — half (G. adh %644)"
133,191,177,adhe:li,"n., neut",half a rupee,(H. adhe:/i: a silver coin worth half a rupee),"adhe:li, n., neut. ~ half a rupee (H. adhe:/i: a silver coin worth half a rupee)"
134,191,177,admi,"n., mas",person,(H. a:dmi:),"admi, n., mas. - person (H. a:dmi:)"
135,191,177,admijalam,"n., neut",human beings,(H. a:dmi:),"admijalam, n., neut. - human beings (H. a:dmi:)"
136,191,177,afata:y,onom,sound produced when things are -broken,,"afata:y, onom. sound produced when things are -broken"
137,191,177,athatra,"n., neut",eighteen,"(G. agha:r, H. atha:rah)","athatra:, n., neut. - eighteen (G. agha:r, H. atha:rah)"
138,192,178,adi,"n., neut",cross,,"adi, n., neut. - cross"
139,192,178,adha:y,"n , neut",two aad a half,"(G. udhi, H. arhazi »651)","adha:y,n , neut. - two aad a half (G. udhi, H. arhazi »651)"
140,192,178,adtpa:dide,"n., neut",screen,(H. a:d),"adtpa:dide, n., neut. - screen (H. a:d)"
141,192,178,aditid#,"n., neut",criss cross,,"aditid#, n., neut - criss cross"
142,192,178,adrtle,"n, neut",obstruction,(H. a:d),"adrtle, n, neut. - obstruction (H. a:d)"
143,192,178,adtka:tadtka,"n., neut",odd and even numbers coming in regular pattern while picking up heads,,"adtka:tadtka:, n., neut.~ odd and even numbers coming in regular pattern while picking up heads"
144,192,178,adsko:tu,"n., neut",knife,,"adsko:tu, n., neut. - knife"
145,192,178,ada:largda,"n., neut",sticks used crosswise in mak- ing cages,,"ada:largda:, n., neut. - sticks used crosswise in mak- ing cages"
146,192,178,akit,"n,, neut",all,(G. a:kho:),"akit, n,, neut. ~ all (G. a:kho:)"
147,192,178,akanka:libilla:di,"n., neut",black cat,,"akanka:libilla:di, n., neut - black cat"
148,192,178,aku,"n., neut",whole,(G. a:kho:),"aku, n., neut. - whole (G. a:kho:)"
149,192,178,akda:nijha:du,"n., neut",madar tree,(G. a:ro 625),"akda:nijha:du, n., neut. — madar tree (G. a:ro 625)"
150,192,178,akya,"n., neut",sore eyes,(G. a:nkh),"akya:, n., neut. - sore eyes (G. a:nkh)"
151,192,178,agili,adj,"first(G a-gal, M agli)",,"agili, adj., first(G a-gal, M agli)"
152,192,178,agiliva:di,"n , neut",front legs of a goat,,"agiliva:di,n , neut. - front legs of a goat"
153,192,178,agam,"n., neut",mind,(Ta. akam DED 8),"agam, n., neut, - mind (Ta. akam DED 8)"
154,192,178,aga:di,adv,before,(G. a:gal »85),"aga:di, adv. - before (G. a:gal »85)"
155,192,178,agatSe,"n., neut",coconut,,"agatSe:, n., neut. - coconut"
156,192,178,aggi,"n., neut",ring worm,(Ta. akki DED 26),"aggi, n., neut. - ring worm (Ta. akki DED 26)"
157,192,178,aggan,"n., neut",a kind of bird,,"aggan, n., neut. - a kind of bird"
158,192,178,agnipa:nekitu,"n., neut",wasp,,"agnipa:nekitu, n., neut. - wasp"
159,192,178,agne,"n., neut",hot,(G. a:giyt »57),"agne, n., neut. - hot (G. a:giyt »57)"
160,192,178,agyo,"8., neut",glow worm,,"agyo:, 8., neut. - glow worm"
161,192,178,aca:kar,"v., nc",glean,(H. accha pure),"aca:kar, v., nc., — glean (H. accha pure)"
162,192,178,acu,"n., neut",good,(P. L. accha »142),"acu, n., neut. - good (P. L. accha »142)"
163,193,179,aju,adv,still,"(G. a:Je, H. ajahu)","aju, adv, - still (G. a:Je, H. ajahu)"
164,193,179,ajemo,"n., neut",cumin seed,(S. aja: ji »156),"ajemo:, n., neut. - cumin seed (S. aja: ji »156)"
165,193,179,avaidt,"v., c",cause to come,,"avaidt, v., c. - cause to come"
166,193,179,avetiki:re,"n., neut",west Indian pea tree,(Ta. akattikki:rai DED 6),"avetiki:re,n., neut - west Indian pea tree (Ta. akattikki:rai DED 6)"
167,193,179,«avdi/aydu,adj,this much,,"«avdi/aydu, adj. — this much"
168,193,179,avsaram,"n., neut",hurry(S avaSara 848),,"avsaram, n., neut. - hurry(S avaSara 848)"
169,193,179,avni,"n,, neut. (Ta, a:vani)",name of a Tamil month,,"avni, n,, neut. (Ta, a:vani) - name of a Tamil month"
170,193,179,avia:nepandu,"n., neut",emblic myrobalam,(H. amru:da),"avia:nepandu, n., neut. - emblic myrobalam (H. amru:da)"
171,193,179,asiruipi,"n., neut",gold,,"asiruipi, n., neut. - gold"
172,193,179,asse:asse,onom,moving little by little,,"asse:asse:, onom. - moving little by little"
173,193,179,a¥al,adj,good (H asaf),,"a¥al, adj. - good (H asaf)"
174,193,179,aSal ha:p,"n, neut-",cobra,(G. M. sa:p 13271),"aSal ha:p,n, neut- - cobra (G. M. sa:p 13271)"
175,193,179,aSaini,"n., neut",young,,"aSaini, n., neut. - young"
176,193,179,a¥ pi:¥,"n., neut",around,,"a¥ pi:¥, n., neut. — around"
177,193,179,askair,"n-, neut",fibre in the leaves,,"askair, n-, neut - fibre in the leaves"
178,193,179,aSnaty,"n., neut",a kind of puja for God when water is poured on the image and worshiped,(S. snaina %13789),"aSnaty, n., neut.-a kind of puja for God when water is poured on the image and worshiped (S. snaina %13789)"
179,193,179,ahazro,"n, neut",enclosure (Bhoj. oha:r >418),,"ahazro:,n, neut, - enclosure (Bhoj. oha:r >418)"
180,193,179,am,ady,like this,(S. ayam 587),"am, ady. - like this (S. ayam 587)"
181,193,179,ambeda:ntdo:ri,"n., neut","hemp fibre, jute",,"ambeda:ntdo:ri, n., neut. - hemp fibre, jute"
182,193,179,ambal,"n., neut",gruel,(Ta. ampali [< Te.] DED 146),"ambal,n., neut - gruel (Ta. ampali [< Te.] DED 146)"
183,193,179,ambar,"n., neut",blaod,,"ambar,n., neut. - blaod"
184,193,179,ambo,"n., neut",mango,(M. @:ba: 1268),"ambo:, n., neut. - mango (M. @:ba: 1268)"
185,193,179,ambli,"n., neut",tamarind,(G. @:d/i »1280) {79,"ambli, n., neut. - tamarind (G. @:d/i »1280) {79"
186,194,180,amda:nangri,"n., neut",name of a town,,"amda:nangri, n., neut. name of a town"
187,194,180,amma:R,"n., neut",new-moon,(G. amazs 4565),"amma:R, n., neut. - new-moon (G. amazs 4565)"
188,194,180,andi:Sanko:pi,"n., mas",rain God,(S. indra %1572),"andi:Sanko:pi, n., mas. - rain God (S. indra %1572)"
189,194,180,anda:du:s,"n., neut",a plant,,"anda:du:s, n., neut. - a plant"
190,194,180,anda:ri/inda:ru,"n., neut","night, darkness",(A. a:ndha:r 386) G. andhaka:r,"anda:ri/inda:ru, n., neut. - night, darkness (A. a:ndha:r 386) G. andhaka:r"
191,194,180,ana‘,"n., peut",an anna or six paise,,"ana‘, n., peut. - an anna or six paise"
192,194,180,ana:j,"n., neut., pl",grains,(G. ana:F),"ana:j,n., neut., pl. - grains (G. ana:F)"
193,194,180,ana: jbana:j,"n., neut., pl",grains of various kinds,,"ana: jbana:j, n., neut., pl. — grains of various kinds"
194,194,180,anatra: jha:da,"n., neut",a plant,(H. ana:r a pomegrante),"anatra: jha:da:, n., neut. - a plant (H. ana:r a pomegrante)"
195,194,180,antkam,"n., neut",distance,,"antkam, n., neut. - distance"
196,194,180,ansal,"n., neut",flame,(Ta. anal DED ),"ansal, n., neut. - flame (Ta. anal DED )"
197,194,180,ani,"n., neut",fighting,(Ta. ani DED 98),"ani, n., neut. - fighting (Ta. ani DED 98)"
198,194,180,ankya,"n., neut., pl",eyes,(H. a:7ikh),"ankya:, n., neut., pl. - eyes (H. a:7ikh)"
199,194,180,afgair,"n., neut., sg",earth,,"afgair, n., neut., sg. - earth"
200,194,180,ango:fi,"n., neut. (afgo:siye:)",thumb,(G. @gutho »137),"ango:fi, n., neut. (afgo:siye:) - thumb (G. @gutho »137)"
201,194,180,angusta:n,"n., neut",ornament worn in the upper part of the arm,(S. arisshya pertainidg to the thumb >138),"angusta:n, n., neut. ~ ornament worn in the upper part of the arm (S. arisshya pertainidg to the thumb >138)"
202,194,180,anguifi,"n, neut. (argu: tiye:)",ring,(G. d@gutho 4137),"anguifi,n, neut. (argu: tiye:) - ring (G. d@gutho 4137)"
203,194,180,angli,"n., neut. (an gliye:)",finger,(G. d:gli: 135),"angli,n., neut. (an gliye:) - finger (G. d:gli: 135)"
204,194,180,ali,part,term of address for woman,,"ali, part. = term of address for woman"
205,194,180,aliki,"n., neut","little cormorant, a bird",(S. aliki ¥711),"aliki, n., neut. - little cormorant, a bird (S. aliki ¥711)"
206,194,180,ala,part,term of address for man,,"ala:, part. - term of address for man"
207,194,180,alava:rige,"n, neut",long hook,(Ta. alava:nky DED),"alava:rige,n, neut. - long hook (Ta. alava:nky DED)"
208,195,181,alam,"n., neut",person,,"alam, n., neut. - person"
209,195,181,ala:du,"n., neut",different,(H. ala: va),"ala:du, n., neut. - different (H. ala: va)"
210,195,181,ala:ke,part,then,,"ala:ke, part. - then"
211,195,181,ala:v[hala:v,"v., nc",wave the hands back and forth,(G. Aalavi »14003),"ala:v[hala:v, v., nc,- wave the hands back and forth (G. Aalavi »14003)"
212,195,181,aldatya,"n, neut., pl",others,,"aldatya:,n, neut., pl. — others"
213,195,181,alda:vanpaha‘dt,"n., neut",a mountain,,"alda:vanpaha‘dt, n., neut. ~ a mountain"
214,195,181,alla,"n., neut",God,,"alla:, n., neut. - God"
215,195,181,alla:nigudhi,"n., neu'",Mosque,,"alla:nigudhi, n., neu', - Mosque"
216,195,181,alavli,adv,according to the measure,(Ta. alavu DED 252),"alavli, adv, - according to the measure (Ta. alavu DED 252)"
217,195,181,alayé,"n., neut., pl",pimples,,"alayé,n., neut., pl. - pimples"
218,195,181,alle,"n., neut",side of the body,(Ta. a/fe DED 251),"alle,n., neut. - side of the body (Ta. a/fe DED 251)"
219,195,181,ari,"n., peut",thorn,(M. ari: 2?),"ari,n., peut - thorn (M. ari: 2?)"
220,195,181,are,part,term of address,,"are:, part. - term of address"
221,195,181,arandi:nupandu,n. neut,castor seeds,(H. arand *2°17),"arandi:nupandu, n. neut. - castor seeds (H. arand *2°17)"
222,195,181,arti,"n,neut",light,(G. M. a:rti >1315),"arti,n,neut - light (G. M. a:rti >1315)"
223,195,181,ardhal,"n,neut",half,(S. ardha 644),"ardhal,n,neut - half (S. ardha 644)"
224,195,181,argo,"0., neut (arga:)",nose ring,(S. arkavarta a sort of ornament >628),"argo:, 0., neut (arga:) - nose ring (S. arkavarta a sort of ornament >628)"
225,195,181,aram,"n., neut",file,(Ta. aram DED 191b),"aram,n., neut — file (Ta. aram DED 191b)"
226,195,181,aramntbando,n.. neut,filing stone,,"aramntbando:, n.. neut — filing stone"
227,195,181,arva:diyo,"n ,mas",god of death,(cf. gorva:diyo:),"arva:diyo:, n ,mas. - god of death (cf. gorva:diyo:)"
228,195,181,arna,"n, neut",hght,,"arna:,n, neut. - hght"
229,195,181,aya,"v., fem",mother,(G. M. a:i: >997),"aya:, v., fem. - mother (G. M. a:i: >997)"
230,195,181,aydugo,pl,"an expression of fear, surprise etc",(H. ayi),"aydugo:, pl. - an expression of fear, surprise etc. (H. ayi)"
231,196,182,ayma:nam,"n., neut",respect,(S. abhima:na %524),"ayma:nam, n., neut. - respect (S. abhima:na %524)"
232,196,182,ayno,"n., neut. (ayna:)",mirror,(G. atino:) fa:/,"ayno:, n., neut. (ayna:) - mirror (G. atino:) fa:/"
233,196,182,a,adj,this,(S. a— pron. 1),"a:, adj. - this (S. a— pron. 1)"
234,196,182,a,pron,"he, she, it",(S.a- 1),"a:, pron. - he, she, it. (S.a- 1)"
235,196,182,aipi,"o., neut",iron stand,(Ta. a: pps DED 286),"aipi, o., neut. — iron stand (Ta. a: pps DED 286)"
236,196,182,a:b,"1., neut",stay,,"a:b, 1., neut. - stay"
237,196,182,a:fta:nediviiye,"n., neut",lights,,"a:fta:nediviiye:, n., neut. ~ lights"
238,196,182,a:to,"0., neut. (a:fa:)",wheat,(H. a@:ta: flour),"a:to:, 0., neut. (a:fa:) - wheat (H. a@:ta: flour)"
239,196,182,argphe/@:ttht,"n., neut",eight,,"argphe/@:ttht, n., neut. - eight"
240,196,182,adi,"n., neut","name of a Tamil month (> S, a:sa.d)",,"adi, n., neut. - name of a Tamil month (> S, a:sa.d)"
241,196,182,aig#,"n., neut",fire,(G. a:gi »55),"aig#, n., neut. - fire (G. a:gi »55)"
242,196,182,aical,"n., neut","breast, nipple",(G. @:cal udder),"aical, n., neut.- breast, nipple (G. @:cal udder)"
243,196,182,a. jiba:ji,,all around,,a. jiba:ji - all around
244,196,182,att,adv,today,(G. a: j »242),"att, adv. - today (G. a: j »242)"
245,196,182,a’ jevahat,adv,at this time,,"a’ jevahat, adv. - at this time"
246,196,182,av,"V., nc",come,(G. a:y),"av, V., nc. - come (G. a:y)"
247,196,182,a:8a,"n., neut",desire,(H. a¥a:),"a:8a:, n., neut, - desire (H. a¥a:)"
248,196,182,a:Satri,"n., mas",carpenter,(S. a:ca:riyakula 7),"a:Satri, n., mas. - carpenter (S. a:ca:riyakula 7)"
249,196,182,a:me:ha:me,adv,"face to face, opposite",(G. saime:),"a:me:ha:me:, adv. — face to face, opposite (G. saime:)"
250,196,182,aini,"n., neut",name of a Tamil month,,"aini, n., neut. - name of a Tamil month"
251,196,182,a:nu,"nb, neut",ana,"(G, a:ni)","a:nu, nb, neut. - ana (G, a:ni)"
252,196,182,a:ndo,"n, mas (a:nda:)","testicles, man who has big testicles",(G. @:d LIL),"a:ndo:,n, mas (a:nda:) - testicles, man who has big testicles (G. @:d LIL)"
253,196,182,a‘fiju,"0., neut",tears (H a:msu/@:su),,"a‘fiju, 0., neut. - tears (H a:msu/@:su)"
254,196,182,ain,"n, neut",woman’s chest,(H. a:7 body),"ain, n, neut. ~ woman’s chest (H. a:7 body)"
255,196,182,a:nmalla:runda,"o., mas",name of a buffalo,,"a:nmalla:runda:, o., mas. - name of a buffalo"
256,197,183,= a:ra:mkar,"v., c",make some one comfortable (S_ a:ra:ma: delight),,"= a:ra:mkar, v., c., - make some one comfortable (S_ a:ra:ma: delight)"
