item,pdf_page,printed_page,form,morphology,gloss,etymology,raw_entry
1005,226,212,ki:bi,adv,anywhere,,"ki:bi, adv. — anywhere"
1006,226,212,ki:do,"n., neut",moth,"(G. ki:ro, ori >3193)","ki:do;, n., neut. — moth (G. ki:ro, ori >3193)"
1007,226,212,ki:ndt,"n, neut",a hole,,"ki:ndt, n, neut. — a hole"
1008,226,212,ki:/,"n., neut",pimple,,"ki:/, n., neut. - pimple"
1009,226,212,ki:la,"n, mas",mad-—person,,"ki:la:, n, mas. - mad-—person"
1010,226,212,ki:li,"n., neut",lane,(H. gali),"ki:li, n., neut. — lane (H. gali)"
1011,226,212,kede,adv,when,(G. Jyasre),"kede:, adv. — when (G. Jyasre)"
1012,226,212,kejugo,adv,where,(G. ky@:),"kejugo:, adv. — where (G. ky@:)"
1013,226,212,kevdo,"n,, neut. (kevda:)",screw pine tree,,"kevdo:, n,, neut. (kevda:) - screw pine tree"
1014,226,212,kevdu,adv,howmuch,(G. kewada:),"kevdu, adv. - howmuch (G. kewada:)"
1015,226,212,kehifiya,"n., neut., pl",workers,,"kehifiya:, n., neut., pl. - workers"
1016,226,212,keldu,"n., neut. (kelda:)",calf,,"keldu, n., neut. (kelda:) — calf"
1017,226,212,keyu,adv,which,"(G, kya:)","keyu, adv. - which (G, kya:)"
1018,226,212,ke:bar,"n., neut",myna bird,,"ke:bar, n., neut. — myna bird"
1019,226,212,ke:ttar,"n., neut",field,(H. khe:t),"ke:ttar, n., neut. — field (H. khe:t)"
1020,226,212,ke:ttara:di,"n., neut",field and its near by places,,"ke:ttara:di, n., neut. — field and its near by places"
1021,226,212,ke:tliyo,"n., mas. (ke:tliya:)",fox,(G. kohlu:),"ke:tliyo:, n., mas. (ke:tliya:) — fox (G. kohlu:)"
1022,226,212,ke:tni,"n., neut",grazing,,"ke:tni, n., neut. — grazing"
1023,226,212,ke:d@:v,"n., neut",axis,,"ke:d@:v, n., neut. - axis"
1024,226,212,ke:l,"v., nc",play,(G. khe:! »3918),"ke:l, v., nc. ~ play (G. khe:! »3918)"
1025,226,212,ke:la:v,"v., ¢",cause to play,,"ke:la:v, v., ¢. — cause to play"
1026,226,212,ke:Ji,"n., neut",pot,"(G. kulri:, kulli: earthern pot »3354)","ke:Ji,n., neut. — pot (G. kulri:, kulli: earthern pot »3354)"
1027,226,212,ke:/a,"n., neut",plantain (Ke:la:),,"ke:/a:, n., neut. — plantain (Ke:la:)"
1028,226,212,ke:Ja:vanti,"n., neut",small plantain tree,,"ke:Ja:vanti, n., neut. - small plantain tree"
1029,226,212,ke:kdi,"n., neut",crab,(G. kh&ékro >2816),"ke:kdi, n., neut. — crab (G. kh&ékro >2816)"
1030,227,213,ketca:v,"v., c",cause to drag,,"ketca:v, v., c. — cause to drag"
1031,227,213,ke:c#,"v, nc",drag,(G. K. hec 3881),"ke:c#,v, nc. — drag (G. K. hec 3881)"
1032,227,213,ke:zcu,"n., neut",worm,(H. kécua: 3459),"ke:zcu, n., neut. — worm (H. kécua: 3459)"
1033,227,213,kapar,"n., neut",idols,,"kapar, n., neut. — idols"
1034,227,213,kapa:ce,"n., neut., pl",small sticks,,"kapa:ce, n., neut., pl. — small sticks"
1035,227,213,kapa:li,"n., neut",skull,(G. M. kapa:fi 2744),"kapa:li, n., neut. ~ skull (G. M. kapa:fi 2744)"
1036,227,213,kapu:r,"n., neut",camphour,(P. H. B. G. kapu:r >2880),"kapu:r,n., neut.-camphour (P. H. B. G. kapu:r >2880)"
1037,227,213,kaprucitru,"n., neut",animals with spots on their bodies,(S. Karbara 2882),"kaprucitru, n., neut.~ animals with spots on their bodies (S. Karbara 2882)"
1038,227,213,kabar,"n., neut",news,(H. khabar),"kabar, n., neut. — news (H. khabar)"
1039,227,213,kabrili,"n., neut",water bird,,"kabrili, n., neut. — water bird"
1040,227,213,katti:l,"n., neut",lead,(G. sisi),"katti:l, n., neut. — lead (G. sisi)"
1041,227,213,katte:r,"v., nc",cut,(H. kattarna:),"katte:r, v., nc. — cut (H. kattarna:)"
1042,227,213,kattarni,"n., neut",scissors,(P. katarni %2858),"kattarni, n., neut. — scissors (P. katarni %2858)"
1043,227,213,katra:y,"v., c",cause to cut,,"katra:y, v., c. — cause to cut"
1044,227,213,katra:ni ari,"n., neut",cutting blade,,"katra:ni ari, n., neut. — cutting blade"
1045,227,213,kadane,"n., neut",water insect,,"kadane, n., neut. ~ water insect"
1046,227,213,kaddu,"n., neut",white pumbkin,(H. kaddu),"kaddu, n., neut. — white pumbkin (H. kaddu)"
1047,227,213,katt,"n., neut",dust in the teeth,,"katt, n., neut. — dust in the teeth"
1048,227,213,kata:huli,"n., neut",rib—bone,,"kata:huli, n., neut. — rib—bone"
1049,227,213,kata:li,"n., neut",bedge,,"kata:li, n., neut. — bedge"
1050,227,213,kato,"n., neut",bund,,"kato:, n., neut. - bund"
1051,227,213,Katema:i,"n., neut",bed—bug,(H. katmal),"Katema:i, n., neut. — bed—bug (H. katmal)"
1052,227,213,kag/e,"n., neut",cot,(Ta. kattil DED 960),"kag/e, n., neut. —cot (Ta. kattil DED 960)"
1053,227,213,kadi,"n., neut",sauce,,"kadi:, n., neut. - sauce"
1054,227,213,kadazy,"n., neut",frying-pan,(H. kadatha: G. kato:ro: »2641),"kadazy, n., neut. —frying-pan (H. kadatha: G. kato:ro: »2641)"
1055,228,214,kadu,"n., neut. (kada:)",story,(S. katha),"kadu, n., neut. (kada:) - story (S. katha)"
1056,228,214,kadu,"n., neut",bitterness,(S. Katu adj. bitter),"kadu:, n., neut. - bitterness (S. Katu adj. bitter)"
1057,228,214,kadzji-ram,"n., neut., pl",mustard etc,(Ta. katuku DED 953),"kadzji-ram, n., neut., pl. - mustard etc. (Ta. katuku DED 953)"
1058,228,214,= kadSi,"n., neut",last,(Ta. kataici DED 953),"= kadSi, n., neut. - last (Ta. kataici DED 953)"
1059,228,214,kakes,"n., neut",Jatrine,,"kakes, n., neut, — Jatrine"
1060,228,214,kakra:lo,"n , neut",rope,,"kakra:lo:,n , neut. — rope"
1061,228,214,kacini,"n, neut",cloth,(H. kachni: lower garment reaching upto the knees),"kacini,n, neut. - cloth (H. kachni: lower garment reaching upto the knees)"
1062,228,214,kaca,"n., neut",raw,(P. kacca: »2613),"kaca:,n., neut. - raw (P. kacca: »2613)"
1063,228,214,kajtga:go:li,"n., neut",a play,,"kajtga:go:li, n., neut. - a play"
1064,228,214,ka jhuro,"n , neut. (ka jhura:)",centipede,(N. khajhuro »3829),"ka jhuro:, n , neut. (ka jhura:) — centipede (N. khajhuro »3829)"
1065,228,214,kaval,"n., neut",white,,"kaval, n., neut. - white"
1066,228,214,kavatri,"n., fem. (kavatriye:)",young girl,(G. kitvatri: 3303),"kavatri,n., fem. (kavatriye:) - young girl (G. kitvatri: 3303)"
1067,228,214,kava:ro,"n., mas. (Kava:ra:)",young boy,,"kava:ro:, n., mas. (Kava:ra:) — young boy"
1068,228,214,kava:rn,"n., neut. (Kava:ra:)","- young, youth",,"kava:rn, n., neut. (Kava:ra:) —- young, youth"
1069,228,214,kavaty,"n., neut",depth,,"kavaty, n., neut. — depth"
1070,228,214,kavlu,adj,tender,,"kavlu, adj. — tender"
1071,228,214,kasibo:gdu,"n., neut",goat for slaughtering,,"kasibo:gdu, n., neut. — goat for slaughtering"
1072,228,214,kasina:k,"v., nc","erase, smothen",,"kasina:k,v., nc — erase, smothen"
1073,228,214,kastu:ri,"n., neut",musk,(S. kastu:ri: >2985),"kastu:ri, n., neut. — musk (S. kastu:ri: >2985)"
1074,228,214,kasva:ni,"n., neut",ugliness ( >M. kasbi:ni),,"kasva:ni,n., neut. - ugliness ( >M. kasbi:ni)"
1075,228,214,kasni,"n., neut",a mode of dressing,,"kasni, n., neut. ~ a mode of dressing"
1076,228,214,kaSa:bva:fo,"a., mas",butcher,(G. kasa:i),"kaSa:bva:fo:, a., mas. — butcher (G. kasa:i)"
1077,228,214,kahitnupandu,"n., neut",wood apple,,"kahitnupandu, n., neut. — wood apple"
1078,228,214,kaha:riya,"n., mas., pl",goldsmiths,,"kaha:riya:, n., mas., pl. — goldsmiths"
1079,229,215,kam,"n., neut",less,(H. kam),"kam, n., neut. — less (H. kam)"
1080,229,215,kama:ykar,"v-, nc",earn,(G. kama: vii),"kama:ykar, v-, nc. — earn (G. kama: vii)"
1081,229,215,kam#,"v., nc",controle,,"kam#, v., nc. — controle"
1082,229,215,kambar,"n., neut",hip,(H. kamar),"kambar, n., neut. — hip (H. kamar)"
1083,229,215,kamto,"v., c",cause to become under control,,"kamto:, v., c. - cause to become under control"
1084,229,215,kampho:ke,"v., nc",smear the blocd etc.,,"kampho:ke, v., nc. - smear the blocd etc."
1085,229,215,kamsi:l,"n., oeut",low; inferior,,"kamsi:l, n., oeut. — low; inferior"
1086,229,215,kammi,adv,less,,"kammi, adv. - less"
1086a,229,215,kantiya,"n., neut",story,(S. katha:nak »2705),"kantiya:, n., neut. story (S. katha:nak »2705)"
1087,229,215,kandra:p,"n., neut",sulphur,(H. kardhak),"kandra:p, n., neut. sulphur (H. kardhak)"
1088,229,215,kaniki/kaniki,"n., neut",broken rice,(G. kanki >2665),"kaniki/kaniki, n., neut. — broken rice (G. kanki >2665)"
1089,229,215,kanpeti,"n., neut",cheeck,,"kanpeti, n., neut. — cheeck"
1090,229,215,kanda:du,"n-, neut",handle,,"kanda:du, n-, neut. — handle"
1091,229,215,kan jani,"n., fem",prostitute,(M. kaftcani),"kan jani, n., fem. - prostitute (M. kaftcani)"
1092,229,215,kanni,"n., fem",young girl (RV. kannika 2737),,"kanni, n., fem. - young girl (RV. kannika 2737)"
1093,229,215,kanne,part,near,(G. kanhai) kané [kanne,"kanne:, part. - near (G. kanhai) kané [kanne"
1094,229,215,kantkanz,"n., neut",toy,,"kantkanz, n., neut, — toy"
1095,229,215,kandemani,"n., neut",beeds worn around the neck,(S. kanthamani °),"kandemani, n., neut. - beeds worn around the neck (S. kanthamani °)"
1096,229,215,kanda:y,"v., c",cause to bite,(G. karadvit),"kanda:y, v., c. — cause to bite (G. karadvit)"
