Record_Type,Source_Key,PDF_Page,Printed_Page,Column,Item,Gloss,Site,Role,Source_Name,Location,Source_Raw,Manual_Transcription,Resolved_Forms,Similarity_Groups,Qualifiers,Manual_Review,Item_Review_Note,Uncertainty_Type,OCR_Evidence_Primary,OCR_Evidence_Secondary,OCR_Evidence_Latin,Source_Status,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Keys
wordlist cell,webster2024haryanvi,28,21,1,1,body,HRT,target,Rohtak Haryanvi/Bangru,"Rohtak, Rohtak district, Haryana",1 d̪eh /2 gaṭ /3 kaja,1 d̪eh /2 gaṭ /3 kaja,d̪eh | gaṭ | kaja,1 | 2 | 3, |  | ,manual-scan,,,1 geht 42 gat 13 kaja,1 geht 42 gat 13 kaja,1 gohi ?/2 gat /3 kaja,response,installed,,kaithal,sil-haryanvi-2024-hrt,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HRT]",silharyanvi2024:i001:hrt:v01 | silharyanvi2024:i001:hrt:v02 | silharyanvi2024:i001:hrt:v03
wordlist cell,webster2024haryanvi,28,21,1,1,body,HJN,target,Jind Haryanvi,"Jind, Jind district, Haryana",4 seṭ /2 gaṭ,4 seṭ /2 gaṭ,seṭ | gaṭ,4 | 2, | ,manual-scan,,,4 sect /2 gat,4 sect /2 gat,4 sct 12 gat,response,installed,,kaithal,sil-haryanvi-2024-hjn,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HJN]",silharyanvi2024:i001:hjn:v01 | silharyanvi2024:i001:hjn:v02
wordlist cell,webster2024haryanvi,28,21,1,1,body,HFT,target,Fatehabad Haryanvi/Bagri,"Fatehabad, Hissar district, Haryana",1 d̪eh /5 sʌrir /3 kaja,1 d̪eh /5 sʌrir /3 kaja,d̪eh | sʌrir | kaja,1 | 5 | 3, |  | ,manual-scan,,,1 goh /5 sarcic /3 kaja,1 goh /5 sarcic /3 kaja,1 doh /5 saric /3 kaja,response,installed,,kaithal,sil-haryanvi-2024-hft,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HFT]",silharyanvi2024:i001:hft:v01 | silharyanvi2024:i001:hft:v02 | silharyanvi2024:i001:hft:v03
wordlist cell,webster2024haryanvi,28,21,1,1,body,HNG,target,Dehar (Narayangarh) Haryanvi,"Dehar, Narayangarh Tehsil, Ambala district, Haryana",2 gaṭ /3 kaja /6 t̪ʌn,2 gaṭ /3 kaja /6 t̪ʌn,gaṭ | kaja | t̪ʌn,2 | 3 | 6, |  | ,manual-scan,,,2 gat /3 kaja /6 tan,2 gat /3 kaja /6 tan,2 gag /3 kaja 1/6 kan,response,installed,,kaithal,sil-haryanvi-2024-hng,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HNG]",silharyanvi2024:i001:hng:v01 | silharyanvi2024:i001:hng:v02 | silharyanvi2024:i001:hng:v03
wordlist cell,webster2024haryanvi,28,21,1,1,body,BPL,comparison,Palwal Braj Bhasha/Haryanvi comparison,"Aalahpur, Palwal Tehsil, Faridabad district, Haryana",,,,,,excluded comparison; not manually transcribed,,,1 geht,1 geht,1 gehi,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, BPL]",
wordlist cell,webster2024haryanvi,28,21,1,1,body,HTR,target,Taoru Haryanvi/Mewati,"Taoru, Gurgaon district, Haryana",5 sʌrir,5 sʌrir,sʌrir,5,,manual-scan,,,3 sacic,3 sacic,5 sarcir,response,installed,,kaithal,sil-haryanvi-2024-htr,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HTR]",silharyanvi2024:i001:htr:v01
wordlist cell,webster2024haryanvi,28,21,1,1,body,HLH,target,Loharu Haryanvi/Bagri,"Loharu, Mahendragarh district, Haryana",1 d̪eh,1 d̪eh,d̪eh,1,,manual-scan,,,1 geh,1 geh,1 deh,response,installed,,kaithal,sil-haryanvi-2024-hlh,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HLH]",silharyanvi2024:i001:hlh:v01
wordlist cell,webster2024haryanvi,28,21,1,1,body,PBG,comparison,Kuthard Baghati Pahari comparison,"Kuthard, Kasali Tehsil, Solan district, Himachal Pradesh",,,,,,excluded comparison; not manually transcribed,,,7 dgcsum,7 dgcsum,7 dztsum,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, PBG]",
wordlist cell,webster2024haryanvi,28,21,1,1,body,HIN,comparison,Standard North Indian Hindustani comparison,North India; many sources,,,,,,excluded comparison; not manually transcribed,,,S facic (7 badan,S facic (7 badan,5 facic 17 badan,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HIN]",
wordlist cell,webster2024haryanvi,28,21,1,1,body,PUN,comparison,Standard Punjabi comparison,"Fatehgarh/Churian, Guridaspur district, Punjab",,,,,,excluded comparison; not manually transcribed,,,53 faric,53 faric,5 farir,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, PUN]",
wordlist cell,webster2024haryanvi,28,21,2,2,head,HRT,target,Rohtak Haryanvi/Bangru,"Rohtak, Rohtak district, Haryana",1 sir,1 sir,sir,1,,manual-scan,,,1 sic,1 sic,1 sic,response,installed,,kaithal,sil-haryanvi-2024-hrt,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, HRT]",silharyanvi2024:i002:hrt:v01
wordlist cell,webster2024haryanvi,28,21,2,2,head,HJN,target,Jind Haryanvi,"Jind, Jind district, Haryana",1 sir,1 sir,sir,1,,manual-scan,,,1 sic,1 sic,1 sir,response,installed,,kaithal,sil-haryanvi-2024-hjn,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, HJN]",silharyanvi2024:i002:hjn:v01
wordlist cell,webster2024haryanvi,28,21,2,2,head,HFT,target,Fatehabad Haryanvi/Bagri,"Fatehabad, Hissar district, Haryana",1 sʌr /1 sir,1 sʌr /1 sir,sʌr | sir,1 | 1, | ,manual-scan,,,1 sar 71 ser,1 sar 71 ser,1 sac 11 sir,response,installed,,kaithal,sil-haryanvi-2024-hft,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, HFT]",silharyanvi2024:i002:hft:v01 | silharyanvi2024:i002:hft:v02
wordlist cell,webster2024haryanvi,28,21,2,2,head,HNG,target,Dehar (Narayangarh) Haryanvi,"Dehar, Narayangarh Tehsil, Ambala district, Haryana",1 sʌr,1 sʌr,sʌr,1,,manual-scan,,,1 ater,1 ater,1 sır,response,installed,,kaithal,sil-haryanvi-2024-hng,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, HNG]",silharyanvi2024:i002:hng:v01
wordlist cell,webster2024haryanvi,28,21,2,2,head,BPL,comparison,Palwal Braj Bhasha/Haryanvi comparison,"Aalahpur, Palwal Tehsil, Faridabad district, Haryana",,,,,,excluded comparison; not manually transcribed,,,1 steer,1 steer,1 sir,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, BPL]",
wordlist cell,webster2024haryanvi,28,21,2,2,head,HTR,target,Taoru Haryanvi/Mewati,"Taoru, Gurgaon district, Haryana",2 ṭoṇṭ,2 ṭoṇṭ,ṭoṇṭ,2,,manual-scan,,,2 tont,2 tont,2 tont,response,installed,,kaithal,sil-haryanvi-2024-htr,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, HTR]",silharyanvi2024:i002:htr:v01
wordlist cell,webster2024haryanvi,28,21,2,2,head,HLH,target,Loharu Haryanvi/Bagri,"Loharu, Mahendragarh district, Haryana",1 sʌr /2 t̪ant,1 sʌr /2 t̪ant,sʌr | t̪ant,1 | 2, | ,manual-scan,HLH second form's first consonant is faint,transcription,1 ste 72 tant,1 ste 72 tant,1 stc 12 tant,response,installed,,kaithal,sil-haryanvi-2024-hlh,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, HLH]",silharyanvi2024:i002:hlh:v01 | silharyanvi2024:i002:hlh:v02
wordlist cell,webster2024haryanvi,28,21,2,2,head,PBG,comparison,Kuthard Baghati Pahari comparison,"Kuthard, Kasali Tehsil, Solan district, Himachal Pradesh",,,,,,excluded comparison; not manually transcribed,,,3 mOnd /1 fir,3 mOnd /1 fir,3 münd /1 fir,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, PBG]",
wordlist cell,webster2024haryanvi,28,21,2,2,head,HIN,comparison,Standard North Indian Hindustani comparison,North India; many sources,,,,,,excluded comparison; not manually transcribed,,,1 ser,1 ser,1 sır,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, HIN]",
wordlist cell,webster2024haryanvi,28,21,2,2,head,PUN,comparison,Standard Punjabi comparison,"Fatehgarh/Churian, Guridaspur district, Punjab",,,,,,excluded comparison; not manually transcribed,,,1 ster,1 ster,1 sır,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 2, PUN]",
wordlist cell,webster2024haryanvi,28,21,3,3,hair,HRT,target,Rohtak Haryanvi/Bangru,"Rohtak, Rohtak district, Haryana",1 bal,1 bal,bal,1,,manual-scan,,,1 bal,1 bal,1 baļ,response,installed,,kaithal,sil-haryanvi-2024-hrt,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, HRT]",silharyanvi2024:i003:hrt:v01
wordlist cell,webster2024haryanvi,28,21,3,3,hair,HJN,target,Jind Haryanvi,"Jind, Jind district, Haryana",1 bal /2 kes,1 bal /2 kes,bal | kes,1 | 2, | ,manual-scan,,,1 bal /2 kes,1 bal /2 kes,1 bal /2 kes,response,installed,,kaithal,sil-haryanvi-2024-hjn,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, HJN]",silharyanvi2024:i003:hjn:v01 | silharyanvi2024:i003:hjn:v02
wordlist cell,webster2024haryanvi,28,21,3,3,hair,HFT,target,Fatehabad Haryanvi/Bagri,"Fatehabad, Hissar district, Haryana",1 bal,1 bal,bal,1,,manual-scan,,,1 bal,1 bal,1 bal,response,installed,,kaithal,sil-haryanvi-2024-hft,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, HFT]",silharyanvi2024:i003:hft:v01
wordlist cell,webster2024haryanvi,28,21,3,3,hair,HNG,target,Dehar (Narayangarh) Haryanvi,"Dehar, Narayangarh Tehsil, Ambala district, Haryana",1 bal,1 bal,bal,1,,manual-scan,,,1 bal,1 bal,1 baf,response,installed,,kaithal,sil-haryanvi-2024-hng,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, HNG]",silharyanvi2024:i003:hng:v01
wordlist cell,webster2024haryanvi,28,21,3,3,hair,BPL,comparison,Palwal Braj Bhasha/Haryanvi comparison,"Aalahpur, Palwal Tehsil, Faridabad district, Haryana",,,,,,excluded comparison; not manually transcribed,,,1 bac,1 bac,1 barc,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, BPL]",
wordlist cell,webster2024haryanvi,28,21,3,3,hair,HTR,target,Taoru Haryanvi/Mewati,"Taoru, Gurgaon district, Haryana",1 balo,1 balo,balo,1,,manual-scan,,,1 bala,1 bala,1 baļə,response,installed,,kaithal,sil-haryanvi-2024-htr,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, HTR]",silharyanvi2024:i003:htr:v01
wordlist cell,webster2024haryanvi,28,21,3,3,hair,HLH,target,Loharu Haryanvi/Bagri,"Loharu, Mahendragarh district, Haryana",1 bal,1 bal,bal,1,,manual-scan,,,1 bal,1 bal,1 bal,response,installed,,kaithal,sil-haryanvi-2024-hlh,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, HLH]",silharyanvi2024:i003:hlh:v01
wordlist cell,webster2024haryanvi,28,21,3,3,hair,PBG,comparison,Kuthard Baghati Pahari comparison,"Kuthard, Kasali Tehsil, Solan district, Himachal Pradesh",,,,,,excluded comparison; not manually transcribed,,,1 bal,1 bal,1 bal,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, PBG]",
wordlist cell,webster2024haryanvi,28,21,3,3,hair,HIN,comparison,Standard North Indian Hindustani comparison,North India; many sources,,,,,,excluded comparison; not manually transcribed,,,1 bal,1 bal,1 bal,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, HIN]",
wordlist cell,webster2024haryanvi,28,21,3,3,hair,PUN,comparison,Standard Punjabi comparison,"Fatehgarh/Churian, Guridaspur district, Punjab",,,,,,excluded comparison; not manually transcribed,,,1 bal /2 kes,1 bal /2 kes,1 baļ| /2 kes,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 3, PUN]",
wordlist cell,webster2024haryanvi,28,21,1,4,face,HRT,target,Rohtak Haryanvi/Bangru,"Rohtak, Rohtak district, Haryana",1 ʃekel /2 tʰopḍa,1 ʃekel /2 tʰopḍa,ʃekel | tʰopḍa,1 | 2, | ,manual-scan,,,1 fekel ¢2 t*opda,1 fekel ¢2 t*opda,1 fekel 72 tħopda,response,installed,,kaithal,sil-haryanvi-2024-hrt,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, HRT]",silharyanvi2024:i004:hrt:v01 | silharyanvi2024:i004:hrt:v02
wordlist cell,webster2024haryanvi,28,21,1,4,face,HJN,target,Jind Haryanvi,"Jind, Jind district, Haryana",(same as item 8),(same as item 8),mu,1,,manual-scan,,,(same as mouth),(same as mouth),(same as mouth),cross-reference,installed,source cross-reference resolved to item 8 in the same list,kaithal,sil-haryanvi-2024-hjn,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, HJN]",silharyanvi2024:i004:hjn:v01
wordlist cell,webster2024haryanvi,28,21,1,4,face,HFT,target,Fatehabad Haryanvi/Bagri,"Fatehabad, Hissar district, Haryana",1 ʃekel,1 ʃekel,ʃekel,1,,manual-scan,,,1 fekel,1 fekel,1 fekel,response,installed,,kaithal,sil-haryanvi-2024-hft,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, HFT]",silharyanvi2024:i004:hft:v01
wordlist cell,webster2024haryanvi,28,21,1,4,face,HNG,target,Dehar (Narayangarh) Haryanvi,"Dehar, Narayangarh Tehsil, Ambala district, Haryana",(same as item 8),(same as item 8),mu,1,,manual-scan,,,(same as mouth),(same as mouth),(same as mouth),cross-reference,installed,source cross-reference resolved to item 8 in the same list,kaithal,sil-haryanvi-2024-hng,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, HNG]",silharyanvi2024:i004:hng:v01
wordlist cell,webster2024haryanvi,28,21,1,4,face,BPL,comparison,Palwal Braj Bhasha/Haryanvi comparison,"Aalahpur, Palwal Tehsil, Faridabad district, Haryana",,,,,,excluded comparison; not manually transcribed,,,3 monda,3 monda,3 monda,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, BPL]",
wordlist cell,webster2024haryanvi,28,21,1,4,face,HTR,target,Taoru Haryanvi/Mewati,"Taoru, Gurgaon district, Haryana",4 tʃehera,4 tʃehera,tʃehera,4,,manual-scan,,,4 tfehera,4 tfehera,4 tfehera,response,installed,,kaithal,sil-haryanvi-2024-htr,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, HTR]",silharyanvi2024:i004:htr:v01
wordlist cell,webster2024haryanvi,28,21,1,4,face,HLH,target,Loharu Haryanvi/Bagri,"Loharu, Mahendragarh district, Haryana",(same as item 8),(same as item 8),mu,1,,manual-scan,,,(same as mouth),(same as mouth),(same as mouth),cross-reference,installed,source cross-reference resolved to item 8 in the same list,kaithal,sil-haryanvi-2024-hlh,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, HLH]",silharyanvi2024:i004:hlh:v01
wordlist cell,webster2024haryanvi,28,21,1,4,face,PBG,comparison,Kuthard Baghati Pahari comparison,"Kuthard, Kasali Tehsil, Solan district, Himachal Pradesh",,,,,,excluded comparison; not manually transcribed,,,(same as moullh),(same as moullh),(same as moulh),excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, PBG]",
wordlist cell,webster2024haryanvi,28,21,1,4,face,HIN,comparison,Standard North Indian Hindustani comparison,North India; many sources,,,,,,excluded comparison; not manually transcribed,,,4 tfehara (Ul) ? (mouth),4 tfehara (Ul) ? (mouth),4 tfehara (HU) ? (mouth),excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, HIN]",
wordlist cell,webster2024haryanvi,28,21,1,4,face,PUN,comparison,Standard Punjabi comparison,"Fatehgarh/Churian, Guridaspur district, Punjab",,,,,,excluded comparison; not manually transcribed,,,(same as mouth),(same as mouth),(same as mouth),excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 4, PUN]",
wordlist cell,webster2024haryanvi,28,21,2,5,eye,HRT,target,Rohtak Haryanvi/Bangru,"Rohtak, Rohtak district, Haryana",1 æk,1 æk,æk,1,,manual-scan,,,1 &k,1 &k,1 žk,response,installed,,kaithal,sil-haryanvi-2024-hrt,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, HRT]",silharyanvi2024:i005:hrt:v01
wordlist cell,webster2024haryanvi,28,21,2,5,eye,HJN,target,Jind Haryanvi,"Jind, Jind district, Haryana",1 akʰ,1 akʰ,akʰ,1,,manual-scan,,,1 ak*,1 ak*,1 ak’,response,installed,,kaithal,sil-haryanvi-2024-hjn,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, HJN]",silharyanvi2024:i005:hjn:v01
wordlist cell,webster2024haryanvi,28,21,2,5,eye,HFT,target,Fatehabad Haryanvi/Bagri,"Fatehabad, Hissar district, Haryana",1 aŋkʰ /2 najʌr,1 aŋkʰ /2 najʌr,aŋkʰ | najʌr,1 | 2, | ,manual-scan,,,1 ank /2 najan,1 ank /2 najan,1 ägk ?/2 najan,response,installed,,kaithal,sil-haryanvi-2024-hft,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, HFT]",silharyanvi2024:i005:hft:v01 | silharyanvi2024:i005:hft:v02
wordlist cell,webster2024haryanvi,28,21,2,5,eye,HNG,target,Dehar (Narayangarh) Haryanvi,"Dehar, Narayangarh Tehsil, Ambala district, Haryana",1 aŋkʰ,1 aŋkʰ,aŋkʰ,1,,manual-scan,,,1 ank*,1 ank*,1 änkb,response,installed,,kaithal,sil-haryanvi-2024-hng,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, HNG]",silharyanvi2024:i005:hng:v01
wordlist cell,webster2024haryanvi,28,21,2,5,eye,BPL,comparison,Palwal Braj Bhasha/Haryanvi comparison,"Aalahpur, Palwal Tehsil, Faridabad district, Haryana",,,,,,excluded comparison; not manually transcribed,,,1 ank*,1 ank*,1 ank’,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, BPL]",
wordlist cell,webster2024haryanvi,28,21,2,5,eye,HTR,target,Taoru Haryanvi/Mewati,"Taoru, Gurgaon district, Haryana",1 aŋkʰ,1 aŋkʰ,aŋkʰ,1,,manual-scan,,,1 ank*,1 ank*,1 ank’,response,installed,,kaithal,sil-haryanvi-2024-htr,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, HTR]",silharyanvi2024:i005:htr:v01
wordlist cell,webster2024haryanvi,28,21,2,5,eye,HLH,target,Loharu Haryanvi/Bagri,"Loharu, Mahendragarh district, Haryana",1 əŋkʰ,1 əŋkʰ,əŋkʰ,1,,manual-scan,,,1 2nkh,1 2nkh,1 ænkP,response,installed,,kaithal,sil-haryanvi-2024-hlh,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, HLH]",silharyanvi2024:i005:hlh:v01
wordlist cell,webster2024haryanvi,28,21,2,5,eye,PBG,comparison,Kuthard Baghati Pahari comparison,"Kuthard, Kasali Tehsil, Solan district, Himachal Pradesh",,,,,,excluded comparison; not manually transcribed,,,1 aks,1 aks,1 ak»,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, PBG]",
wordlist cell,webster2024haryanvi,28,21,2,5,eye,HIN,comparison,Standard North Indian Hindustani comparison,North India; many sources,,,,,,excluded comparison; not manually transcribed,,,1 ak*®,1 ak*®,1 ak»,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, HIN]",
wordlist cell,webster2024haryanvi,28,21,2,5,eye,PUN,comparison,Standard Punjabi comparison,"Fatehgarh/Churian, Guridaspur district, Punjab",,,,,,excluded comparison; not manually transcribed,,,1 ak*,1 ak*,1 ak’,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 5, PUN]",
wordlist cell,webster2024haryanvi,28,21,3,6,ear,HRT,target,Rohtak Haryanvi/Bangru,"Rohtak, Rohtak district, Haryana",1 kan,1 kan,kan,1,,manual-scan,,,1 kan,1 kan,1 kan,response,installed,,kaithal,sil-haryanvi-2024-hrt,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, HRT]",silharyanvi2024:i006:hrt:v01
wordlist cell,webster2024haryanvi,28,21,3,6,ear,HJN,target,Jind Haryanvi,"Jind, Jind district, Haryana",1 kan,1 kan,kan,1,,manual-scan,,,1 kan,1 kan,1 kan,response,installed,,kaithal,sil-haryanvi-2024-hjn,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, HJN]",silharyanvi2024:i006:hjn:v01
wordlist cell,webster2024haryanvi,28,21,3,6,ear,HFT,target,Fatehabad Haryanvi/Bagri,"Fatehabad, Hissar district, Haryana",1 kan,1 kan,kan,1,,manual-scan,,,1 kan,1 kan,12 kan,response,installed,,kaithal,sil-haryanvi-2024-hft,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, HFT]",silharyanvi2024:i006:hft:v01
wordlist cell,webster2024haryanvi,28,21,3,6,ear,HNG,target,Dehar (Narayangarh) Haryanvi,"Dehar, Narayangarh Tehsil, Ambala district, Haryana",1 kan,1 kan,kan,1,,manual-scan,,,1 kan,1 kan,1 kan,response,installed,,kaithal,sil-haryanvi-2024-hng,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, HNG]",silharyanvi2024:i006:hng:v01
wordlist cell,webster2024haryanvi,28,21,3,6,ear,BPL,comparison,Palwal Braj Bhasha/Haryanvi comparison,"Aalahpur, Palwal Tehsil, Faridabad district, Haryana",,,,,,excluded comparison; not manually transcribed,,,1 kan,1 kan,1 kan,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, BPL]",
wordlist cell,webster2024haryanvi,28,21,3,6,ear,HTR,target,Taoru Haryanvi/Mewati,"Taoru, Gurgaon district, Haryana",1 kan,1 kan,kan,1,,manual-scan,,,1 kan,1 kan,1 kan,response,installed,,kaithal,sil-haryanvi-2024-htr,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, HTR]",silharyanvi2024:i006:htr:v01
wordlist cell,webster2024haryanvi,28,21,3,6,ear,HLH,target,Loharu Haryanvi/Bagri,"Loharu, Mahendragarh district, Haryana",1 kan,1 kan,kan,1,,manual-scan,,,1 kan,1 kan,1 kan,response,installed,,kaithal,sil-haryanvi-2024-hlh,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, HLH]",silharyanvi2024:i006:hlh:v01
wordlist cell,webster2024haryanvi,28,21,3,6,ear,PBG,comparison,Kuthard Baghati Pahari comparison,"Kuthard, Kasali Tehsil, Solan district, Himachal Pradesh",,,,,,excluded comparison; not manually transcribed,,,1 kan,1 kan,1 kan,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, PBG]",
wordlist cell,webster2024haryanvi,28,21,3,6,ear,HIN,comparison,Standard North Indian Hindustani comparison,North India; many sources,,,,,,excluded comparison; not manually transcribed,,,1 kan,1 kan,å kaun,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, HIN]",
wordlist cell,webster2024haryanvi,28,21,3,6,ear,PUN,comparison,Standard Punjabi comparison,"Fatehgarh/Churian, Guridaspur district, Punjab",,,,,,excluded comparison; not manually transcribed,,,1 kan-°¢,1 kan-°¢,1 kan-”,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 6, PUN]",
wordlist cell,webster2024haryanvi,28,21,1,7,nose,HRT,target,Rohtak Haryanvi/Bangru,"Rohtak, Rohtak district, Haryana",1 nak,1 nak,nak,1,,manual-scan,,,1 nak,1 nak,1 nak,response,installed,,kaithal,sil-haryanvi-2024-hrt,"webster2024haryanvi[Appendix A.3, printed p. 21, item 7, HRT]",silharyanvi2024:i007:hrt:v01
wordlist cell,webster2024haryanvi,28,21,1,7,nose,HJN,target,Jind Haryanvi,"Jind, Jind district, Haryana",1 nak,1 nak,nak,1,,manual-scan,,,1 nak,1 nak,1 nak,response,installed,,kaithal,sil-haryanvi-2024-hjn,"webster2024haryanvi[Appendix A.3, printed p. 21, item 7, HJN]",silharyanvi2024:i007:hjn:v01
wordlist cell,webster2024haryanvi,28,21,1,7,nose,HFT,target,Fatehabad Haryanvi/Bagri,"Fatehabad, Hissar district, Haryana",1 nak,1 nak,nak,1,,manual-scan,,,1 nak,1 nak,i nak,response,installed,,kaithal,sil-haryanvi-2024-hft,"webster2024haryanvi[Appendix A.3, printed p. 21, item 7, HFT]",silharyanvi2024:i007:hft:v01
