Status,Reason,Entry_Key,Site_Code,Site_Description,Language_ID,Base_Language,Concept,Gloss,Printed_Page,Column,Response_Index,Response_Count,Raw_Cell,Response,House_Form,Tags,Source
ingested,response 2 of 2 printed in one cell,beine-bhatri:BJE:35:2,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,35,axe,14,2,2,2,tanˑɡijaʔkurˑar,kurˑar,kuṛar,,"beine2017bhatri[p. 14, item 35, site BJE]"
ingested,response 1 of 2 printed in one cell,beine-bhatri:BKP:35:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,35,axe,14,2,1,2,tanˑɡijaʔkur̩arˑi,tanˑɡija,taṇgiya,,"beine2017bhatri[p. 14, item 35, site BKP]"
ingested,response 2 of 2 printed in one cell,beine-bhatri:BKP:35:2,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,35,axe,14,2,2,2,tanˑɡijaʔkur̩arˑi,kur̩arˑi,kuṛaṛi,,"beine2017bhatri[p. 14, item 35, site BKP]"
ingested,single response,beine-bhatri:BUM:35:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,35,axe,14,2,1,1,kurˑar̩,kurˑar̩,kuṛaṛ,,"beine2017bhatri[p. 14, item 35, site BUM]"
ingested,single response,beine-bhatri:BCB:35:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,35,axe,14,2,1,1,tanˑaija,tanˑaija,taṇaiya,,"beine2017bhatri[p. 14, item 35, site BCB]"
ingested,single response,beine-bhatri:BAN:35:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,35,axe,14,2,1,1,kurˑar̩,kurˑar̩,kuṛaṛ,,"beine2017bhatri[p. 14, item 35, site BAN]"
ingested,single response,beine-bhatri:BAR:35:1,BAR,"Bhatri from Karpaud, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bar,Bhatri,35,axe,14,2,1,1,kur̩arˑ,kur̩arˑ,kuṛaṛ,,"beine2017bhatri[p. 14, item 35, site BAR]"
ingested,single response,beine-bhatri:BAG:35:1,BAG,"Bhatri from Amaguda, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bag,Bhatri,35,axe,14,2,1,1,tˑanˑɡija,tˑanˑɡija,ṭaṇgiya,,"beine2017bhatri[p. 14, item 35, site BAG]"
ingested,single response,beine-bhatri:OAR:36:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,36,rope,14,3,1,1,dˑori,dˑori,ḍori,,"beine2017bhatri[p. 14, item 36, site OAR]"
ingested,single response,beine-bhatri:OCU:36:1,OCU,"Oriya from Cuttack Tahsil, Cuttack District, Orissa",beine_ocu,Or,36,rope,14,3,1,1,dˑowudˑi,dˑowudˑi,ḍovuḍi,,"beine2017bhatri[p. 14, item 36, site OCU]"
ingested,single response,beine-bhatri:HBH:36:1,HBH,"Halbi from Bhatpal, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_hbh,hal,36,rope,14,3,1,1,borhi,borhi,borhi,,"beine2017bhatri[p. 14, item 36, site HBH]"
ingested,single response,beine-bhatri:BAU:36:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,36,rope,14,3,1,1,dor,dor,dor,,"beine2017bhatri[p. 14, item 36, site BAU]"
ingested,single response,beine-bhatri:BSA:36:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,36,rope,14,3,1,1,dˑori,dˑori,ḍori,,"beine2017bhatri[p. 14, item 36, site BSA]"
ingested,single response,beine-bhatri:BJE:36:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,36,rope,14,3,1,1,dˑor̩i,dˑor̩i,ḍoṛi,,"beine2017bhatri[p. 14, item 36, site BJE]"
ingested,single response,beine-bhatri:BKP:36:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,36,rope,14,3,1,1,dˑor̩i,dˑor̩i,ḍoṛi,,"beine2017bhatri[p. 14, item 36, site BKP]"
ingested,single response,beine-bhatri:BUM:36:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,36,rope,14,3,1,1,dˑori,dˑori,ḍori,,"beine2017bhatri[p. 14, item 36, site BUM]"
ingested,single response,beine-bhatri:BCB:36:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,36,rope,14,3,1,1,dˑor̩i,dˑor̩i,ḍoṛi,,"beine2017bhatri[p. 14, item 36, site BCB]"
ingested,single response,beine-bhatri:BAN:36:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,36,rope,14,3,1,1,dˑor̩i,dˑor̩i,ḍoṛi,,"beine2017bhatri[p. 14, item 36, site BAN]"
ingested,single response,beine-bhatri:BAR:36:1,BAR,"Bhatri from Karpaud, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bar,Bhatri,36,rope,14,3,1,1,dˑor̩i,dˑor̩i,ḍoṛi,,"beine2017bhatri[p. 14, item 36, site BAR]"
ingested,single response,beine-bhatri:BAG:36:1,BAG,"Bhatri from Amaguda, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bag,Bhatri,36,rope,14,3,1,1,dˑor̩i,dˑor̩i,ḍoṛi,,"beine2017bhatri[p. 14, item 36, site BAG]"
ingested,single response,beine-bhatri:OAR:37:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,37,thread,14,1,1,1,suta,suta,suta,,"beine2017bhatri[p. 14, item 37, site OAR]"
ingested,single response,beine-bhatri:OCU:37:1,OCU,"Oriya from Cuttack Tahsil, Cuttack District, Orissa",beine_ocu,Or,37,thread,14,1,1,1,su.̩tⁿa,su.̩tⁿa,su.ta,,"beine2017bhatri[p. 14, item 37, site OCU]"
ingested,single response,beine-bhatri:HBH:37:1,HBH,"Halbi from Bhatpal, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_hbh,hal,37,thread,14,1,1,1,sut,sut,sut,,"beine2017bhatri[p. 14, item 37, site HBH]"
ingested,single response,beine-bhatri:BAU:37:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,37,thread,14,1,1,1,sutⁿa,sutⁿa,suta,,"beine2017bhatri[p. 14, item 37, site BAU]"
ingested,single response,beine-bhatri:BSA:37:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,37,thread,14,1,1,1,sutⁿ,sutⁿ,sut,,"beine2017bhatri[p. 14, item 37, site BSA]"
ingested,single response,beine-bhatri:BJE:37:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,37,thread,14,1,1,1,sutⁿv̠,sutⁿv̠,sutʌ,,"beine2017bhatri[p. 14, item 37, site BJE]"
ingested,single response,beine-bhatri:BKP:37:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,37,thread,14,1,1,1,sutⁿa,sutⁿa,suta,,"beine2017bhatri[p. 14, item 37, site BKP]"
ingested,single response,beine-bhatri:BUM:37:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,37,thread,14,1,1,1,sutⁿ,sutⁿ,sut,,"beine2017bhatri[p. 14, item 37, site BUM]"
ingested,single response,beine-bhatri:BCB:37:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,37,thread,14,1,1,1,sutⁿ,sutⁿ,sut,,"beine2017bhatri[p. 14, item 37, site BCB]"
ingested,single response,beine-bhatri:BAN:37:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,37,thread,14,1,1,1,sutⁿ,sutⁿ,sut,,"beine2017bhatri[p. 14, item 37, site BAN]"
ingested,single response,beine-bhatri:BAR:37:1,BAR,"Bhatri from Karpaud, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bar,Bhatri,37,thread,14,1,1,1,sutⁿ,sutⁿ,sut,,"beine2017bhatri[p. 14, item 37, site BAR]"
ingested,single response,beine-bhatri:BAG:37:1,BAG,"Bhatri from Amaguda, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bag,Bhatri,37,thread,14,1,1,1,sutⁿ,sutⁿ,sut,,"beine2017bhatri[p. 14, item 37, site BAG]"
ingested,single response,beine-bhatri:OAR:38:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,38,needle,14,2,1,1,suza,suza,suza,,"beine2017bhatri[p. 14, item 38, site OAR]"
ingested,single response,beine-bhatri:OCU:38:1,OCU,"Oriya from Cuttack Tahsil, Cuttack District, Orissa",beine_ocu,Or,38,needle,14,2,1,1,su̽n.̩tʃ̩i,su̽n.̩tʃ̩i,sũn.ci,,"beine2017bhatri[p. 14, item 38, site OCU]"
ingested,single response,beine-bhatri:HBH:38:1,HBH,"Halbi from Bhatpal, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_hbh,hal,38,needle,14,2,1,1,sudʒ̩i,sudʒ̩i,suji,,"beine2017bhatri[p. 14, item 38, site HBH]"
ingested,single response,beine-bhatri:BAU:38:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,38,needle,14,2,1,1,sudʒ̩i,sudʒ̩i,suji,,"beine2017bhatri[p. 14, item 38, site BAU]"
ingested,single response,beine-bhatri:BSA:38:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,38,needle,14,2,1,1,sudʒ̩i,sudʒ̩i,suji,,"beine2017bhatri[p. 14, item 38, site BSA]"
ingested,single response,beine-bhatri:BJE:38:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,38,needle,14,2,1,1,sudʒ̩i,sudʒ̩i,suji,,"beine2017bhatri[p. 14, item 38, site BJE]"
ingested,single response,beine-bhatri:BKP:38:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,38,needle,14,2,1,1,sudʒ̩i,sudʒ̩i,suji,,"beine2017bhatri[p. 14, item 38, site BKP]"
ingested,single response,beine-bhatri:BUM:38:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,38,needle,14,2,1,1,sudʒ̩i,sudʒ̩i,suji,,"beine2017bhatri[p. 14, item 38, site BUM]"
