unit|region|pdf_page|form|gloss|context
ex16:1:1|interlinear|23|räs|3SG.OBL|example=16; language=Kalk; translation=To that we all laughed heartily.
ex16:1:2|interlinear|23|räl|on|example=16; language=Kalk; translation=To that we all laughed heartily.
ex16:1:3|interlinear|23|bä|we|example=16; language=Kalk; translation=To that we all laughed heartily.
ex16:1:4|interlinear|23|suwaa|all|example=16; language=Kalk; translation=To that we all laughed heartily.
ex16:1:5|interlinear|23|mälɡir|companions|example=16; language=Kalk; translation=To that we all laughed heartily.
ex16:1:6|interlinear|23|bääḍ|much|example=16; language=Kalk; translation=To that we all laughed heartily.
ex16:1:7|interlinear|23|äsil|laugh.PFV|example=16; language=Kalk; translation=To that we all laughed heartily.
ex17:1:1|interlinear|23|thi|2SG.ERG|example=17; language=Kalk; translation=Did you take the book?
ex17:1:2|interlinear|23|kitaab|book|example=17; language=Kalk; translation=Did you take the book?
ex17:1:3|interlinear|23|ɡiin=ää|take.PFV=Q|example=17; language=Kalk; translation=Did you take the book?
ex18:1:1|interlinear|26|ä|a|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:1:2|interlinear|26|deer|time|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:1:3|interlinear|26|bä|we|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:1:4|interlinear|26|käteeyi|some|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:1:5|interlinear|26|mälɡir|friends|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:1:6|interlinear|26|thäl-iǰ|Thal-to|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:1:7|interlinear|26|b-aan-s.|go-IPFV.MPL-PST|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:2:1|interlinear|26|bä|we|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:2:2|interlinear|26|ɡaaṛi|vehicle|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:2:3|interlinear|26|mi|in|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:2:4|interlinear|26|bäs,|sit.down.PFV.PST|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:2:5|interlinear|26|äsi|our|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:2:6|interlinear|26|mukhä|front|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:2:7|interlinear|26|ä|a|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:2:8|interlinear|26|puu|boy|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
ex18:2:9|interlinear|26|y-aal|come-PFV.MSG|example=18; language=Kalk; translation=Once, we were some friends going to Thal. We had sat down in the vehicle, when a boy came up to us.
