unit|region|pdf_page|form|gloss|context
t4:1pl:nom|t4|7|bä|1 PL|case=nom; person=1 PL; printed=bä (asaa~); palula=be (asaám); gawri=mä (mä)
t4:1pl:obl|t4|7|asaa~|1 PL|case=obl; person=1 PL; printed=bä (asaa~); palula=be (asaám); gawri=mä (mä)
t4:2pl:nom|t4|7|tis|2 PL|case=nom; person=2 PL; printed=tis (tusaa~); palula=tus (tusaám); gawri=thä (thä)
t4:2pl:obl|t4|7|tusaa~|2 PL|case=obl; person=2 PL; printed=tis (tusaa~); palula=tus (tusaám); gawri=thä (thä)
t4:3pl:nom|t4|7|tin|3 PL|case=nom; person=3 PL; printed=tin (tänaa); palula=se (tanaám); gawri=tam (tam)
t4:3pl:obl|t4|7|tänaa|3 PL|case=obl; person=3 PL; printed=tin (tänaa); palula=se (tanaám); gawri=tam (tam)
t5:1|t5|7|äk|1|palula=áak, ak (B); gawri=äk, ä
t5:2|t5|7|duu|2|palula=dúu; gawri=duu
t5:3|t5|7|traa|3|palula=tróo, trúu (B); gawri=ɬaa, ɬä
t5:4|t5|7|čoor|4|palula=čúur, čáar (B); gawri=čor
t5:5|t5|7|paanǰ|5|palula=páanǰ, panǰ (B); gawri=pãǰ
t5:6|t5|7|ṣoo|6|palula=ṣo; gawri=ṣo
t5:7|t5|7|saat|7|palula=sáat, sat (B); gawri=sat
t5:8|t5|7|eeṣ|8|palula=áaṣṭ, aṣṭ (B); gawri=äc̣
t5:9|t5|7|nam|9|palula=núu; gawri=nom
t5:10|t5|7|deeš|10|palula=dáaš, daš (B); gawri=däš
t5:11|t5|7|akaaš|11|palula=akóoš, akáaš (B); gawri=ikää
t5:12|t5|7|baaš|12|palula=bóoš, báaš (B); gawri=bää
t6:43|t6|7|traa-tee-dubiš|43|structure=3 - conj - 2 - 20; palula=dúbhiš-ee-tróo; gawri=ɬaa-tee-dubiš
t8:1|t8|10|/trɑː/|three|palula=/troː/; gawri=/ɬaː/
t8:2|t8|10|/trɑːm/|work|palula=/kraːm/; gawri=/ɬam/
