Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
head,bashir:khowar:86db329a23,,-aá,Kho-Bashir-src-source-mnn,part,ís there any water in that glass up there?,,14,1
head,bashir:khowar:700ee82fd4,,abád,Kho-Bashir-src-mys|Kho-Bashir-src-swka,adj,settled,"[< Prs., Ur.]",14,1
subentry,bashir:khowar:700ee82fd4:subentry:1,bashir:khowar:700ee82fd4,abadí,Kho-Bashir-src-mys|Kho-Bashir-src-swka,n,place to live,Subentry of abád,14,1
subentry,bashir:khowar:700ee82fd4:subentry:2,bashir:khowar:700ee82fd4,abadiγeér,Kho-Bashir-src-mys|Kho-Bashir-src-swka,n,place where a house was/is to be built,Subentry of abád,14,1
head,bashir:khowar:d78d4c8370,,abás,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-gmkh|Kho-Bashir-src-ms,adj,ordinary,,14,1
head,bashir:khowar:f82e1b463d,,abathá,Kho-Bashir-src-ms,adj,forgotten,,14,1
subentry,bashir:khowar:f82e1b463d:subentry:1,bashir:khowar:f82e1b463d,abathá bik,Kho-Bashir-src-ms,intr verb,"to get lost, go astray, be mistaken",Subentry of abathá,14,1
subentry,bashir:khowar:f82e1b463d:subentry:2,bashir:khowar:f82e1b463d,abathá korík,Kho-Bashir-src-ms,tr verb,"to mislead someone, to cause someone to go astray, to cause someone",Subentry of abathá,14,1
head,bashir:khowar:7c5631c197,,ač-,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,n,back,[< Skt. (M:1973) (T8000)]; Morphology: ač + -tu; ač + -a; ač + -ó; ač + -i; ač- + -o,14,1
variant,bashir:khowar:7c5631c197:variant:1,bashir:khowar:7c5631c197,áštu,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,n,back,Other pronunciation of ač-: áštu (RAKR),14,1
subentry,bashir:khowar:7c5631c197:subentry:1,bashir:khowar:7c5631c197,áčtu,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adv,behind (with vertical meaning component),Subentry of ač-; Morphology: ač + -tu,14,1
subentry,bashir:khowar:7c5631c197:subentry:2,bashir:khowar:7c5631c197,áča,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adv,"behind (spatial, pointlike location)",Subentry of ač-; Morphology: ač + -a,14,1
subentry,bashir:khowar:7c5631c197:subentry:3,bashir:khowar:7c5631c197,ačhó,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adj,of the past,Subentry of ač-; Morphology: ač + -ó,14,1
subentry,bashir:khowar:7c5631c197:subentry:4,bashir:khowar:7c5631c197,áči,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adv,behind (spatial),Subentry of ač-; Morphology: ač + -i,14,1
subentry,bashir:khowar:7c5631c197:subentry:5,bashir:khowar:7c5631c197,áčo,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adv,behind (spatial),Subentry of ač-; Morphology: ač- + -o,14,1
subentry,bashir:khowar:7c5631c197:subentry:6,bashir:khowar:7c5631c197,ačé,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,intr verb,Move back!,Subentry of ač-,14,1
head,bashir:khowar:2f259f693a,,ačár,Kho-Bashir-src-mnn,n,dried onions,,14,1
subentry,bashir:khowar:2f259f693a:subentry:1,bashir:khowar:2f259f693a,ačár dreék,Kho-Bashir-src-mnn,tr verb,to put onions in the sun to dry,Subentry of ačár,14,1
head,bashir:khowar:492ac554db,,ačitrúng,Kho-Bashir-src-swka|Kho-Bashir-src-tmf,n,first clothes made for a child after birth,,14,1
variant,bashir:khowar:492ac554db:variant:1,bashir:khowar:492ac554db,áčitrung,Kho-Bashir-src-swka|Kho-Bashir-src-tmf,n,first clothes made for a child after birth,Other pronunciation of ačitrúng: áčitrung,14,1
head,bashir:khowar:ab3dfa9f9e,,ačhardíni,Kho-Bashir-src-mnn|Kho-Bashir-src-iwa|Kho-Bashir-src-sonoghor,n,part of plow: small wooden wedge placed behind the top of the plowshare to tighten it and hold it in place,,14,1
variant,bashir:khowar:ab3dfa9f9e:variant:1,bashir:khowar:ab3dfa9f9e,ačardíni,Kho-Bashir-src-mnn|Kho-Bashir-src-iwa|Kho-Bashir-src-sonoghor|Kho-Bashir-reg-sonoghor,n,part of plow: small wooden wedge placed behind the top of the plowshare to tighten it and hold it in place,Other pronunciation of ačhardíni: ačardíni (Sonoghor),14,1
head,bashir:khowar:5364b581cc,,ac̣hú,Kho-Bashir-src-akm|Kho-Bashir-src-chitral-town,n,thorny wild plant which grows near the edges of fields,[< Skt. (M:1973)],14,1
head,bashir:khowar:35c7c172e0,,adá,Kho-Bashir-src-zmz,n,delicacy,[< Prs.],14,1
head,bashir:khowar:a5483e7727,,adát,Kho-Bashir-src-mnn|Kho-Bashir-src-ms,n,habit,"[< Ur., Ar., Prs.]",14,1
subentry,bashir:khowar:a5483e7727:subentry:1,bashir:khowar:a5483e7727,batadát,Kho-Bashir-src-mnn|Kho-Bashir-src-ms,adj,having bad habits,Subentry of adát,14,1
head,bashir:khowar:f04d758053,,ademí,Kho-Bashir-src-wsic,n,human being,[< Prs.],14,1
head,bashir:khowar:8a9ac043f8,,adíb,Kho-Bashir-src-mnn,n,scholar,[< Prs. Ar. Ur.],14,1
head,bashir:khowar:d9937f6374,,adiná,Kho-Bashir-src-swka,n,Friday,[< Prs.],14,1
head,bashir:khowar:551cff1762,,adráx,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-mys|Kho-Bashir-src-mastuj|Kho-Bashir-src-iwa|Kho-Bashir-reg-lower-chitral,n,mountains,[< Ir. (M:1936)],14,1
head,bashir:khowar:0d6ff4747f,,af,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-if,adv,down,[< Skt. (M:1973)],14,1
subentry,bashir:khowar:0d6ff4747f:subentry:1,bashir:khowar:0d6ff4747f,af nisík,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-if,intr verb,to go out of the house; to leave home on a journey,Subentry of af,14,1
subentry,bashir:khowar:0d6ff4747f:subentry:2,bashir:khowar:0d6ff4747f,af dik,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-if,tr verb,to close (a door),Subentry of af,14,1
subentry,bashir:khowar:0d6ff4747f:subentry:3,bashir:khowar:0d6ff4747f,afdík,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-if,intr verb,"to become old, worn (e.g. clothes)",Subentry of af,14,1
head,bashir:khowar:e1538cb1f1,,afás,Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-reg-yarkhun,n,interest,,14,1
variant,bashir:khowar:e1538cb1f1:variant:1,bashir:khowar:e1538cb1f1,hafás,Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-reg-yarkhun,n,interest,Other pronunciation of afás: hafás (SWKA: initial,14,1
subentry,bashir:khowar:e1538cb1f1:subentry:1,bashir:khowar:e1538cb1f1,afasí,Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-reg-yarkhun,adj,hopeful,Subentry of afás,14,1
head,bashir:khowar:392dcc9246,,áfat,Kho-Bashir-src-wsic,n,trouble,[< Ar. Prs. Ur.],15,2
head,bashir:khowar:e581529d95,,afiyát,Kho-Bashir-src-mnn,n,luxury,[< Ar. Prs. Ur.],15,2
head,bashir:khowar:2ae4325954,,afyún,Kho-Bashir-src-mnn|Kho-Bashir-src-tmf,n,opium,[< Ar. Ur.],15,2
subentry,bashir:khowar:2ae4325954:subentry:1,bashir:khowar:2ae4325954,afyuní,Kho-Bashir-src-mnn|Kho-Bashir-src-tmf,n,opium user,Subentry of afyún,15,2
head,bashir:khowar:2c5f68bc6f,,afzún,Kho-Bashir-src-swka,adj,too much,[< Prs.],15,2
head,bashir:khowar:a3c60ca4d5,,agárki,Kho-Bashir-src-swka,conj,although,"[< Prs., Ur.]",15,2
head,bashir:khowar:a3c60ca4d5,,agár ki,Kho-Bashir-src-prs|Kho-Bashir-src-mnn,conj,if,,15,2
head,bashir:khowar:3a1fc473a4,,aγáγ,Kho-Bashir-src-mnn|Kho-Bashir-src-mak,n,"larger species of pigeon, red or yellow in color",,15,2
head,bashir:khowar:3c3c267df4,,ah,Kho-Bashir-src-rakr,n,a sigh,,15,2
head,bashir:khowar:f3e5cdb2d0,,aháng,Kho-Bashir-src-swka,n,musical style,[< Prs.],15,2
head,bashir:khowar:af516014f0,,ahrtí,Kho-Bashir-src-rakr|Kho-Bashir-src-mnn|Kho-Bashir-src-iwa,adj,satisfied,[< Skt. (M:1973)],15,2
variant,bashir:khowar:af516014f0:variant:1,bashir:khowar:af516014f0,ahtí,Kho-Bashir-src-rakr|Kho-Bashir-src-mnn|Kho-Bashir-src-iwa|Kho-Bashir-reg-lower-chitral,adj,satisfied,"Other pronunciation of ahrtí: ahtí, axtí (Lower Chitral)",15,2
variant,bashir:khowar:af516014f0:variant:2,bashir:khowar:af516014f0,axtí,Kho-Bashir-src-rakr|Kho-Bashir-src-mnn|Kho-Bashir-src-iwa|Kho-Bashir-reg-lower-chitral,adj,satisfied,"Other pronunciation of ahrtí: ahtí, axtí (Lower Chitral)",15,2
head,bashir:khowar:26e8c50784,,aǰáb,Kho-Bashir-src-tmf,n,wonder,,15,2
head,bashir:khowar:7473fbe3eb,,aǰám,Kho-Bashir-src-tmf,n,the non-Arab world,,15,2
head,bashir:khowar:90a4275f67,,aǰíp,Kho-Bashir-src-if|Kho-Bashir-src-rakr,adj,marvelous,[< Ar. Prs. Ur.],15,2
variant,bashir:khowar:90a4275f67:variant:1,bashir:khowar:90a4275f67,aǰíb,Kho-Bashir-src-if|Kho-Bashir-src-rakr,adj,marvelous,Other pronunciation of aǰíp: aǰíb (IF),15,2
head,bashir:khowar:eb3ae3d2b4,,aǰíz,Kho-Bashir-src-rkb,adj,humble,[< Ar.],15,2
head,bashir:khowar:83e01932ce,,ákas,Kho-Bashir-src-tmf,n,expression of displeasure,,15,2
subentry,bashir:khowar:83e01932ce:subentry:1,bashir:khowar:83e01932ce,ákas korík,Kho-Bashir-src-tmf,tr verb,to express displeasure,Subentry of ákas,15,2
head,bashir:khowar:3cb29bf8eb,,al¹,Kho-Bashir-src-swka,n,close relative,[< Ar.],15,2
head,bashir:khowar:3cb29bf8eb,,al²,Kho-Bashir-src-rkb|Kho-Bashir-src-bm,n,orpiment (orangeish colored arsenic sulfide mineral with formula As2S3),,15,2
head,bashir:khowar:e4f3d40bbc,,alagúl,Kho-Bashir-src-mnn|Kho-Bashir-src-zhd,n,hustle and bustle,,15,2
head,bashir:khowar:98bfae4b72,,alám,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic,n,problem,,15,2
head,bashir:khowar:477c8df2e4,,albát,Kho-Bashir-src-mk|Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-rkb,conj,perhaps,,15,2
head,bashir:khowar:f3fe2edb62,,albatá,Kho-Bashir-src-is,conj,however,[< Ar.],15,2
head,bashir:khowar:996cd92df9,,aldú,Kho-Bashir-src-if,adj,taken,Morphology: perfective participle of alík ‘to take’,15,2
variant,bashir:khowar:996cd92df9:variant:1,bashir:khowar:996cd92df9,aʋdú,Kho-Bashir-src-if|Kho-Bashir-reg-laspur,adj,taken,"Other pronunciation of aldú: aʋdú (in Laspur, IF)",15,2
head,bashir:khowar:d56a3e1d96,,aléik¹,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-zhd,tr verb,to twist (e.g. rope or thread),,15,2
variant,bashir:khowar:d56a3e1d96:variant:1,bashir:khowar:d56a3e1d96,aleék,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-zhd,tr verb,to twist (e.g. rope or thread),Other pronunciation of aléik¹: aleék,15,2
head,bashir:khowar:d56a3e1d96,,aléik²,Kho-Bashir-src-zhd|Kho-Bashir-src-rkb,tr verb,to unintentionally let a person or animal escape,[< Skt. (M:1973)],15,2
variant,bashir:khowar:d56a3e1d96:variant:1,bashir:khowar:d56a3e1d96,aleék,Kho-Bashir-src-zhd|Kho-Bashir-src-rkb,tr verb,to unintentionally let a person or animal escape,Other pronunciation of aléik²: aleék,15,2
subentry,bashir:khowar:d56a3e1d96:subentry:1,bashir:khowar:d56a3e1d96,aleék,Kho-Bashir-src-zhd|Kho-Bashir-src-rkb,tr verb,to unintentionally let a person or animal escape,Subentry of aléik²,15,2
head,bashir:khowar:746b64990e,,alemán,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic,pl n,robber(s),,15,2
head,bashir:khowar:385c6617b4,,aleṣík,Kho-Bashir-src-rkb,tr verb,"to tear, rip (intentionally)",,15,2
subentry,bashir:khowar:385c6617b4:subentry:1,bashir:khowar:385c6617b4,ṣík,Kho-Bashir-src-rkb,tr verb,"to tear, rip (intentionally)",Subentry of aleṣík,15,2
head,bashir:khowar:fa033ab2f0,,-áli,Kho-Bashir-src-rkb,n,bound nominalizing morpheme - suffixed to verb root it forms a noun meaning wages for performing a (traditional) task,,15,2
head,bashir:khowar:0d0f8fc8b6,,alík,Kho-Bashir-src-rkb|Kho-Bashir-src-mnn|Kho-Bashir-src-rakr,tr verb,to take away (either animate or inanimate entity),,15,2
variant,bashir:khowar:0d0f8fc8b6:variant:1,bashir:khowar:0d0f8fc8b6,halík,Kho-Bashir-src-rkb|Kho-Bashir-src-mnn|Kho-Bashir-src-rakr,tr verb,to take away (either animate or inanimate entity),Other pronunciation of alík: halík (AKM),15,2
head,bashir:khowar:18d230118e,,alím,Kho-Bashir-src-rkb,n,learned person (religious scholar),[< Ar. Prs. Ur.],15,2
head,bashir:khowar:a325c862ac,,aliphá,Kho-Bashir-src-chitral-town,n,caterpillar,,15,2
head,bashir:khowar:db812c1aab,,aliphík,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic,intr verb,"to catch up with, overtake",,15,2
variant,bashir:khowar:db812c1aab:variant:1,bashir:khowar:db812c1aab,aliphéik,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic,intr verb,"to catch up with, overtake",Other pronunciation of aliphík: aliphéik,15,2
head,bashir:khowar:38787c3d99,,almarí,Kho-Bashir-src-swka,,cabinet,[< Ur.],15,2
head,bashir:khowar:8588930afa,,aɫósp,Kho-Bashir-src-mnn,n,daytime reality,,15,2
subentry,bashir:khowar:8588930afa:subentry:1,bashir:khowar:8588930afa,ɫosp,Kho-Bashir-src-mnn,n,daytime reality,Subentry of aɫósp,15,2
head,bashir:khowar:07913298fb,,alqára,Kho-Bashir-src-ms,n,illness of women after childbirth - caused by cold and lack of proper heat,,15,2
head,bashir:khowar:d6e2e99cbd,,álqisa,Kho-Bashir-src-swka|Kho-Bashir-src-gmkh|Kho-Bashir-src-is,,finally,,15,2
head,bashir:khowar:7c1dd44a1a,,alú,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-swka|Kho-Bashir-src-if,n,potato,[< Ur.],15,2
subentry,bashir:khowar:7c1dd44a1a:subentry:1,bashir:khowar:7c1dd44a1a,aluγeér,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-swka|Kho-Bashir-src-if,n,field from which potatoes have been harvested,Subentry of alú,15,2
subentry,bashir:khowar:7c1dd44a1a:subentry:2,bashir:khowar:7c1dd44a1a,aluoóγ,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-swka|Kho-Bashir-src-if,n,curry dish of potatoes,Subentry of alú,15,2
head,bashir:khowar:b6174a86f9,,alučá,Kho-Bashir-src-ar|Kho-Bashir-src-booni,n,wild plum,[Prs. + Turkic],16,3
head,bashir:khowar:f88ed26d1c,,alueék,Kho-Bashir-src-ar,tr verb,to cause to elope (agent is man causing girl to elope),,16,3
head,bashir:khowar:21630fa991,,aɫγán,Kho-Bashir-src-if|Kho-Bashir-src-ms,n,stirrups (part of a horse,,16,3
subentry,bashir:khowar:21630fa991:subentry:1,bashir:khowar:21630fa991,aɫγán bráẓu,Kho-Bashir-src-if|Kho-Bashir-src-ms,n,leather straps attached to stirrups,Subentry of aɫγán,16,3
head,bashir:khowar:4adc972549,,aɫγa̍niʋár,Kho-Bashir-src-mnn,n,Pashto,Morphology: ‘Afghan’ + ʋár ‘language’,16,3
head,bashir:khowar:6707e1f5e7,,aɫγás,Kho-Bashir-src-if|Kho-Bashir-src-rakr|Kho-Bashir-src-ms,n,bit (metal piece put in horse,,16,3
head,bashir:khowar:fc10822a0a,,áɫi,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-tmf,n,duck,[< Skt. (M:1973)],16,3
subentry,bashir:khowar:fc10822a0a:subentry:1,bashir:khowar:fc10822a0a,aɫiók,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-tmf,n,artificial duck decoy,Subentry of áɫi,16,3
head,bashir:khowar:e7fe57d05a,,a̍ɫiboík,Kho-Bashir-src-mnn,n,small black bird with white spots,,16,3
head,bashir:khowar:d030ead224,,aɫɫáh o ákbar korík,Kho-Bashir-src-iwa,tr verb,to finalize a marriage agreement Lit.,[< Ar.],16,3
head,bashir:khowar:f171b74907,,aɫók,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-ma,n,pumpkin,[< Skt. (T711) also (T1388)],16,3
variant,bashir:khowar:f171b74907:variant:1,bashir:khowar:f171b74907,aɫúk,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-ma,n,pumpkin,Other pronunciation of aɫók: aɫúk,16,3
head,bashir:khowar:e5272ac1b1,,amadaní,Kho-Bashir-src-ms,n,income,[< Prs. Ur.],16,3
head,bashir:khowar:9a8b6377b8,,ambóh,Kho-Bashir-src-mys,adj,lots of,,16,3
variant,bashir:khowar:9a8b6377b8:variant:1,bashir:khowar:9a8b6377b8,ambóx,Kho-Bashir-src-mys,adj,lots of,Other pronunciation of ambóh: ambóx (MNN),16,3
subentry,bashir:khowar:9a8b6377b8:subentry:1,bashir:khowar:9a8b6377b8,ambohí,Kho-Bashir-src-mys,n,abundance,Subentry of ambóh,16,3
head,bashir:khowar:43119ce272,,ambo̍kčhán,Kho-Bashir-src-mnn,n,co-wife,,16,3
head,bashir:khowar:b29d133b01,,amból,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-gmkh|Kho-Bashir-src-tmfw,n,"a type of red, green, or yellow parasitic vine destructive to trees",,16,3
variant,bashir:khowar:b29d133b01:variant:1,bashir:khowar:b29d133b01,ambról,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-gmkh|Kho-Bashir-src-tmfw,n,"a type of red, green, or yellow parasitic vine destructive to trees",Other pronunciation of amból: ambról (IF),16,3
head,bashir:khowar:fa65fe6ba9,,ambróz,Kho-Bashir-src-swka,n,species of pear,,16,3
head,bashir:khowar:10d63aa6ac,,ambúyt,Kho-Bashir-src-if,n,species of willow which grows to a great height; all its branches grow vertically,,16,3
head,bashir:khowar:268bbda83c,,amc̣eék,Kho-Bashir-src-arc,tr verb,to join together,,16,3
head,bashir:khowar:1c328c5d8b,,amc̣hóng,Kho-Bashir-src-mnn,n,elbow - joint between the end of the humerus (humeral condyle) and ends of the radius and ulna (horse),,16,3
head,bashir:khowar:fbc6ee6fc2,,améli,Kho-Bashir-src-rakr|Kho-Bashir-src-if,n,barley mixed with millet or maize,,16,3
head,bashir:khowar:c84c061912,,ámil,Kho-Bashir-src-zmz,n,person who writes amulets for people,,16,3
head,bashir:khowar:b1a7cce901,,amíšti,Kho-Bashir-src-mnn,adj,mixed with,[< Skt. (M:1973) (T10139)],16,3
subentry,bashir:khowar:b1a7cce901:subentry:1,bashir:khowar:b1a7cce901,amištoóγ,Kho-Bashir-src-mnn,n,confluence of two rivers,Subentry of amíšti,16,3
subentry,bashir:khowar:b1a7cce901:subentry:2,bashir:khowar:b1a7cce901,amišteék,Kho-Bashir-src-mnn,tr verb,to mix together,Subentry of amíšti,16,3
head,bashir:khowar:e4acce7658,,amkík,Kho-Bashir-src-mak|Kho-Bashir-src-if|Kho-Bashir-src-mys,tr verb,to sprinkle earth or ashes on a snow-covered field to hasten melting,[< Skt. (M:1973)],16,3
variant,bashir:khowar:e4acce7658:variant:1,bashir:khowar:e4acce7658,hamkík,Kho-Bashir-src-mak|Kho-Bashir-src-if|Kho-Bashir-src-mys,tr verb,to sprinkle earth or ashes on a snow-covered field to hasten melting,Other pronunciation of amkík: hamkík; hamkhík,16,3
variant,bashir:khowar:e4acce7658:variant:2,bashir:khowar:e4acce7658,hamkhík,Kho-Bashir-src-mak|Kho-Bashir-src-if|Kho-Bashir-src-mys,tr verb,to sprinkle earth or ashes on a snow-covered field to hasten melting,Other pronunciation of amkík: hamkík; hamkhík,16,3
head,bashir:khowar:88e6d6c7ac,,amnéik,Kho-Bashir-src-if|Kho-Bashir-src-mnn,tr verb,to irrigate fields for the last time before harvest,,16,3
variant,bashir:khowar:88e6d6c7ac:variant:1,bashir:khowar:88e6d6c7ac,amník,Kho-Bashir-src-if|Kho-Bashir-src-mnn|Kho-Bashir-reg-torkhow,tr verb,to irrigate fields for the last time before harvest,"Other pronunciation of amnéik: amník (IF), apnéik, amnóik (in Torkhow) (IF)",16,3
variant,bashir:khowar:88e6d6c7ac:variant:2,bashir:khowar:88e6d6c7ac,apnéik,Kho-Bashir-src-if|Kho-Bashir-src-mnn|Kho-Bashir-reg-torkhow,tr verb,to irrigate fields for the last time before harvest,"Other pronunciation of amnéik: amník (IF), apnéik, amnóik (in Torkhow) (IF)",16,3
variant,bashir:khowar:88e6d6c7ac:variant:3,bashir:khowar:88e6d6c7ac,amnóik,Kho-Bashir-src-if|Kho-Bashir-src-mnn|Kho-Bashir-reg-torkhow,tr verb,to irrigate fields for the last time before harvest,"Other pronunciation of amnéik: amník (IF), apnéik, amnóik (in Torkhow) (IF)",16,3
head,bashir:khowar:c154750677,,ámu,Kho-Bashir-src-ma|Kho-Bashir-src-swka|Kho-Bashir-src-mnn,adj,undercooked,[< Skt. (M:1973) (T1236)],16,3
subentry,bashir:khowar:c154750677:subentry:1,bashir:khowar:c154750677,ámu korík,Kho-Bashir-src-ma|Kho-Bashir-src-swka|Kho-Bashir-src-mnn,tr intr verb,to cause harm by failing to keep a promise or commitment,Subentry of ámu,16,3
head,bashir:khowar:f9e39245a7,,an,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-ms|Kho-Bashir-src-is|Kho-Bashir-src-rkb|Kho-Bashir-src-zhd,n,mountain pasture,[< Skt.? (T1110?)],16,3
subentry,bashir:khowar:f9e39245a7:subentry:1,bashir:khowar:f9e39245a7,ántulakhík,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-ms|Kho-Bashir-src-is|Kho-Bashir-src-rkb|Kho-Bashir-src-zhd,n,day when animals are taken to summer pastures,Subentry of an,16,3
subentry,bashir:khowar:f9e39245a7:subentry:2,bashir:khowar:f9e39245a7,anó bap,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-ms|Kho-Bashir-src-is|Kho-Bashir-src-rkb|Kho-Bashir-src-zhd,n,old man of the mountain.,Subentry of an,16,3
head,bashir:khowar:990d417c3a,,andabá,Kho-Bashir-src-mnn,n,plastering tool,,16,3
head,bashir:khowar:74512d3662,,andalíp,Kho-Bashir-src-ics,n,nightingale,,16,3
head,bashir:khowar:762c690cb5,,andálu,Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-if,n,"type of bean (green when raw, black when cooked)",,16,3
head,bashir:khowar:f22e343c32,,andár,Kho-Bashir-src-mnn,n,a sharp pain (in eyes or teeth),,16,3
subentry,bashir:khowar:f22e343c32:subentry:1,bashir:khowar:f22e343c32,andár dik,Kho-Bashir-src-mnn,intr tr verb,for a sharp pain or stinging to be felt,Subentry of andár,16,3
head,bashir:khowar:8580819306,,andáʋ,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb,n,fever,"[< Ir., Wakhi (M:1936)]",17,4
subentry,bashir:khowar:8580819306:subentry:1,bashir:khowar:8580819306,andáʋ korík,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb,tr verb,Because of fever í could not sleep.,Subentry of andáʋ,17,4
head,bashir:khowar:78d7883033,,andóq,Kho-Bashir-src-mnn|Kho-Bashir-src-ms,adj,"having a pleasing, peaceful, serene face",,17,4
head,bashir:khowar:d65100f791,,andožík,Kho-Bashir-src-ms|Kho-Bashir-src-gnk,intr verb,"to walk carefully in the dark so as not to strike a tree or rock, or stumble",,17,4
head,bashir:khowar:94fd746cdf,,andraúṭi,Kho-Bashir-src-ms,n,"strap on a load, backpack, etc. such that hands are left free",,17,4
head,bashir:khowar:ef2c33b1a7,,andreék,Kho-Bashir-src-swka,tr verb,to separate,,17,4
head,bashir:khowar:5f62f979af,,andreláʋ,Kho-Bashir-src-ifm,n,innards,,17,4
head,bashir:khowar:22fd082d26,,andrén-,Kho-Bashir-src-nkn|Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,bound nominal morpheme meaning,[< Skt. (M:1973)]; Morphology: andrén- + -i; andrén- + -o; andrén- + -a; andrén- + -tu,17,4
subentry,bashir:khowar:22fd082d26:subentry:1,bashir:khowar:22fd082d26,andréni,Kho-Bashir-src-nkn|Kho-Bashir-src-mnn|Kho-Bashir-src-swka,adv,inside,Subentry of andrén-; Morphology: andrén- + -i,17,4
head,bashir:khowar:816394716e,,andzéht,Kho-Bashir-src-warijun-women|Kho-Bashir-src-ms,adv,dilapidated,,17,4
head,bashir:khowar:fa629c7051,,anḍaré,Kho-Bashir-src-tmf,n,floor mat woven of reeds,,17,4
head,bashir:khowar:5d30e31b88,,angáh,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rkb,adj,aware,[< Ir. (M:1936)],17,4
subentry,bashir:khowar:5d30e31b88:subentry:1,bashir:khowar:5d30e31b88,angahéik,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rkb,tr verb,to warn,Subentry of angáh,17,4
head,bashir:khowar:0025d965ca,,angár,Kho-Bashir-src-mnn-wsic-rkb,n,fire,[< Skt. (M:1973) (T125)],17,4
head,bashir:khowar:7cfd907831,,angík,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-swka,tr verb,to bring (animate or inanimate entity),"[< Skt. (M:1973), also (T1174)]; Morphology: conjunctive participle of angík",17,4
head,bashir:khowar:68c73931e7,,angoɫoónu,Kho-Bashir-src-swka,n,part of hand loom,,17,4
head,bashir:khowar:b8ad74455a,,angrestaánu,Kho-Bashir-src-ms|Kho-Bashir-src-zp,n,"a piece of wood put into the remains of a fire and covered, before sleeping at night, so that the fire can be started easily in the morning",,17,4
subentry,bashir:khowar:b8ad74455a:subentry:1,bashir:khowar:b8ad74455a,angrestaánu dik,Kho-Bashir-src-ms|Kho-Bashir-src-zp,intr verb,to selfishly take the best place near the fire,Subentry of angrestaánu,17,4
