Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
head,bashir:khowar:c821883f9a,,ṣaʋáy,Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-swka|Kho-Bashir-src-if,n,beads (necklace),,141,128
head,bashir:khowar:5a8b2b35fa,,ṣaxč,Kho-Bashir-src-ics,n,hut,,141,128
head,bashir:khowar:4591bc2974,,ṣaxúr,Kho-Bashir-src-rakr|Kho-Bashir-src-parwak,n,ray (of the sun),,141,128
variant,bashir:khowar:4591bc2974:variant:1,bashir:khowar:4591bc2974,ẓáxur,Kho-Bashir-src-rakr|Kho-Bashir-src-parwak|Kho-Bashir-reg-parwak,n,ray (of the sun),Other pronunciation of ṣaxúr: ẓáxur (Parwak),141,128
head,bashir:khowar:922f7eeaa3,,ṣáyoz,Kho-Bashir-src-mnn,n,"glacier, old, hard, clear ice which breaks into icebergs and falls into river",,141,128
head,bashir:khowar:35c329429d,,ṣeγniyé,Kho-Bashir-src-tmf,n,a tribe some of whom live in Koghuzi,[< Sheghnan],141,128
head,bashir:khowar:4e55307eb7,,ṣéγun,Kho-Bashir-src-nkn|Kho-Bashir-src-zhd,n,liver,[< Skt. (M:1973) (T10394)],141,128
subentry,bashir:khowar:4e55307eb7:subentry:1,bashir:khowar:4e55307eb7,ṣéγun ley,Kho-Bashir-src-nkn|Kho-Bashir-src-zhd,n,blood clot,Subentry of ṣéγun,141,128
head,bashir:khowar:982abe64d7,,ṣéiy,Kho-Bashir-src-ayun,n,"type of wild edible greens, reddish in color",,141,128
head,bashir:khowar:9ace90387b,,ṣek,Kho-Bashir-src-rakr,n,lap,,141,128
subentry,bashir:khowar:9ace90387b:subentry:1,bashir:khowar:9ace90387b,ṣekṣékanišík,Kho-Bashir-src-rakr,n,a children,Subentry of ṣek,141,128
head,bashir:khowar:8263907b4c,,ṣeɫ,Kho-Bashir-src-rakr|Kho-Bashir-src-zhd,n,joint (as of two things glued together),,141,128
subentry,bashir:khowar:8263907b4c:subentry:1,bashir:khowar:8263907b4c,ṣeɫík,Kho-Bashir-src-rakr|Kho-Bashir-src-zhd,tr verb,to glue together (with ṣoɫéṣp),Subentry of ṣeɫ,141,128
subentry,bashir:khowar:8263907b4c:subentry:2,bashir:khowar:8263907b4c,ṣeɫák,Kho-Bashir-src-rakr|Kho-Bashir-src-zhd,adj,sticky,Subentry of ṣeɫ,141,128
head,bashir:khowar:93b46cca34,,ṣic̣,Kho-Bashir-src-mak|Kho-Bashir-src-mnn|Kho-Bashir-src-mys|Kho-Bashir-src-parwak|Kho-Bashir-src-sonoghor,adj,clear,[< Skt. (T12511)],141,128
head,bashir:khowar:adb58344d2,,ṣiík,Kho-Bashir-src-mnn|Kho-Bashir-src-nkn|Kho-Bashir-src-ms|Kho-Bashir-src-ma|Kho-Bashir-src-iwk,intr verb,to be appropriate,[< Skt. (T12636)],141,128
subentry,bashir:khowar:adb58344d2:subentry:1,bashir:khowar:adb58344d2,ṣií ṭhor bik,Kho-Bashir-src-mnn|Kho-Bashir-src-nkn|Kho-Bashir-src-ms|Kho-Bashir-src-ma|Kho-Bashir-src-iwk,intr verb,to suit someone,Subentry of ṣiík,141,128
