Gloss,CDIAL,gil,koh,gur,Astor,dr,bro
village,,het,,,het,,
village,4368,,,,giróom,,
village,3500,,kóoṭ,,,,
wood,3120,káaṭo,káaṭho,káaṭo,káaṭho,,
wood,5399,juk,,,,,
work,2892,kom,kom,krom,krom,,
blue sky,12051,béej̣i,bíẓi,béj̣u,,,
cloud,549,áj̣o,áẓo,áj̣u,áẓo,,
cloud,,burgaál,,,,,
cloud,,,,kavúu,,,
lightning,11743,bícuṣ,bícaṣ,bícuṣ,bícuṣ,,
lightning,5988,,,traṭ,,,
moon,5301,yúun,yúun,yúun,yúun,,
rain,549,áj̣o,áẓo,áj̣u,áẓo,,
sky,1009,"agaáy, hagáay",,aṅgaái,,,
sky,e50,,asmán,,asmán,,
snow,12492,hin,hin,hin,hin,,
star,5798,táaro,táaro,táaru,táaro,,
sun,13574,súuri,súuri,súuri,súuri,,
water,1921,wey,"wói, wíi",vói,wói,,
wind,,"óo~ši, óoši",óoši,"íši, óoši",óoši,,
afternon,,,peeší,peešín,,,
afternon,,balakaál,,,,,
afternon,,,,,dazoó,,
autumn,12329,šaróo,šaryóo,šaróo,šaróo,,
day,6333,déez,deés,dées,déez,,
day,,chak,chak,chak,,,
day,13574,,,súuri,,,
Saturday,~12287c,šimšér,,,šimšér,,
Saturday,,,,baṭaár,,,
Sunday,~1154,adít,itváar,"aitvaár, áathɨ vaár",adít,,
Monday,,tsandúro,,tsa~draár,tsandráalo,,
Monday,~13610,,suwáar,,,,
Tuesday,126,aṅgáaro,,,aṅgáaro,,
Tuesday,~9641,,,bóṅu vaár,,,
Wednesday,9322,bóodo,,,bóodo,,
Wednesday,~14720,,,bodvaár,,,
Thursday,9303,bréspat,,,bréspat,,
Thursday,9305,,,brestvaár,,,
Friday,~12506,šúkur,,,šúkur,,
Friday,,,jumá,jumáh,,,
day after tomorrow,,c̣iíriṅ,,c̣iíri,c̣iíẓi,,
day after tomorrow,,,mút-chak,,,,
down(hill),,khíri,khári,khári,,,
down(hill),,,,,laáṭhi,,
east,,jil bey,,,,,
east,,,nur xáataa,,,,
east,,,,mašrík,mašrík,,
evening,,šáam,,šáam,,,
evening,,,"beláa, beláaṛ",,,,
evening,,,,,bazúko,,
month,,máaz,móos,móos,móos,,
Vaisakha,,,besáak,"vaaék, wáihek",,,
Jestha,,,jéeṭh,"jéeṭh, zeeṣṭ",,,
Asadh,,,"haṛ, haaṛh",háa,,,
Sravan,,,paškál,,,,
Sravan,,,,šáawon,,,
Bhadra,,,bhaadró,"badirét, báadret",,,
Ashvina,,,ássu,,,,
Kartika,,,katák,"kártik, kartiík",,,
Marga,,,magár,magár,,,
Pausha,,,póo,"póo, poohóo",,,
Magha,,,,máag,,,
Phalguna,,,phagán,phagún,,,
Chaitra,,,ceetár,tsíithɨr,,,
morning,,luṣṭikaál,loṣkí,"lóoṣṭ, lóoṣṭei~",lóoṣṭei~,,
morning,,calbúc,,,,,
night,,ráati,ráati,ráati,ráati,,
sunny side of mountain,,"súuri deéc̣, suréen",suréeṇ,suréen,suréen,,
shady side of mountain,,,chóri,chóri,,,
shady side of mountain,,cijoóṭ,,,cijoóṭ,,
seasonal migration,,ucáai,ujaái,,,,
seasonal migration,,,,daróo~ bojoónu,,,
spring (season),,bazoóno,bazoódo,bazoónu,bazanoó,,
summer,,uwáalo,wáalo,wáalu,wáalo,,
today,,aš,aš,aš,aš,,
up(hill),,"ají, ajíṭ",ají,ajá,,,
up(hill),,,húuṇ,,,,
up(hill),,,,,utháli,,
west,,buúr bey,,,,,
west,,,qablá,,,,
west,,,,magríb,magríb,,
winter,,yoóno,yoódo,yoónu,yoóno,,
year,,kaál,kaál,,,,
year,,baríš,,,,,
year,,sáal,,,sáal,,
year,,awéelo,,avéelu,,,
earth,,sum,sum,,sum,,
earth,,birdí,,,,,
earth,,,uzmúke,,,,
earth,,,,zamíin,,,
earthquake,,bu~yá~l,myaál,mu~yál,,,
earthquake,,,,bunílu,,,
earthquake,,,,,zilzilá,,
forest,,jeél,jeél,jeél,,,
forest,,,,,jaṅgál,,
highest summer pasture,,niriíl,,niríl,niríl,,
highest summer pasture,,,maáli,,,,
hill,,ṭhóko,ṭhóko,ṭhóku,thúko,,
hill,,huc̣,huc̣,huc̣,,,
mountain,,khaṇ,"khoṇ, khaṇ",khoṇ,,,
mountain,,c̣híi~ṣ,,c̣híiṣ,c̣híiṣ,,
river,,sin,sin,sin,sin,,
river,,ga,ga,gáa,gah,,
sand,,sígal,sígal,síṅil,síṅel,,
spring (of water),,uts,utsh,uts,uts,,
stone,,baṭ,baṭ,baṭ,baṭ,,
stone,,,,,gíiri,,
ant,,philíili,phibíili,pfiliíli,philíili,,
ass,,j̣akún,ẓakún,j̣akúṇ,ẓakún,,
beard,,i~c̣,ic̣h,ic̣,ic̣,,
bird,,briṅ,,,,,
pheasant,,,miṅ,,,,
bird,,,,jaanəwáar,,,
bird,,,,,cáai~,,
sparrow,,harác̣in,,,,,
sparrow,,,cayaá,cái,,,
bull,,dóono,,dóonu,dóono,,
bull,,,bhaák,,,,
bumblebee,,ḍuḍú~yo,,,,,
bumblebee,,,guṅgúuṭo,,,,
bumblebee,,,bhoráa,,,,
bumblebee,,,,ẓombuú,,,
cat (m.),,búušo,púšo,púšu,píšo,,
cat (m.),,,,gáñju,,,
cat (f.),,búuši,púši,púši,píši,,
crow,,káa~,qáa,káa,káa,,
cow,,"goó, gáaw",gáao,gaáu,gaáo,,
dog,,šu~,šúu~,šúu~,súu~,,
egg,,haṇeé,haṇó,haṇoó~,,,
egg,,,,ṭhuúl,ṭhuúl,,
feather,,,,páṭu,,,
feather,,phurguú,,,,,
feather,,pac̣háali,pac̣háali,,,,
feather,,,,,tíiri,,
fish,,chúmu,chúbo,"chímɨ, chúmo",chúmo,,
flea,,píi~j̣o,píiẓo,príij̣o,príiẓu,,
goat (m.),,,,chatíilu,,,
goat (m.),,,thooṭ,,thóo,,
goat (m.),,múgar,múgar,,,,
goat (f.),,"á~i~, ái",ái,ái,ái,,
hen,,karkaámuš,,,karkaámuc,,
hen,,,kukwíi~,kokói,,,
horn,,ṣíṅo,ṣígo,šíṅu,ṣíṅ,,
horse,,á~špo,ášpoo,"á~šp, á~šɨp",á~šip,,
louse,,juú~,juú~,juú~,juú,,
louse (nit),,liíc̣,liíc̣,liíc̣,liíc̣,,
"mouse, rat",,múuj̣i,múuẓi,múuj̣u,múuj̣i,,
rooster,,kaṅkaroóco,,,kaṅkaroóco,,
rooster,,,kukúu~,kokoó,,,
sheep,,éji,,,,,
sheep,,,,,ijíilo,,
sheep,,,lac̣,lac̣,,,
ewe,,"éji, ijíili",eš,eš,eš,,
ram,,karéelo,karaá,karaá,karéelo,,
ram,,un,,,,,
ram,,,,šaróoṭu,,,
snake,,jon,,jon,jon,,
snake,,,judraá,,,,
tail,,phacoó,,,,,
tail,,,lamṭoó,"lamóoṭu, lamṭoó",lamóṭi,,
wasp,,iškáar,,,,,
wasp,,,c̣ubúu,,ẓombuú,,
wasp,,,,bu~yaári,,,
apple,,phalaá,paloó,paloó,paloó,,
apricot,,jaroóṭi,ẓaroóṭo,jaroóṭɨ (pl.),jaroóṭi,,
apricot,,,,phaṭóor,,,
bark (of tree),,dílo,dílo,delú,dílo,,
barley,,yóo,yóo,yóo,yóo,,
birch,,,jóo~ẓi,jóoji,jóo~ẓi,,
birch,,buc̣,,,,,
cedar,,phuluúṣ,phulúuẓo,,,,
cedar,,,,déva daár,,,
cedar,,,,cíi,cilíi,,
fig (fruit),,phaág,phagwíi kúla,,pfaák,,
fig (fruit),,,,káa~ á~šɨp,,,
fig (fruit),,,,phaṭóoru,,,
grape(s),,j̣ac̣,ẓac̣,"daṣ, dáṣṭom",j̣ac̣,,
grass/fodder,,kac̣,kac̣,kac̣,,,
grass/fodder,,car,,,,,
leaf,,páṭo,páṭho,páṭu,páṭo,,
maize,,makáy,makái,makái,makíi,,
mulberry tree,,maróoc̣,maróoc̣o,marúc̣,maróoc̣,,
pomegranate,,daṇúu~,daṇúu~,daṇú~,daṇúu~,,
poplar,,phaltsí,,phra~ts,phrats,,
root,,,cheríṣ,chiríṣ,chiríṣ,,
root,,mulií,,,,,
seed,,bíi,bíi,bíi,bíi,,
tree,,múṭo,múṭho,,,,
tree,,tom,tom,tom,tom,,
walnut,,ac̣hoó,ac̣hoó,ac̣hoó,,,
walnut,,,khakáy,,kakái~,,
willow,,bew,byo~,béi~,,,
to beat,,zamoók,,,,,
to beat,,,ḍagoón,,,,
to beat,,,,kuṭyoónu,kuṭoónu,,
to bite,,capoók,capoón,capyoónu,,,
to bite,,,,,j̣an thoónu,,
to burn (intr.),,dajoók,dajoón,dajoónu,dajoónu,,
to burn (tr.),,dayoók,dahoón,dayoónu,dayoónu,,
to come,,wayoók,ayoón,"oónu, ayoónu",wazoónu,,
to cry,,roók,roón,roónu,roónu,,
to cry,,,,hívɨ dyoónu,,,
to die,,miroók,miryoón,miryoónu,miroónu,,
to drink,,piyoók,pyoón,piyoónu,piyoónu,,
to eat,,khoók,khoón,khoónu,khoónu,,
to fly,,thar doók,thor doón,talée dyoónu,,,
to fly,,,,,hun boónu,,
to give,,doók,doón,dyoónu,doónu,,
to go,,bujoók,bojoón,bojoónu,bujoónu,,
to harvest,,loók,loón,lyoónu,,,
to harvest,,leéc̣ thoók,,,,,
to harvest,,,,,curúk thoónu,,
to hear,,parujoók,,parjoónu,parjoónu,,
to hear,,,ṣuṇoón,,,,
to kill,,maroók,maroon,maryoónu,maroónu,,
to know,,daṣṭoók,lac̣hoón,daṣṭyoónu,daṣṭhoónu,,
to know,,su~yoók,siyoón,,,,
to laugh,,"hayijoók, hayoók",hazoón,hajoónu,hazoónu,,
to lie (down),,ṭaám boók,,ṭam boónu,,,
to lie (down),,j̣eék boók,ẓeék boón,,j̣ek boók,,
to say,,rayoók,razoón,rajoónu,razoónu,,
to see,,pašoók,pašoón,pašoónu,,,
to see,,c̣akoók,c̣akoón,c̣akyoónu,c̣akoónu,,
to sit,,bayoók,byoón,byoónu,biyoónu,,
to sleep,,soók,,soónu,soónu,,
to sleep,,,níiṣ thoón,,,,
to stand,,cóko book,cóko boon,cok boónu,,,
to stand,,,,,hun boónu,,
to stand,,uthyoók,uthyoón,,,,
to swim,,taroók,taroón,,,,
to swim,,tam doók,,tam dyoónu,tam doónu,,
to swim,,,,núuš dyoónu,,,
to walk,,yayoók,yaazoón,yajoónu,yazoónu,,
to wash (tr.),,dujoók,dijaaroón,dijaaryoónu,dijaroónu,,
all (countable),,,básko,básko,,,
all (countable),,búṭo (sg.),,,,,
all (countable),,,,,puúro,,
all (uncountable),,búṭa (pl.),búṭa,búṭɨ,,,
all (uncountable),,,,láa,,,
all (uncountable),,,,,puúro,,
big,,báṛo,báṛo,báṛu,báṛo,,
bitter,,c̣íṭo,cíṭo,cíṭu,c̣íṭo,,
black,,kíṇo,kíṇo,kíṇu,kíṇo,,
blind,,ṣéwo,ṣéeo,šéeu,ṣeéo,,
cold,,šidálo,c̣hahúu~,"c̣aúu~, c̣awúu~",c̣aúu~,,
dry,,súkho,šúkho,šúku,šúku,,
eight,,a~ṣ,a~ṣ,a~ṣṭ,a~ṣ,,
eighteen,,aṣṭáa~y,aṣṭáa~i,a~ṣṭáai,aṣṭáa~i,,
eleven,,akáay,akáai,akáai,akáai,,
few,,aápe,ápa,ápo,ápo,,
few,,,,jéek,,,
fifteen,,panzéy,panzílee,pa~zulé~i~,pazilí~,,
five,,poš,poš,po~š,po~š,,
forty-one,,díbu-ga ek,díbu-ga ek,dúbi-gə ek,díbu-ga ek,,
four,,cáar,cáar,cáar,cáar,,
fourteen,,coóndei,cahú~dee,codé~i~,coóde~i~,,
full,,"ṣek, ṣak",,ṣek,ṣek,,
full,,,phúuṇo,,,,
good,,míṣṭo,míṣṭho,míṣṭhu,míṣṭhu,,
good,,sam,sam,,,,
good,,,,siyóo,,,
green,,níilo,níilo,níilu,níilu,,
hot,,taáto,táto,tátu,tátto,,
hundred,,šal,šal,šal,šal,,
hungry,,uyáno,,unyaálu,,,
hungry,,niráno,niroóno,niróṇu,nirónu,,
left (direction),,khábo,khábooto,"kha, khái",kháau,,
long,,j̣ígo,ẓígo,j̣ígu,,,
many,,laáwo,láa,láa,láa,,
many,,tušáar,,tišáar,,,
new,,naáwo,nóo~,náa~,náu~,,
nine,,naw,ná~o~,náu,náu,,
nineteen,,kunií,ukaníi~,kunií,kuniíh,,
old (person),,járo,járo,járu,járo,,
one,,ek,ek,ek,ek,,
red,,loólyo,lhiílo,loólu,loólo,,
right (direction),,"dac̣híno, dac̣hiboóm",dac̣híṇo,dac̣íṇu,daṣínu,,
round,,biḍiríko,,,,,
round,,,ḍiḍuúro,ḍuḍuúru,ḍiḍuúro,,
seven,,sat,sat,sat,sat,,
seventeen,,sattáa~y,sattáa~i~,sattáai,sattáa~i~,,
sharp,,tíino,tíiṇo,tíiṇu,tíiṇo,,
six,,ṣa,ṣa,ṣa,ṣa,,
sixteen,,ṣóo~y,ṣóo~i,ṣóo~i,ṣói~,,
small,,cúno,cúṇo,cúṇu,,,
small,,,,,khúṭu,,
sour,,cúrko,cúko,cúrku,cúrko,,
ten,,day,dáai,dái,dái,,
thirteen,,c̣óo~y,c̣óoi,"c̣ói, c̣óoi",c̣ói~,,
thirty-nine,,bií-ga kunií,bhyo ukaníi~,bi-gə kunií,bií-ga kuniíh,,
three,,c̣ée,c̣ée,c̣e,c̣ée,,
thousand,,hazáar,,,,,
thousand,,saá~s,,sáas,,,
thousand,,,zir,,,,
thousand,,,,,dái šal,,
twelve,,báay,báai,báai,báai,,
twenty,,bií,bií,bií,bií,,
twenty-nine,,bií-ga naw,bhyo na~o~,bi-gə náu,bií-ga náu,,
two,,dúu,dúu,dúu,du,,
white,,šáyo,šóo,šóo,šéeo,,
yellow,,halíj̣o,,,,,
yellow,,,píilo,píilu,,,
yellow,,,,kumúu~mu,komúmo,,
he,,"ro, ros","sa, sési","so, j̣o, aá",,,
he (pl.),,"ri, ris",,"senó~, j̣esé~i~, aásé~i~",,,
I,,"ma, mas","mo, mo~","muʔ, mé~i~",mu~h,,
not,,"ne, neé","na, neé~, niš","neʔ, niš",,,
she,,"re, res","sa, sésoo","se, j̣e, aá",,,
she (pl.),,,,"seso~, j̣eso~, aáso~",,,
"they (m., dist.)",,oó,"sa, seṇáa","se, j̣e, aá",,,
"they (m., dist., pl.?)",,,,"ses, j̣es, aás",,,
"they (f., dist.)",,oó,"sa, seṇáa","sǽæ, j̣ǽæ, ayáa",,,
"they (f., dist., pl.?)",,,,"sǽæs, j̣ǽæs, ayáas",,,
"they (m., prox.)",,,"ye, yeṇáa",anyáa,,,
"they (f., prox.)",,,"ye, yeṇáa",anyáa,,,
that (m.),,oó,"asá, asési","peraá, paraá",,,
that (f.),,eé,"asá, asésoo",,aá,,
this (m.),,"anú, anús","aáe, aáysi","anú, nu",anúh,,
this (f.),,"ané, anés","aáe, aáysoo",aní,aníh,,
these,,"ni, nis",aáe,,,,
we,,"be, bes","be, asáa",beʔ,"be, bes",,
what?,,"jéek, je","jóo, káa",jóok,yóok,,
who? (m.),,"koó, koós",koé,koóe,koí,,
who? (f.),,"keé, keés",,,,,
who? (pl.),,"keéi, keéis",,,,,
you (sg.),,"tu, tus","tu, thóo",tuʔ,tuh,,
you (pl.),,"tsho, tshos","tsho, tsháa","tsho~, tsho~s","tsho, tshos",,
camel,,úu~ṭ,ux,úu~ṭ,úu~ṭ,,
chain,,šiṅaáli,,šaṅaáli,šaṅáli,,
chain,,,zhanzhír,,,,
cheese,,,burús,burús,,,
cheese,,"hamíci, haméc̣i",,,,,
cheese,,,,,koóni,,
copper,,loólyo riíl,,,,,
copper,,,phéṭi,,,,
copper,,,,tráam,,,
copper,,,,zams,,,
enemy,,"dušmán, béero",dušmán,dušmán,dušmán,,
fairy,,parí,,parí,parí,,
fairy,,,xapreé,,,,
fairy,,,,,ruí,,
far,,duúr,dúur,dúur,dúur,,
fever,,,,tap,,,
fever,,,,tat,tátto,,
fever,,šaál,šaál,,,,
flour,,áa~ṭe,,áaṭe,áa~ṭe,,
flour,,,phuk,,,,
foam,,phíin,phéeṇ,phíiṇɨ,"phíiṇi, phíini",,
fox,,ló~i,lói,lói,lói,,
frog,,maṇúuko,maṇóoq,maṇóo~k,maṇóoko,,
gold,,soṇ,soóṇ,soóṇ,soná,,
gun,,tumák,ṭubák,"tumák, tubák",tumák,,
hedgehog,,,,,šaá~ti,,
heel,,,thúri,thúri,,,
heel,,khúuri,,,khirkáli,,
lamb,,urán,,urán,urán,,
lamb,,,matoó,,,,
leopard,,dií~,dií~,"dií~, dhií~",dií~,,
Milky Way,,balajé,bólaj,bala~jée,,,
mirror,,"eéno, gayuúri",mukcáaki,šiišá,šiišá,,
nut,,khakáai~,khakái,,,,
nut,,,gayáa,gayáa,,,
palm of hand,,háta táawo,hattóo,hatatáa,hattáao,,
rainbow,,"bijoón, biẓoón",biẓoón,bijoóni,bij̣oón,,
rice (paddy),,brí~w,byu~,,briú~,,
rice (paddy),,,talúuṇ,,,,
rice (paddy),,,,dayó~,,,
rice (cooked),,bat,baát,,baát,,
rice (cooked),,,,bríim,,,
rice (cooked),,,,bái,,,
scorpion,,karaáṭo,,,,,
scorpion,,,laṛám,,,,
scorpion,,,,bic,,,
scorpion,,,,,junumáaro,,
shame,,laš,,laš,,,
shame,,šarm,šarám,,be šarm,,
sleep,,nir,níiṣ,níiṣ,níiṣ,,
spleen,,šóom,šóom,šóom,,,
to write,,likhoók,likoón,likhyoónu,likhoónu,,
