LSI-LADAKHI,,ɣa,Five,,ɣʌ,,"grierson-lsi1928[p. 10-11, form LADAKHI-5_five-3, concept 5_five]",,,grierson-lsi1928:LADAKHI-5_five-3,,,,
LSI-HLOKE,,ṅa,Five,,ŋʌ,,"grierson-lsi1928[p. 10-11, form HLOKE-5_five-1, concept 5_five]",,,grierson-lsi1928:HLOKE-5_five-1,,,,
LSI-TAMIL,,eindu,Five,,ein̪d̪u,,"grierson-lsi1928[p. 10-11, form TAMIL-5_five-1, concept 5_five]",,,grierson-lsi1928:TAMIL-5_five-1,,,,
LSI-TAMIL,,eim,Five,,eim,,"grierson-lsi1928[p. 10-11, form TAMIL-5_five-2, concept 5_five]",,,grierson-lsi1928:TAMIL-5_five-2,,,,
LSI-IRULA,,eindu,Five,,ein̪d̪u,,"grierson-lsi1928[p. 10-11, form IRULA-5_five-1, concept 5_five]",,,grierson-lsi1928:IRULA-5_five-1,,,,
LSI-MALAYALAM,,añju,Five,,ʌɲdʒu,,"grierson-lsi1928[p. 10-11, form MALAYALAM-5_five-1, concept 5_five]",,,grierson-lsi1928:MALAYALAM-5_five-1,,,,
LSI-KANARESE,,eidu,Five,,eid̪u,,"grierson-lsi1928[p. 10-11, form KANARESE-5_five-1, concept 5_five]",,,grierson-lsi1928:KANARESE-5_five-1,,,,
LSI-KANARESE,,eivaru,Five,,eivʌru,,"grierson-lsi1928[p. 10-11, form KANARESE-5_five-2, concept 5_five]",,,grierson-lsi1928:KANARESE-5_five-2,,,,
LSI-BADAGA,,eidu,Five,,eid̪u,,"grierson-lsi1928[p. 10-11, form BADAGA-5_five-1, concept 5_five]",,,grierson-lsi1928:BADAGA-5_five-1,,,,
LSI-KODAGU,,anji,Five,,ʌn̪dʒi,,"grierson-lsi1928[p. 10-11, form KODAGU-5_five-1, concept 5_five]",,,grierson-lsi1928:KODAGU-5_five-1,,,,
LSI-TULU,,einü,Five,,ein̪y,,"grierson-lsi1928[p. 10-11, form TULU-5_five-1, concept 5_five]",,,grierson-lsi1928:TULU-5_five-1,,,,
LSI-TODA,,üch,Five,,ytʃ,,"grierson-lsi1928[p. 10-11, form TODA-5_five-1, concept 5_five]",,,grierson-lsi1928:TODA-5_five-1,,,,
LSI-KOTA,,annje,Five,,ʌn̪n̪dʒe,,"grierson-lsi1928[p. 10-11, form KOTA-5_five-1, concept 5_five]",,,grierson-lsi1928:KOTA-5_five-1,,,,
LSI-KURUXORORAO,,pañchē,Five,,pʌɲtʃeː,,"grierson-lsi1928[p. 10-11, form KURUXORORAO-5_five-1, concept 5_five]",,,grierson-lsi1928:KURUXORORAO-5_five-1,,,,
LSI-MALTOORMALER,,pach,Five,,pʌtʃ,,"grierson-lsi1928[p. 10-11, form MALTOORMALER-5_five-1, concept 5_five]",,,grierson-lsi1928:MALTOORMALER-5_five-1,,,,
LSI-KUIKANDHIORKHOND,,siṅgi,Five,,siŋgi,,"grierson-lsi1928[p. 10-11, form KUIKANDHIORKHOND-5_five-1, concept 5_five]",,,grierson-lsi1928:KUIKANDHIORKHOND-5_five-1,,,,
LSI-KOLAMI,,aid,Five,,aid̪,,"grierson-lsi1928[p. 10-11, form KOLAMI-5_five-1, concept 5_five]",,,grierson-lsi1928:KOLAMI-5_five-1,,,,
LSI-GONDI,,sayuṅg,Five,,sʌjuŋg,,"grierson-lsi1928[p. 10-11, form GONDI-5_five-1, concept 5_five]",,,grierson-lsi1928:GONDI-5_five-1,,,,
