ju,,ape,you (pl.),,ape,,PJDW[item 1245],,"#Ju./a-/ ""demonstrative element"", /-pɛ/ ""you""; Kh./ampe/ ""you (pl.), So./amben/ (both with /am-/ by analogy to /am/ ""thou""), Sa./apɛ/, /ape/, Mu., Ho/ape/.",pinnow1960beitraege:C:i1245:v2,pinnow1960beitraege:C:i1245,,,
ju,,arɔ-ki,"they, third person plural",,arɔ-ki,,PJDW[item 824],,"#Ju. /arɔ/ ""he, she, it, this, that""; Kh./aṛ-ki/ ""they"", /-ki/ ""plural suffix"", So./-ji/ ""id."", Wa/ki'/, DS/kɛ/ ""they"".",pinnow1960beitraege:C:i824,,,,pl 3
ju,,arɔ-ki,"they, third person plural",,arɔ-ki,,PJDW[item 91],,"#Kh./aṛ-ki/ ""they"", /-ki/ ""plural suffix"", So./-ji/ ""id."", Wa/ki'/, DS/kɛ/ ""they"".",pinnow1960beitraege:C:i91,,,,pl 3
ju,,arɔ-kia,"they two, third person dual",,arɔ-kia,,PJDW[item 6],,"#Ju. /arɔ/ ""he, she, it, this, that""; Kh./aṛ-kiar/ ""they two"".  Cf. /arɔ-ki/ ""they (pl.).",pinnow1960beitraege:C:i6,,,,du 3
ju,,arɔ-kia,"they two, third person dual",,arɔ-kia,,PJDW[item 92],,"#Kh./aṛ-kiar/ ""they two"".",pinnow1960beitraege:C:i92,,,,du 3
ju,,au-bɔ,there,,au-bɔ,,PJDW[item 114],,,pinnow1960beitraege:C:i114,,,,
ju,,au-ta,"there, from?? there",,au-ta,,PJDW[item 115],,,pinnow1960beitraege:C:i115,,,,
ju,,au-tae,from there,,au-tae,,PJDW[item 116],,,pinnow1960beitraege:C:i116,,,,
ju,,aɖi,anybody,,aɖi,,PJDW[item 433],,"#Ju./a-/ ""demonstrative element""; Kh./aḍi/ ""he, she, it"", Pal./de:/.",pinnow1960beitraege:C:i433,,,,
ju,,aɖi,"who, which",,aɖi,"E.g. /aḍi-a/ ""whose"".",PJDW[item 27],,,pinnow1960beitraege:C:i27,,,,
ju,,aɖi,"who, which",,aɖi,"E.g. /aḍi-a/ ""whose"".",PJDW[item 434],,,pinnow1960beitraege:C:i434,,,,
ju,,baba,father,,baba,,PJDW[item 124],,"#O., Bh./buba/.",pinnow1960beitraege:C:i124,,,,
ju,,ban-,two,,ban-,,PJDW[item 121],,,pinnow1960beitraege:C:i121,,,,
ju,,banai-bɔg,name of a clan: the bear,,banai-bɔg,,PJDW[item 150],,"Cf. /banai/, /banaingeng bak/, /baningbok/.",pinnow1960beitraege:C:i150,,,,
ju,,banɔg,two; both,,banɔg,,PJDW[item 122],,"#Kh./ubar/, Sa., Mu., Ho/bar/, So./ba:gu/, /bar-/, Sa./banar/ ""both"", PT/panar/, /bərnar/ ""two"".  Cf. /bangrud/.",pinnow1960beitraege:C:i122,,,,
ju,,banɔg,two; both,,banɔg,,PJDW[item 148],,"#Kh./ubar/, Sa., Mu., Ho/bar/, So./ba:gu/, /bar-/, Sa./banar/ ""both"", PT/panar/, /bərnar/ ""two"".  Cf. /bangrud/.",pinnow1960beitraege:C:i148,,,,
ju,,hagu kɔrai-,"to befriend, to clasp in arms, to go arm in arm",,hagu kɔrai-,,PJDW[item 598],,#Mu./gati/.  Cf. /abɛkɔrai-/.,pinnow1960beitraege:C:i598,,,,
ju,,hagu kɔrai-,"to befriend, to clasp in arms, to go arm in arm",,hagu kɔrai-,,PJDW[item 900],,#Mu./gati/.,pinnow1960beitraege:C:i900,,,,
ju,,man-ɖi-a,where (lit. in which place),,man-ɖi-a,,PJDW[item 1044],,,pinnow1960beitraege:C:i1044,,,,
ju,,man-ɖi-a,where (lit. in which place),,man-ɖi-a,,PJDW[item 435],,,pinnow1960beitraege:C:i435,,,,
ju,,ɔ[b]ɽɔg-,"to throw down, to let fall, [to drop]",,ɔ[b]ɽɔg-,,PJDW[item 119],,"#Sa./ɔbɔr/ ""to sit on eggs, fall to the ground"", Mu., Ho/ɔbɔr/ ""to lie down of belly"".",pinnow1960beitraege:C:i119,,,,
ju,,ɔ[b]ɽɔg-,"to throw down, to let fall, [to drop]",,ɔ[b]ɽɔg-,,PJDW[item 1219],,"#Sa./ɔbɔr/ ""to sit on eggs, fall to the ground"", Mu., Ho/ɔbɔr/ ""to lie down of belly"".",pinnow1960beitraege:C:i1219,,,,
ju,,ɔb-gɔj-,to kill,,ɔb-gɔj-,,PJDW[item 1165],,#Kh./ɔbgɔ'j/.,pinnow1960beitraege:C:i1165,,,,
ju,,ɔb-gɔj-,to kill,,ɔb-gɔj-,,PJDW[item 543],,#Kh./ɔb-gɔ'j/.,pinnow1960beitraege:C:i543,,,,
ju,,ɔb-tɛj-,"to untie, to open",,ɔb-tɛj-,,PJDW[item 1167],,,pinnow1960beitraege:C:i1167,,,,
ju,,ɔb-tɛj-,"to untie, to open",,ɔb-tɛj-,,PJDW[item 1532],,,pinnow1960beitraege:C:i1532,,,,
ju,,ɔb-ɔŋɔ-,"to cause to hear, to tell",,ɔb-ɔŋɔ-,,PJDW[item 1166],,,pinnow1960beitraege:C:i1166,,,,caus
ju,,ɔb-ɔŋɔ-,"to cause to hear, to tell",,ɔb-ɔŋɔ-,,PJDW[item 1200],,,pinnow1960beitraege:C:i1200,,,,caus
ju,,-a,,,-a,Source gloss: ?,PJDW[item 1634],,,pinnow1960beitraege:C:i1634,,,,uncertain
ju,,-a,dual,,-a,,PJDW[item 3],,"#Kh./-ar/??.  Cf. /ba-/ ""we two"", etc.",pinnow1960beitraege:C:i3,,,,du uncertain
ju,,-a,"locative, temporal",,-a,"E.g. /bɔṇɔ-a/ ""in the woods"", /man-ḍi-a/ ""where"" (lit. ""in which place""), /ɛ-rɛ bɛḷa/=/ɛ-rɛ bɛḷa-a/ ""at this time"", /mɔjhi-a/ ""in the middle"", /ḍag-a/ ""in water"", /mu kulɔu-a/ ""in the old days"".  Phon. a / 0 / __ a",PJDW[item 8],,"Cf. /-ra/ ""in"".",pinnow1960beitraege:C:i8,,,,loc
ju,,-a,"possessive, genitive (object follows)",,-a,"E.g. /marag-a ɛmɔḍ-ḍɔ/ ""eye of the peafowl"", /rusi-r-a ɛlaŋ-ḍɔ/ ""Rusi's tongue"", /aiñ-a/ ""my"", /ar-a/ ""his"".",PJDW[item 2],,"#Kh., Sa., Mu., Ho/-a'/ ""possessive suffix"", So./ə-/ ""prefixed on noun expressing possessed thing"".  Phon. *g / 0 / __ # / suffix.",pinnow1960beitraege:C:i2,,,,gen
ju,,-a-ta,from,,-a-ta,,PJDW[item 108],,"#Kh./-atai/, /-tae/ ""from"", Mu./-ate/, /-ete/.  Cf. /-a-tɛ/.",pinnow1960beitraege:C:i108,,,,
ju,,-a-tɛ,"on, in, for",,-a-tɛ,,PJDW[item 109],,"#Mu./-ate/, /-ete/ ""ablative suffix"".  Cf. /-a-ta/.",pinnow1960beitraege:C:i109,,,,
ju,,-a=-na,aorist of intransitive verbs ending in a nasal,,-a=-na,"E.g. /sɔŋ-a/ ""buy"", /baṇ-a/ ""forget"", /ḍañ-a/ ""climb"".  Phon. n / 0 / nasal __.",PJDW[item 9],,,pinnow1960beitraege:C:i9,,,,intr
ju,,-an,,,-an,Source gloss: ?,PJDW[item 72],,"#Sa./-an/ ""verb suffix used to form the simple past medium with indirect object"".  Cf. /-an-a/, /-an-ɔ/.",pinnow1960beitraege:C:i72,,,,uncertain
ju,,-b-,causative,,-b-,,PJDW[item 118],,"#Kh./-b-/, So./-b-/.",pinnow1960beitraege:C:i118,,,,caus
ju,,-ciri,past indefinite,,-ciri,,PJDW[item 337],,,pinnow1960beitraege:C:i337,,,,
ju,,-cɛnɖai,"woman, girl",,-cɛnɖai,,PJDW[item 327],,,pinnow1960beitraege:C:i327,,,,
ju,,-cɛrɔ,pluperfect,,-cɛrɔ,,PJDW[item 330],,"#Kh./-sikhɔ'/.  Cf. /cɛḍɛ/, /-ɔ/.",pinnow1960beitraege:C:i330,,,,
ju,,-cɛɖɛ,past indefinite ??,,-cɛɖɛ,,PJDW[item 326],,,pinnow1960beitraege:C:i326,,,,
ju,,-gar-,,,-gar-,"E.g. /ḍub-gar-, ḍub-gaḍ-. Source gloss: ?",PJDW[item 513],,"#Kh./gɔḍ-/, /gɔṛ-/ ""id."", Sa./gɔ'd/ ""only used suffixed to verbs; quickly, suddenly"", Mu./gɔ'd/ ""to pluck"".  Cf. /-gaḍ-/, /gɔr-/, /gɔḍ-/.",pinnow1960beitraege:C:i513,,,,uncertain
ju,,-goʈa,numeral intensive suffix,,-goʈa,,PJDW[item 558],,"#Kh./goṭhaŋ/, Sa./goṭəŋ/, /gɔṭɛ'j/, Mu./gɔṭɔ/; Sad./goṭ/, O., Bh./goṭa/; cf. Ju./goṭo/ ""piece"", O./goṭa/ ""one"".",pinnow1960beitraege:C:i558,,,,suffix
ju,,-gɔʈa,numeral intensive suffix,,-gɔʈa,,PJDW[item 558],,"#Kh./goṭhaŋ/, Sa./goṭəŋ/, /gɔṭɛ'j/, Mu./gɔṭɔ/; Sad./goṭ/, O., Bh./goṭa/; cf. Ju./goṭo/ ""piece"", O./goṭa/ ""one"".",pinnow1960beitraege:C:i558:v2,pinnow1960beitraege:C:i558,,,suffix
ju,,-guɽa,potter,,-guɽa,,PJDW[item 570],,"#H./gUṇi/ ""virtuous, skillful, talented"", Sk./gUṇi/.",pinnow1960beitraege:C:i570,,,,
ju,,-gɔɖ,,,-gɔɖ,Source gloss: ?,PJDW[item 535],,"#Kh./san/ ""to go"", /san-gɔ'd/ ""to be able to walk"".  Cf. /-gɔr-/.",pinnow1960beitraege:C:i535,,,,uncertain
ju,,-gɛ,"emphatic particle, too, indeed",,-gɛ,,PJDW[item 518],,"#Kh., Sa., Mu., /ge/; So./ge:/ ""suffix added to the stem of a word to express resemblance, manner, etc."".",pinnow1960beitraege:C:i518,,,,part
ju,,-ge,"emphatic particle, too, indeed",,-ge,,PJDW[item 518],,"#Kh., Sa., Mu., /ge/; So./ge:/ ""suffix added to the stem of a word to express resemblance, manner, etc."".",pinnow1960beitraege:C:i518:v2,pinnow1960beitraege:C:i518,,,part
ju,,-i,"participle; conjunctive, past",,-i,,PJDW[item 668],,"Cf. /dhapaṭ-i/ ""running"", O./-I/, e.g./dekh-I/ ""having seen"".",pinnow1960beitraege:C:i668,,,,
ju,,-i,present indefinite,,-i,,PJDW[item 667],,,pinnow1960beitraege:C:i667,,,,
ju,,-iɲ,"I, me, my??",,-iɲ,,PJDW[item 677],,,pinnow1960beitraege:C:i677,,,,
ju,,-jɛ,,,-jɛ,Source gloss: ?,PJDW[item 702],,,pinnow1960beitraege:C:i702,,,,uncertain
ju,,-ki,third person plural,,-ki,,PJDW[item 823],,"#Kh./-ki/, So./-ji/, Sa., MuN/-kin/, MuH, Ho, Ku./-kiŋ/; Wa/ki'/, DS/kɛ/ ""they"".",pinnow1960beitraege:C:i823,,,,pl 3
ju,,-ku,optative,,-ku,,PJDW[item 922],,,pinnow1960beitraege:C:i922,,,,
ju,,-kɛ,present definite,,-kɛ,,PJDW[item 808],,#Kh./-ki/.,pinnow1960beitraege:C:i808,,,,
ju,,-ke,present definite,,-ke,,PJDW[item 808],,#Kh./-ki/.,pinnow1960beitraege:C:i808:v2,pinnow1960beitraege:C:i808,,,
ju,,-ki,present definite,,-ki,,PJDW[item 808],,#Kh./-ki/.,pinnow1960beitraege:C:i808:v3,pinnow1960beitraege:C:i808,,,
ju,,-kiɛ,present definite,,-kiɛ,,PJDW[item 808],,#Kh./-ki/.,pinnow1960beitraege:C:i808:v4,pinnow1960beitraege:C:i808,,,
ju,,-lɔ,,,-lɔ,Source gloss: ?,PJDW[item 1016],,"#So./lo:-/ ""a particle prefixed to a verb to express the idea of quickness"".",pinnow1960beitraege:C:i1016,,,,uncertain
ju,,-lo,,,-lo,Source gloss: ?,PJDW[item 1016],,"#So./lo:-/ ""a particle prefixed to a verb to express the idea of quickness"".",pinnow1960beitraege:C:i1016:v2,pinnow1960beitraege:C:i1016,,,uncertain
ju,,-m,,,-m,Source gloss: ?,PJDW[item 1026],,,pinnow1960beitraege:C:i1026,,,,uncertain
ju,,-me,??,,-me,,PJDW[item 1056],,,pinnow1960beitraege:C:i1056,,,,
ju,,-mai,??,,-mai,,PJDW[item 1056],,,pinnow1960beitraege:C:i1056:v2,pinnow1960beitraege:C:i1056,,,
ju,,-mɔi,??,,-mɔi,,PJDW[item 1056],,,pinnow1960beitraege:C:i1056:v3,pinnow1960beitraege:C:i1056,,,
ju,,-na,"present indefinite and future, imperative",,-na,,PJDW[item 1108],,"#Kh./-na/, cf. H./-na/.  Cf. /-a/ ""aorist of intransitive verbs ending in a nasal"".",pinnow1960beitraege:C:i1108,,,,impv
ju,,-neniɲ,"us, our",,-neniɲ,,PJDW[item 1130],,#Kh./na-i/.,pinnow1960beitraege:C:i1130,,,,
ju,,-niniɲ,"us, our",,-niniɲ,,PJDW[item 1130],,#Kh./na-i/.,pinnow1960beitraege:C:i1130:v2,pinnow1960beitraege:C:i1130,,,
ju,,-nom,,,-nom,Source gloss: ?,PJDW[item 1152],,"#Kh./-nɔm/, Gu./no:m/.  Cf. /am/, /mɛ-/, /m-/.",pinnow1960beitraege:C:i1152,,,,uncertain
ju,,-nɔman,imperfect,,-nɔman,,PJDW[item 1153],,,pinnow1960beitraege:C:i1153,,,,
ju,,-pa,,,-pa,Source gloss: ?,PJDW[item 1224],,"Cf. /apa/, /ha-/, /h-/.",pinnow1960beitraege:C:i1224,,,,uncertain
ju,,-pɛ,,,-pɛ,Source gloss: ?,PJDW[item 1244],,"Cf. /apɛ/, /hɛ-/.",pinnow1960beitraege:C:i1244,,,,uncertain
ju,,-pe,,,-pe,Source gloss: ?,PJDW[item 1244],,"Cf. /apɛ/, /hɛ-/.",pinnow1960beitraege:C:i1244:v2,pinnow1960beitraege:C:i1244,,,uncertain
ju,,-r-,,,-r-,Source gloss: ?,PJDW[item 1299],,,pinnow1960beitraege:C:i1299,,,,uncertain
ju,,-r-,"subject, he, she, it",,-r-,,PJDW[item 1298],,,pinnow1960beitraege:C:i1298,,,,
ju,,-ra,in,,-ra,,PJDW[item 1300],,"Cf. /-a/ ""locative, temporal"".",pinnow1960beitraege:C:i1300,,,,
ju,,-ri,,,-ri,Source gloss: ?,PJDW[item 1323],,,pinnow1960beitraege:C:i1323,,,,uncertain
ju,,-rɔ,,,-rɔ,Source gloss: ?,PJDW[item 1330],,,pinnow1960beitraege:C:i1330,,,,uncertain
ju,,-rɔ,,,-rɔ,Source gloss: ?,PJDW[item 1331],,,pinnow1960beitraege:C:i1331,,,,uncertain
ju,,-rɔku,,,-rɔku,Source gloss: ?,PJDW[item 1336],,,pinnow1960beitraege:C:i1336,,,,uncertain
ju,,-rɔm,,,-rɔm,Source gloss: ?,PJDW[item 1337],,,pinnow1960beitraege:C:i1337,,,,uncertain
ju,,-rɔua,,,-rɔua,Source gloss: ?,PJDW[item 1343],,,pinnow1960beitraege:C:i1343,,,,uncertain
ju,,-rɔɖɛ,,,-rɔɖɛ,Source gloss: ?,PJDW[item 1333],,,pinnow1960beitraege:C:i1333,,,,uncertain
ju,,-rɛ,,,-rɛ,Source gloss: ?,PJDW[item 1320],,,pinnow1960beitraege:C:i1320,,,,uncertain
ju,,-rɛ,present,,-rɛ,,PJDW[item 1319],,,pinnow1960beitraege:C:i1319,,,,
ju,,-sa,in,,-sa,,PJDW[item 1356],,"#Sa./sa/ ""side, edge"", Mu./sa'/.",pinnow1960beitraege:C:i1356,,,,
