Badaga,d1,a-,"that one; remote demonstrative (in space, time or context)",,,,"hockings-pilotraichoor1992[p. 3, col. 1]",,Hockings and Pilot-Raichoor cite DEDR 1,hockings-pilotraichoor1992:p3:c1:y0111,,,,demonstrative
Badaga,,a:ru mani gidu,evening primrose,,,,"hockings-pilotraichoor1992[p. 3, col. 1]",,Printed alternate of aidu mani gidu,hockings-pilotraichoor1992:p3:c1:y0463:variant:1,hockings-pilotraichoor1992:p3:c1:y0463,,,noun alternate
Badaga,d2826,ainu:ra:vadu,five hundredth,,,,"hockings-pilotraichoor1992[p. 3, col. 1]",,"Hockings and Pilot-Raichoor cite DEDR 2826, 3729",hockings-pilotraichoor1992:p3:c1:y0539,,,,num uncertain
Badaga,d3729,ainu:ra:vadu,five hundredth,,,,"hockings-pilotraichoor1992[p. 3, col. 1]",,"Hockings and Pilot-Raichoor cite DEDR 2826, 3729",hockings-pilotraichoor1992:p3:c1:y0539:link:2,,,,num uncertain
Badaga,d2826,ainu:ru,five hundred A,,,,"hockings-pilotraichoor1992[p. 3, col. 1]",,"(Emeneau 1939:47 recorded aymuru); Hockings and Pilot-Raichoor cite DEDR 2826, 3729",hockings-pilotraichoor1992:p3:c1:y0561,,,,num uncertain
Badaga,d3729,ainu:ru,five hundred A,,,,"hockings-pilotraichoor1992[p. 3, col. 1]",,"(Emeneau 1939:47 recorded aymuru); Hockings and Pilot-Raichoor cite DEDR 2826, 3729",hockings-pilotraichoor1992:p3:c1:y0561:link:2,,,,num uncertain
Badaga,d196,Aine:r,"priests’ division, name of one of the clans (ku:ru) of Kota society",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"(cf. Kota ayn+ ker, ‘father +line of houses’); Hockings and Pilot-Raichoor cite DEDR 196, 2007",hockings-pilotraichoor1992:p3:c2:y0120,,,,noun proper-noun
Badaga,d2007,Aine:r,"priests’ division, name of one of the clans (ku:ru) of Kota society",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"(cf. Kota ayn+ ker, ‘father +line of houses’); Hockings and Pilot-Raichoor cite DEDR 196, 2007",hockings-pilotraichoor1992:p3:c2:y0120:link:2,,,,noun proper-noun
Badaga,,ailu,"dewdrops, beads of dew",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,,hockings-pilotraichoor1992:p3:c2:y0164,,,,noun uncertain
Badaga,,ailupailu,"children, little things (echo-words; hayina",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,,hockings-pilotraichoor1992:p3:c2:y0174,,,,multiword-expression uncertain
Badaga,d2826,aivatta:vadu,fiftieth,,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"Hockings and Pilot-Raichoor cite DEDR 2826, 3918",hockings-pilotraichoor1992:p3:c2:y0230,,,,num uncertain
Badaga,d3918,aivatta:vadu,fiftieth,,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"Hockings and Pilot-Raichoor cite DEDR 2826, 3918",hockings-pilotraichoor1992:p3:c2:y0230:link:2,,,,num uncertain
Badaga,d2826,aivattu,fifty,,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"(Emeneau 1939: 47 recorded ayvatu); Hockings and Pilot-Raichoor cite DEDR 2826, 3918",hockings-pilotraichoor1992:p3:c2:y0254,,,,num uncertain
Badaga,d3918,aivattu,fifty,,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"(Emeneau 1939: 47 recorded ayvatu); Hockings and Pilot-Raichoor cite DEDR 2826, 3918",hockings-pilotraichoor1992:p3:c2:y0254:link:2,,,,num uncertain
Badaga,d282,au,"cry, moan, weeping; to cry, moan, weep, lament, mew",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"(avuv-, att-; cf. alu; Emeneau 1939: 45 recorded áú; archaic form was alu); Hockings and Pilot-Raichoor cite DEDR 282",hockings-pilotraichoor1992:p3:c2:y0287,,,,noun verb intr archaic alternate
Badaga,,avu,"cry, moan, weeping; to cry, moan, weep, lament, mew",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,Printed alternate of au,hockings-pilotraichoor1992:p3:c2:y0287:variant:1,hockings-pilotraichoor1992:p3:c2:y0287,,,noun verb intr archaic alternate
Badaga,,avvu,"cry, moan, weeping; to cry, moan, weep, lament, mew",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,Printed alternate of au,hockings-pilotraichoor1992:p3:c2:y0287:variant:2,hockings-pilotraichoor1992:p3:c2:y0287,,,noun verb intr archaic alternate
