Gondi,,oleu,body,,oleu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 1, Jaganathapuram Koya]",,,silkoya1985:jag:i001:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,talakai,head,,talakai,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 2, Jaganathapuram Koya]",,,silkoya1985:jag:i002:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,botʃu,hair,,botʃu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 3, Jaganathapuram Koya]",,,silkoya1985:jag:i003:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,mokam,face,,mokam,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 4, Jaganathapuram Koya]",,,silkoya1985:jag:i004:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,kandu,eye,,kandu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 5, Jaganathapuram Koya]",,,silkoya1985:jag:i005:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,kave,ear,,kave,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 6, Jaganathapuram Koya]",,,silkoya1985:jag:i006:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,mosoɾ,nose,,mosoɾ,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 7, Jaganathapuram Koya]",,,silkoya1985:jag:i007:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,pauɾu,mouth,,pauɾu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 8, Jaganathapuram Koya]",,,silkoya1985:jag:i008:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,palu,teeth,,palu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 9, Jaganathapuram Koya]",,,silkoya1985:jag:i009:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,nalike,tongue,,nalike,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 10, Jaganathapuram Koya]",,,silkoya1985:jag:i010:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,bʰomːa,breast,,bʰomːa,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 11, Jaganathapuram Koya]",,,silkoya1985:jag:i011:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,dokːa,belly,,dokːa,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 12, Jaganathapuram Koya]",,,silkoya1985:jag:i012:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,guda,arm,,guda,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 13, Jaganathapuram Koya]",,,silkoya1985:jag:i013:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,kondakai,elbow,,kondakai,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 14, Jaganathapuram Koya]",,,silkoya1985:jag:i014:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,aɾikai,palm,,aɾikai,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 15, Jaganathapuram Koya]",,,silkoya1985:jag:i015:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,veliku,finger,,veliku,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 16, Jaganathapuram Koya]",,,silkoya1985:jag:i016:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,goɾu,nail,,goɾu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 17, Jaganathapuram Koya]",,,silkoya1985:jag:i017:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,kalu,leg,,kalu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 18, Jaganathapuram Koya]",,,silkoya1985:jag:i018:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,tolu,skin,,tolu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 19, Jaganathapuram Koya]",,,silkoya1985:jag:i019:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,bula,bone,,bula,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 20, Jaganathapuram Koya]",,,silkoya1985:jag:i020:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,mendul,body,,mendul,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 1, Podia Koya]",,,silkoya1985:pod:i001:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,tala,head,,tala,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 2, Podia Koya]",,,silkoya1985:pod:i002:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,kelku,hair,,kelku,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 3, Podia Koya]",,,silkoya1985:pod:i003:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,mokom,face,,mokom,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 4, Podia Koya]",,,silkoya1985:pod:i004:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,kandku,eye,,kandku,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 5, Podia Koya]",,,silkoya1985:pod:i005:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,kevuk,ear,,kevuk,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 6, Podia Koya]",,,silkoya1985:pod:i006:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,mosoɾ,nose,,mosoɾ,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 7, Podia Koya]",,,silkoya1985:pod:i007:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,paiur,mouth,,paiur,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 8, Podia Koya]",,,silkoya1985:pod:i008:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,palku,teeth,,palku,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 9, Podia Koya]",,,silkoya1985:pod:i009:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,nalike,tongue,,nalike,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 10, Podia Koya]",,,silkoya1985:pod:i010:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,bomːa,breast,,bomːa,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 11, Podia Koya]",,,silkoya1985:pod:i011:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,dokːa,belly,,dokːa,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 12, Podia Koya]",,,silkoya1985:pod:i012:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,danda,arm,,danda,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 13, Podia Koya]",,,silkoya1985:pod:i013:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,kuggai,elbow,,kuggai,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 14, Podia Koya]",,,silkoya1985:pod:i014:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,kailabe,palm,,kailabe,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 15, Podia Koya]",,,silkoya1985:pod:i015:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,vanstuku,finger,,vanstuku,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 16, Podia Koya]",,,silkoya1985:pod:i016:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,gɾos,nail,,gɾos,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 17, Podia Koya]",,,silkoya1985:pod:i017:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,kalu,leg,,kalu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 18, Podia Koya]",,,silkoya1985:pod:i018:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,tolk,skin,,tolk,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 19, Podia Koya]",,,silkoya1985:pod:i019:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,bula,bone,,bula,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 20, Podia Koya]",,,silkoya1985:pod:i020:v1,,,,dialect:Gondi:sil-koya-1985-podia:Podia%20Koya
Gondi,,gundikaia,heart,,gundikaia,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 21, Chintoor Koya]",,,silkoya1985:chi:i021:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,netːuɾu,blood,,netːuɾu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 22, Chintoor Koya]",,,silkoya1985:chi:i022:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,udukanadu,urine,,udukanadu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 23, Chintoor Koya]",,,silkoya1985:chi:i023:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,piː,feces,,piː,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 24, Chintoor Koya]",,,silkoya1985:chi:i024:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,naɾu,village,,naɾu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 25, Chintoor Koya]",,,silkoya1985:chi:i025:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,lonu,house,,lonu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 26, Chintoor Koya]",,,silkoya1985:chi:i026:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,vetʃond,roof,,vetʃond,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 27, Chintoor Koya]",,,silkoya1985:chi:i027:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,gʰumːam,door,,gʰumːam,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 28, Chintoor Koya]",,,silkoya1985:chi:i028:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,veɾku,firewood,,veɾku,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 29, Chintoor Koya]",,,silkoya1985:chi:i029:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,epuɾu,broom,,epuɾu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 30, Chintoor Koya]",,,silkoya1985:chi:i030:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,guntːa,mortar,,guntːa,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 31, Chintoor Koya]",,,silkoya1985:chi:i031:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,utʃpal,pestle,,utʃpal,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 32, Chintoor Koya]",,,silkoya1985:chi:i032:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,sutːe,hammer,,sutːe,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 33, Chintoor Koya]",,,silkoya1985:chi:i033:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,kaseɾ,knife,,kaseɾ,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 34, Chintoor Koya]",,,silkoya1985:chi:i034:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,gʰodel,axe,,gʰodel,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 35, Chintoor Koya]",,,silkoya1985:chi:i035:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,tadu,rope,,tadu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 36, Chintoor Koya]",,,silkoya1985:chi:i036:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,nulu,thread,,nulu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 37, Chintoor Koya]",,,silkoya1985:chi:i037:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,sudi,needle,,sudi,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 38, Chintoor Koya]",,,silkoya1985:chi:i038:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,gʰuda,cloth,,gʰuda,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 39, Chintoor Koya]",,,silkoya1985:chi:i039:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,uŋgaɾam,ring,,uŋgaɾam,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 40, Chintoor Koya]",,,silkoya1985:chi:i040:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,gunde,heart,,gunde,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 21, Jaganathapuram Koya]",,,silkoya1985:jag:i021:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,netːuɾu,blood,,netːuɾu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 22, Jaganathapuram Koya]",,,silkoya1985:jag:i022:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,otsə,urine,,otsə,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 23, Jaganathapuram Koya]",,,silkoya1985:jag:i023:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,piu,feces,,piu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 24, Jaganathapuram Koya]",,,silkoya1985:jag:i024:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
