bhatr,9691,mʹâ,i,,mɑ́,,strand,,,,,,,noun dialect:Bhateri
bhatr,9691,mʹio˜,mine,,míõ,,strand,,,,,,,noun dialect:Bhateri
bhatr,11302,bʹe,we,,bé,,strand,,,,,,,noun dialect:Bhateri
bhatr,986,âsʹo˜,us,,ɑsó̃,,strand,,,,,,,noun dialect:Bhateri
bhatr,5889,tʹu,thou,,t̪ú,,strand,,,,,,,noun dialect:Bhateri
bhatr,5889,tʹi,thee,,t̪í,,strand,,,,,,,noun dialect:Bhateri
bhatr,10511,tʹus,you (pl,,t̪ús,,strand,,,,,,,noun dialect:Bhateri
bhatr,12815,sa,this; that,,sə,,strand,,,,,,,noun dialect:Bhateri
bhatr,6495,dʹûr,far,,d̪ú̬ɾ,,strand,,,,,,,dialect:Bhateri
bhatr,2462,yʹâk,one,,j̣ɑ́k,,strand,,,,,,,num dialect:Bhateri
bhatr,6648,dʹû,two,,d̪ú̬,,strand,,,,,,,num dialect:Bhateri
bhatr,5994,c̣ʹâ,three,,ʈ͡ʂɑ́,,strand,,,,,,,num dialect:Bhateri
bhatr,4655,ćʹôr,four,,t͡só̬ɾ,,strand,,,,,,,num dialect:Bhateri
bhatr,7655,pʹâ˜z,five,,pɑ́̃z,,strand,,,,,,,num dialect:Bhateri
bhatr,12803,ṣʹo,six,,ʂó,,strand,,,,,,,num dialect:Bhateri
bhatr,13139,sʹât,seven,,sɑ́t̪,,strand,,,,,,,num dialect:Bhateri
bhatr,941,ʹâṭ,eight,,ɑ́ʈ,,strand,,,,,,,num dialect:Bhateri
bhatr,6984,nʹu˜,nine,,nú̃,,strand,,,,,,,num dialect:Bhateri
bhatr,6227,dʹaš,ten,,d̪ə́ʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,2485,yʹeš,eleven,,j̣éʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,6658,duʹäš,twelve,,d̪uä́ʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,6001,čʹîš,thirteen,,t͡ʃí̬ʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,4605,ćʹodaš,fourteen,,t͡sód̪əʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,7662,pa˜ǰʹiš,fifteen,,pə̃d͡ʒíʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,12812,ṣuʹeš,sixteen,,ʂuéʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,13146,satʹäš,seventeen,,sət̪ä́ʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,946,aṭʹäš,eighteen,,əʈä́ʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,2411,ʹu˜biš,nineteen,,ú̃biʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,11616,bʹîš,twenty,,bí̬ʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,6004,c̣ʹobiš,sixty,,ʈ͡ʂóbiʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,4623,ćʹorbiš,eighty,,t͡sóɾbiʃ,,strand,,,,,,,num dialect:Bhateri
bhatr,12278,šʹal,hundred,,ʃə́l,,strand,,,,,,,num dialect:Bhateri
bhatr,9568,bʹuṭo˜,all,,búʈõ,,strand,,,,,,,num dialect:Bhateri
bhatr,4424,ghʹu˜,big,,gʱú̃,,strand,,,,,,,adj dialect:Bhateri
bhatr,6368,ʹig,tall,,íg,,strand,,,,,,,adj dialect:Bhateri
bhatr,1670,uzʹal,white,,uzə́l,,strand,,,,,,,adj dialect:Bhateri
bhatr,3083,kʹâl,black,,kɑ́l,,strand,,,,,,,adj dialect:Bhateri
bhatr,10539,râtʹu,red,,ɾɑt̪ú,,strand,,,,,,,adj dialect:Bhateri
bhatr,8233,pʹil,yellow,,píl,,strand,,,,,,,adj dialect:Bhateri
bhatr,7563,nʹil,blue,,níl,,strand,,,,,,,adj dialect:Bhateri
bhatr,10930,lʹâc̣h,bad,,lɑ́ʈ͡ʂh,,strand,,,,,,,adj dialect:Bhateri
bhatr,13768,thʹu,is,,t̪hú,,strand,,,,,,,verb intr dialect:Bhateri
bhatr,6906,nʹâ,not,,nɑ́,,strand,,,,,,,noun dialect:Bhateri
bhatr,9402,bhaṭʹera,bhaṭera,,bʱəʈéɾə,,strand,,,,,,,noun dialect:Bhateri
bhatr,11396,bʹâṣ,rain,,bɑ́ʂ,,strand,,,,,,,noun dialect:Bhateri
bhatr,14096,hiʹu˜,snow,,hiú̃,,strand,,,,,,,noun dialect:Bhateri
bhatr,13493,sʹûm,earth; ground,,sú̬m,,strand,,,,,,,noun dialect:Bhateri
bhatr,11348,bʹâṭh,rock,,bɑ́ʈh,,strand,,,,,,,noun dialect:Bhateri
bhatr,3018,khʹûr,boulder,,khú̬ɾ,,strand,,,,,,,noun dialect:Bhateri
bhatr,13386,sigʹal,sand,,sigə́l,,strand,,,,,,,noun dialect:Bhateri
bhatr,13627,khʹân,mountain,,khɑ́n,,strand,,,,,,,noun dialect:Bhateri
bhatr,3790,khʹâṛ,valley; stream,,khɑ́ɽ,,strand,,,,,,,noun dialect:Bhateri
bhatr,8082,puʹe˜i,water,,pué̃i,,strand,,,,,,,noun dialect:Bhateri
bhatr,13415,sʹîn,river,,sí̬n,,strand,,,,,,,noun dialect:Bhateri
bhatr,1869,ʹûć,spring,,ú̬t͡s,,strand,,,,,,,noun dialect:Bhateri
bhatr,125,ʹâ˜r,fire,,ɑ́̃ɾ,,strand,,,,,,,noun dialect:Bhateri
bhatr,6849,dhʹû˜,smoke,,d̪ʱú̬̃,,strand,,,,,,,noun dialect:Bhateri
bhatr,5177,zâ˜gʹâl,forest,,zɑ̃gɑ́l,,strand,,,,,,,noun dialect:Bhateri
bhatr,12067,bʹîc̣h,tree,,bí̬ʈ͡ʂh,,strand,,,,,,,noun dialect:Bhateri
bhatr,11120,lʹô,cedar,,ló̬,,strand,,,,,,,noun dialect:Bhateri
bhatr,11209,bʹân,holly oak,,bɑ́n,,strand,,,,,,,noun dialect:Bhateri
bhatr,48,âc̣hʹô,walnut,,ɑʈ͡ʂhó̬,,strand,,,,,,,noun dialect:Bhateri
bhatr,3331,kʹul,half walnut,,kúl,,strand,,,,,,,noun dialect:Bhateri
bhatr,1474,âc̣hʹâ,apricot,,ɑʈ͡ʂhɑ́,,strand,,,,,,,noun dialect:Bhateri
