bumb,,ak kárik,To defecate (as said to a child),,,verb; Trail & Cooper PDF p. 32 (printed p. 2),trail-cooper1999,,,tc-entry-24,,,,
bumb,,akaliát,Minority,,,noun; Trail & Cooper PDF p. 32 (printed p. 2); From: Arabic.,trail-cooper1999,,,tc-entry-25,,tc-loan-Arabic,,loan:Arabic
bumb,,akhabír,Old (of people),,,adj; Trail & Cooper PDF p. 32 (printed p. 2),trail-cooper1999,,,tc-entry-26,,,,
bumb,,akhér,"End, final time",,,noun; Trail & Cooper PDF p. 32 (printed p. 2); From: Arabic.,trail-cooper1999,,,tc-entry-27,,tc-loan-Arabic,,loan:Arabic
bumb,,akherí,"Finally, at last, for the last time",,,adv; Trail & Cooper PDF p. 32 (printed p. 2); From: Persian.,trail-cooper1999,,,tc-entry-28,,tc-loan-Persian,,loan:Persian
bumb,,akherát,"Trouble, hard work",,,noun; Trail & Cooper PDF p. 32 (printed p. 2); From: Arabic.,trail-cooper1999,,,tc-entry-29,,tc-loan-Arabic,,loan:Arabic
bumb,,akhẹ́ik,"To get firm, hard",,,verb; Trail & Cooper PDF p. 32 (printed p. 2); Prdm: Class 1 ( kárik ).,trail-cooper1999,,,tc-entry-30,,,,Kalasha-class-1
bumb,,-aki,Adjectivizing suffix.,,,verbal suffix; Trail & Cooper PDF p. 32 (printed p. 2),trail-cooper1999,,,tc-entry-31,,,,
bumb,,aksariát,Majority,,,noun; Trail & Cooper PDF p. 32 (printed p. 2); From: Arabic.,trail-cooper1999,,,tc-entry-32,,tc-loan-Arabic,,loan:Arabic
bumb,,aktiár,Authority (of owner over owned),,,noun; Trail & Cooper PDF p. 32 (printed p. 2); From: Arabic.,trail-cooper1999,,,tc-entry-33,,tc-loan-Arabic,,loan:Arabic
bumb,,aktiát,Care,,,noun; Trail & Cooper PDF p. 32 (printed p. 2); From: Arabic.,trail-cooper1999,,,tc-entry-34,,tc-loan-Arabic,,loan:Arabic
bumb,,aktiát kárik,To do carefully,,,verb; Trail & Cooper PDF p. 32 (printed p. 2),trail-cooper1999,,,tc-entry-35,,,,
bumb,,aktiátas thára,Carefully,,,Trail & Cooper PDF p. 32 (printed p. 2),trail-cooper1999,,,tc-entry-36,,,,
bumb,,ákul,"Wisdom, character",,,noun; Trail & Cooper PDF p. 32 (printed p. 2); Variant: ákal.; From: Arabic.,trail-cooper1999,,,tc-entry-37,,tc-loan-Arabic,,loan:Arabic
