re,,-se,used as a fem. pl. suffix,,-se,,"bhattacharya1968bonda[p. 135, row 15, item 2708]",,,bhattacharya1968bonda:C:c1.p135.r15.i2708.s2707,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo suffix f
re,,-se?ta,having been,,-se?ta,"/tireleg-se?ta/ having been together; a particle used to form conjunctives or occasionally instr. case; /ǰulɔ?se?/, /ǰulɔ?-se?ta/ having seen; /neubɔ-se?ta/ with the help of a funnel","bhattacharya1968bonda[p. 137, row 8, item 2736]",,,bhattacharya1968bonda:C:c1.p137.r8.i2736.s2735,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo part
re,,-se?,having been,,-se?,"/tireleg-se?ta/ having been together; a particle used to form conjunctives or occasionally instr. case; /ǰulɔ?se?/, /ǰulɔ?-se?ta/ having seen; /neubɔ-se?ta/ with the help of a funnel","bhattacharya1968bonda[p. 137, row 8, item 2736]",,,bhattacharya1968bonda:C:c1.p137.r8.i2736.s2735:v2,bhattacharya1968bonda:C:c1.p137.r8.i2736.s2735,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo part
re,,-tui,contracted form of <ntui> mushroom,,-tui,"e.g. /a?a-tui/, /tirepa-tui/, etc.","bhattacharya1968bonda[p. 70, row 9, item 1406]",,,bhattacharya1968bonda:C:c1.p70.r9.i1406.s1401,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,-ḍeŋ,a third person possessive morpheme,,-ḍeŋ,"/ba?ḍeŋ/ his father, etc.","bhattacharya1968bonda[p. 62, row 21, item 1265]",,,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,-ṛeŋ,a third person possessive morpheme,,-ṛeŋ,"/ba?ḍeŋ/ his father, etc.","bhattacharya1968bonda[p. 62, row 21, item 1265]",,,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259:v2,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,-reŋ,a third person possessive morpheme,,-reŋ,"/ba?ḍeŋ/ his father, etc.","bhattacharya1968bonda[p. 62, row 21, item 1265]",,,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259:v3,bhattacharya1968bonda:C:c1.p62.r21.i1265.s1259,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,-ḍi,an ablative suffix,,-ḍi,,"bhattacharya1968bonda[p. 60, row 16, item 1218]",,,bhattacharya1968bonda:C:c1.p60.r16.i1218.s1212,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo suffix
re,,-ḍɔm,in spite of,,-ḍɔm,/ɔhɔ! kɔ?n ma kakurti inḍɔ mpɔ? ḍigiḍigi-ṛɔm/ oh! what is this trouble in spite of there being a cloth,"bhattacharya1968bonda[p. 64, row 16, item 1299]",,,bhattacharya1968bonda:C:c1.p64.r16.i1299.s1293,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,-ṛɔm,in spite of,,-ṛɔm,/ɔhɔ! kɔ?n ma kakurti inḍɔ mpɔ? ḍigiḍigi-ṛɔm/ oh! what is this trouble in spite of there being a cloth,"bhattacharya1968bonda[p. 64, row 16, item 1299]",,,bhattacharya1968bonda:C:c1.p64.r16.i1299.s1293:v2,bhattacharya1968bonda:C:c1.p64.r16.i1299.s1293,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a-,a prefix forming accusative and other cases,,a-,,"bhattacharya1968bonda[p. 1, row 2, item 2]",,,bhattacharya1968bonda:C:c1.p1.r2.i2.s2,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo prefix
re,,a-,a prefix mostly used to form the negatives of imperatives and simple tenses,,a-,,"bhattacharya1968bonda[p. 1, row 1, item 1]",,,bhattacharya1968bonda:C:c1.p1.r1.i1.s1,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo prefix
re,,a:a:,yes,,a:a:,,"bhattacharya1968bonda[p. 5, row 2, item 86]",,,bhattacharya1968bonda:C:c1.p5.r2.i86.s84,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a:,yes,,a:,,"bhattacharya1968bonda[p. 5, row 2, item 86]",,,bhattacharya1968bonda:C:c1.p5.r2.i86.s84:v2,bhattacharya1968bonda:C:c1.p5.r2.i86.s84,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a?-,to be thatched,,a?-,/ḍiɔ a?ga/ the house is thatched,"bhattacharya1968bonda[p. 4, row 18, item 80]",,,bhattacharya1968bonda:C:c1.p4.r18.i80.s78,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a?-,to thatch roof,,a?-,,"bhattacharya1968bonda[p. 4, row 19, item 81]",,,bhattacharya1968bonda:C:c1.p4.r19.i81.s79,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a?a?,"bamboo, kind of mushroom, bamboo shaft supporting the roof of a hut",,a?a?,,"bhattacharya1968bonda[p. 4, row 20, item 82]",,,bhattacharya1968bonda:C:c1.p4.r20.i82.s80,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a?a,"bamboo, kind of mushroom, bamboo shaft supporting the roof of a hut",,a?a,,"bhattacharya1968bonda[p. 4, row 20, item 82]",,,bhattacharya1968bonda:C:c1.p4.r20.i82.s80:v2,bhattacharya1968bonda:C:c1.p4.r20.i82.s80,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a?bṛak'-,to yawn,,a?bṛak'-,also /'abṛak'-/,"bhattacharya1968bonda[p. 5, row 1, item 85]",,,bhattacharya1968bonda:C:c1.p5.r1.i85.s83,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a?e-,to sharpen,,a?e-,,"bhattacharya1968bonda[p. 4, row 21, item 83]",,,bhattacharya1968bonda:C:c1.p4.r21.i83.s81,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a?e-ber,whetstone,,a?e-ber,pl. /-e/,"bhattacharya1968bonda[p. 4, row 22, item 84]",,,bhattacharya1968bonda:C:c1.p4.r22.i84.s82,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,aat,cubit,,aat,,"bhattacharya1968bonda[p. 1, row 4, item 4]",,De./ha:t/,bhattacharya1968bonda:C:c1.p1.r4.i4.s4,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,aaṭ,weekly market,,aaṭ,,"bhattacharya1968bonda[p. 1, row 3, item 3]",,De./ha:ṭ/,bhattacharya1968bonda:C:c1.p1.r3.i3.s3,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,abur,self-respect,,abur,/laǰ-abur nela-rem/ one who does not have shame or self-respect,"bhattacharya1968bonda[p. 2, row 11, item 35]",,De.,bhattacharya1968bonda:C:c1.p2.r11.i35.s35,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,ager,unripe mango,,ager,,"bhattacharya1968bonda[p. 1, row 13, item 13]",,,bhattacharya1968bonda:C:c1.p1.r13.i13.s13,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,ayer,unripe mango,,ayer,,"bhattacharya1968bonda[p. 1, row 13, item 13]",,,bhattacharya1968bonda:C:c1.p1.r13.i13.s13:v2,bhattacharya1968bonda:C:c1.p1.r13.i13.s13,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,ai-,to bail out (water),,ai-,,"bhattacharya1968bonda[p. 1, row 5, item 5]",,,bhattacharya1968bonda:C:c1.p1.r5.i5.s5,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,a?i-,to bail out (water),,a?i-,,"bhattacharya1968bonda[p. 1, row 5, item 5]",,,bhattacharya1968bonda:C:c1.p1.r5.i5.s5:v2,bhattacharya1968bonda:C:c1.p1.r5.i5.s5,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,ak,here,,ak,"gen. /akna/ of this place, the one belonging to this place","bhattacharya1968bonda[p. 1, row 9, item 9]",,,bhattacharya1968bonda:C:c1.p1.r9.i9.s9,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo gen
re,,aka,here,,aka,"gen. /akna/ of this place, the one belonging to this place","bhattacharya1968bonda[p. 1, row 9, item 9]",,,bhattacharya1968bonda:C:c1.p1.r9.i9.s9:v2,bhattacharya1968bonda:C:c1.p1.r9.i9.s9,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo gen
re,,aka,an indeclinable which indicates emphasis,,aka,,"bhattacharya1968bonda[p. 1, row 10, item 10]",,De.,bhattacharya1968bonda:C:c1.p1.r10.i10.s10,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo indecl emph
re,,akɔnḍi,in this direction,,akɔnḍi,equiv. to /ak-kɔnḍi/,"bhattacharya1968bonda[p. 1, row 11, item 11]",,,bhattacharya1968bonda:C:c1.p1.r11.i11.s11,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,akɔtɔ,rice,,akɔtɔ,used in a chait-porob song; see /rɔkɔtɔ/,"bhattacharya1968bonda[p. 1, row 12, item 12]",,,bhattacharya1968bonda:C:c1.p1.r12.i12.s12,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,al-,to be shaken,,al-,,"bhattacharya1968bonda[p. 3, row 22, item 62]",,De./hal-/; see /alai-/,bhattacharya1968bonda:C:c1.p3.r22.i62.s62,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
