Juray,,abaŋɛ,"underripe, half-ripe",,abaŋɛ,,"zide1982reconstruction[p. 392, item 891]",Z82-p392-i891,Zide Sora–Juray comparison group Z82-p392-i891; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p392.i891,,,,
so,,abjel-,"to pile up earth, mound earth over, to bury",,abjel-,,"zide1982reconstruction[p. 339, item 674]",Z82-p339-i674,Zide Sora–Juray comparison group Z82-p339-i674; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p339.i674,,,,
Juray,,abʌb-si-,thumb,,abʌb-si-,,"zide1982reconstruction[p. 594, item 2389]",Z82-p594-i2389,Zide Sora–Juray comparison group Z82-p594-i2389; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p594.i2389,,,,
so,,ad-(sʌdʌd),"to push down threads on an upright loom, to drive",,ad-(sʌdʌd),,"zide1982reconstruction[p. 448, item 1363]",Z82-p448-i1363,Zide Sora–Juray comparison group Z82-p448-i1363; only this lect is indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p448.i1363,,,,
so,,ad-da,small measure,,ad-da,,"zide1982reconstruction[p. 439, item 1274]",Z82-p439-i1274,Zide Sora–Juray comparison group Z82-p439-i1274; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p439.i1274,,,,
Juray,,ad-da,small measure,,ad-da,,"zide1982reconstruction[p. 439, item 1274]",Z82-p439-i1274,Zide Sora–Juray comparison group Z82-p439-i1274; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p439.i1274,,,,
Juray,,aʔda,small measure,,aʔda,,"zide1982reconstruction[p. 439, item 1274]",Z82-p439-i1274,Zide Sora–Juray comparison group Z82-p439-i1274; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p439.i1274:v2,zide1982reconstruction:C:c2.p439.i1274,,,
Juray,,ad-rɛ,egg,,ad-rɛ,,"zide1982reconstruction[p. 283, item 452]",Z82-p283-i452,Zide Sora–Juray comparison group Z82-p283-i452; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p283.i452,,,,
Juray,,ad,egg,,ad,,"zide1982reconstruction[p. 283, item 452]",Z82-p283-i452,Zide Sora–Juray comparison group Z82-p283-i452; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p283.i452:v2,zide1982reconstruction:C:c2.p283.i452,,,
so,,ad-sin-da-,to sneeze,,ad-sin-da-,,"zide1982reconstruction[p. 369, item 770]",Z82-p369-i770,Zide Sora–Juray comparison group Z82-p369-i770; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p369.i770,,,,
so,,adara,"fish scales, facets",,adara,,"zide1982reconstruction[p. 243, item 117]",Z82-p243-i117,Zide Sora–Juray comparison group Z82-p243-i117; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p243.i117,,,,
Juray,,adara,fish scales,,adara,,"zide1982reconstruction[p. 243, item 117]",Z82-p243-i117,Zide Sora–Juray comparison group Z82-p243-i117; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p243.i117,,,,
Juray,,aj,cislocative suffix,,aj,,"zide1982reconstruction[p. 636, item 2635]",Z82-p636-i2635,Zide Sora–Juray comparison group Z82-p636-i2635; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p636.i2635,,,,suffix
so,,aj,cislocative suffix,,aj,,"zide1982reconstruction[p. 636, item 2635]",Z82-p636-i2635,Zide Sora–Juray comparison group Z82-p636-i2635; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p636.i2635,,,,suffix
Juray,,aj-bɔŋ,female buffalo,,aj-bɔŋ,,"zide1982reconstruction[p. 393, item 901]",Z82-p393-i901,Zide Sora–Juray comparison group Z82-p393-i901; only this lect is indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p393.i901,,,,
so,,ajaŋ-aon,"ancestors, father and sons, family",,ajaŋ-aon,,"zide1982reconstruction[p. 567, item 2151]",Z82-p567-i2151,Zide Sora–Juray comparison group Z82-p567-i2151; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p567.i2151,,,,
Juray,,ajoŋ-aɔn,"ancestors, father and sons, family",,ajoŋ-aɔn,,"zide1982reconstruction[p. 567, item 2151]",Z82-p567-i2151,Zide Sora–Juray comparison group Z82-p567-i2151; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p567.i2151,,,,
so,,ajɛ,green mango,,ajɛ,,"zide1982reconstruction[p. 368, item 768]",Z82-p368-i768,Zide Sora–Juray comparison group Z82-p368-i768; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p368.i768,,,,
Juray,,ajɛ,unripe mango,,ajɛ,,"zide1982reconstruction[p. 251, item 191]",Z82-p251-i191,Zide Sora–Juray comparison group Z82-p251-i191; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p251.i191,,,,
so,,ajɛ,"unripe, raw",,ajɛ,,"zide1982reconstruction[p. 251, item 191]",Z82-p251-i191,Zide Sora–Juray comparison group Z82-p251-i191; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p251.i191,,,,
Juray,,ajɛ-ul,green mango,,ajɛ-ul,,"zide1982reconstruction[p. 368, item 768]",Z82-p368-i768,Zide Sora–Juray comparison group Z82-p368-i768; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p368.i768,,,,
Juray,,ajɛH-ul,green mango,,ajɛH-ul,,"zide1982reconstruction[p. 368, item 768]",Z82-p368-i768,Zide Sora–Juray comparison group Z82-p368-i768; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p368.i768:v2,zide1982reconstruction:C:c2.p368.i768,,,
Juray,,ajɛr-ɡud-ɡɨɟ-,to look backwards,,ajɛr-ɡud-ɡɨɟ-,,"zide1982reconstruction[p. 323, item 622]",Z82-p323-i622,Zide Sora–Juray comparison group Z82-p323-i622; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p323.i622,,,,
so,,ajɛr-ɡɨɟ-,to look backwards,,ajɛr-ɡɨɟ-,,"zide1982reconstruction[p. 323, item 622]",Z82-p323-i622,Zide Sora–Juray comparison group Z82-p323-i622; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p323.i622,,,,
Juray,,al-,to thatch,,al-,,"zide1982reconstruction[p. 240, item 91]",Z82-p240-i91,Zide Sora–Juray comparison group Z82-p240-i91; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p240.i91,,,,
so,,al-,to thatch,,al-,,"zide1982reconstruction[p. 240, item 91]",Z82-p240-i91,Zide Sora–Juray comparison group Z82-p240-i91; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p240.i91,,,,
Juray,,al-sɨŋ-,"to thatch a house, newly thatched house",,al-sɨŋ-,,"zide1982reconstruction[p. 319, item 582]",Z82-p319-i582,Zide Sora–Juray comparison group Z82-p319-i582; only this lect is indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p319.i582,,,,
so,,aloŋ,"in, into (postposition), inside",,aloŋ,,"zide1982reconstruction[p. 257, item 237]",Z82-p257-i237,Zide Sora–Juray comparison group Z82-p257-i237; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p257.i237,,,,postp
so,,ʌloŋ,"in, into (postposition), inside",,ʌloŋ,,"zide1982reconstruction[p. 257, item 237]",Z82-p257-i237,Zide Sora–Juray comparison group Z82-p257-i237; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p257.i237:v2,zide1982reconstruction:C:c1.p257.i237,,,postp
so,,alu-da-,sprinkle consecrated water on a sick person,,alu-da-,,"zide1982reconstruction[p. 238, item 75]",Z82-p238-i75,Zide Sora–Juray comparison group Z82-p238-i75; only this lect is indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p238.i75,,,,
Juray,,alɛd-lɛd-,"unsteady, unstable",,alɛd-lɛd-,,"zide1982reconstruction[p. 512, item 1822]",Z82-p512-i1822,Zide Sora–Juray comparison group Z82-p512-i1822; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p512.i1822,,,,
Juray,,alɨn-,to thresh by trampling,,alɨn-,,"zide1982reconstruction[p. 276, item 394]",Z82-p276-i394,Zide Sora–Juray comparison group Z82-p276-i394; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p276.i394,,,,
Juray,,alen-,to thresh by trampling,,alen-,,"zide1982reconstruction[p. 276, item 394]",Z82-p276-i394,Zide Sora–Juray comparison group Z82-p276-i394; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p276.i394:v2,zide1982reconstruction:C:c2.p276.i394,,,
Juray,,am-ben,you,,am-ben,,"zide1982reconstruction[p. 388, item 850]",Z82-p388-i850,Zide Sora–Juray comparison group Z82-p388-i850; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p388.i850,,,,pl
so,,am-ben,you,,am-ben,,"zide1982reconstruction[p. 388, item 850]",Z82-p388-i850,Zide Sora–Juray comparison group Z82-p388-i850; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p388.i850,,,,pl
Juray,,am-da-,to skim off,,am-da-,,"zide1982reconstruction[p. 242, item 108]",Z82-p242-i108,Zide Sora–Juray comparison group Z82-p242-i108; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p242.i108,,,,
so,,am-da-,to skim off,,am-da-,,"zide1982reconstruction[p. 242, item 108]",Z82-p242-i108,Zide Sora–Juray comparison group Z82-p242-i108; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p242.i108,,,,
Juray,,amjʌl-,"to pile earth over, to bury, mound earth over",,amjʌl-,,"zide1982reconstruction[p. 339, item 674]",Z82-p339-i674,Zide Sora–Juray comparison group Z82-p339-i674; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p339.i674,,,,
