Mai-Jijal,,ʌkhɑ̄́r,a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds),,,"m; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B); dictionary POS: n.m",zoller2005,,< OIA *ayaskāra-.
Mai-Shatot,,ʌkhɑ̄́r,a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds),,,"m; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B); dictionary POS: n.m",zoller2005,,< OIA *ayaskāra-.
bhatr,,àkhār,a smith; name of a star in Ursa Major; name of a bird (it is said to be the smith among the birds),,,"m; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhɑ̄́r, -àh (G, J, Š); G has also pl. -i; àkhār (B); dictionary POS: n.m",zoller2005,,< OIA *ayaskāra-.
Mai-Jijal,,ʌkhārī̀,wife of a smith; a type of bird,,,"f; derived; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š); dictionary POS: n.f",zoller2005,,← prec̣
Mai-Shatot,,ʌkhārī̀,wife of a smith; a type of bird,,,"f; derived; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š); dictionary POS: n.f",zoller2005,,← prec̣
Mai-Jijal,,ʌkhḕr,wife of a smith; a type of bird,,,"f; derived; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š); dictionary POS: n.f",zoller2005,,← prec̣
Mai-Shatot,,ʌkhḕr,wife of a smith; a type of bird,,,"f; derived; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhārī̀, -ah or ʌkhḕr, -ah (J, Š); dictionary POS: n.f",zoller2005,,← prec̣
bhatr,,akhāriē̃,wife of a smith,,,"f; Zoller 2005 ch. 4, p. 62; dictionary head: akhāriē̃ (B); dictionary POS: n.f",zoller2005,,
Mai-Jijal,,ʌkhíli,,,,"adj; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhíli; dictionary POS: adj.f",zoller2005,,
Mai-Jijal,,ʌkhíṣ,intelligent; quick-witted,,,"adj; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhíṣ1; dictionary POS: adj; adj; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhíṣ2 or ʌkhī́ṣ; dictionary POS: adj.f",zoller2005,,
Mai-Jijal,,ʌkhī́ṣ,,,,"adj; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkhíṣ2 or ʌkhī́ṣ; dictionary POS: adj.f",zoller2005,,
Mai-Jijal,,ʌkhḗl,knotty (as a tree),,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: ʌkhḗl; dictionary POS: adj.m",zoller2005,,
Mai-Jijal,,ʌkhḗṣ,broken (any object); not working (machine); terrible (person),,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: ʌkhḗṣ; dictionary POS: adj.m",zoller2005,,
bhatr,,ɑxū̀r,hay manger,,,"m; Zoller 2005 ch. 4, p. 63; dictionary head: ɑxū̀r, axòr (B); dictionary POS: n.m",zoller2005,,
bhatr,,axòr,hay manger,,,"m; Zoller 2005 ch. 4, p. 63; dictionary head: ɑxū̀r, axòr (B); dictionary POS: n.m",zoller2005,,
