fuv,9108,feṇa,"foam, surf",ފެޱަ,,,fritz,,,legacy:20220913-dhivehi:row:51,,,,
fuv,1268,aᵐbo,mango,އަނބޮ,,,fritz,,,legacy:20220913-dhivehi:row:52,,,,
fuv,574,aᵐbu,wife,އަނބު,,,fritz,,,legacy:20220913-dhivehi:row:53,,,,
fuv,12588,iⁿgiri,ginger,އިނގިރި,,,fritz,,,legacy:20220913-dhivehi:row:54,,,,
fuv,4661,haⁿdo,moon,ހަނދޮ,,,fritz,,,legacy:20220913-dhivehi:row:55,,,,
fuv,12578,hiyaḷo,"fox, jackal",ހިޔަޅޮ,,,fritz,,,legacy:20220913-dhivehi:row:56,,,,
fuv,13454,huvaⁿdo,"fragrance, perfume",ހުވަނދޮ,,,fritz,,,legacy:20220913-dhivehi:row:57,,,,
fuv,3949,gehe,tree,ގެހެ,,,fritz,,,legacy:20220913-dhivehi:row:58,,,,
fuv,1634,uhu,tall,އުހު,,,fritz,,,legacy:20220913-dhivehi:row:59,,,,
fuv,9250,bihi,egg,ބިހި,,,fritz,,,legacy:20220913-dhivehi:row:60,,,,
fuv,8929,fā̃ṇi,worm,,,,fritz,,,legacy:20220913-dhivehi:row:61,,,,
fuv,2389,huṇu,"warm, hot",ހުޱު,,,fritz,,,legacy:20220913-dhivehi:row:62,,,,
fuv,1728,ukuṇu,"flea, louse",އުކުޱު,,,fritz,,,legacy:20220913-dhivehi:row:63,,,,
fuv,3257,kuṇi,"dirt; dirty, rotten",ކުޱި,,,fritz,,,legacy:20220913-dhivehi:row:64,,,,
fuv,6119,dekuṇu,south,ދެކުޱު,,,fritz,,,legacy:20220913-dhivehi:row:65,,,,
fuv,774,vaḍo,well,ވަދޮ,,,fritz,,,legacy:20220913-dhivehi:row:66,,,,
fuv,e23,don̊kēl,banana,ދޮންކޭލް,,,fritz,,,legacy:20220913-dhivehi:row:67,,,,
fuv,e24,don̊vēli,"fine, white coral sand",ދޮންވޭލި,,,fritz,,,legacy:20220913-dhivehi:row:68,,,,
fuv,11580,vēli,sand,ވޭލި,,,fritz,,,legacy:20220913-dhivehi:row:69,,,,
fuv,9303,berāsfati,Thursday,ބެރާސްފަތި,,likely loanword/semi-native form,fritz,,,legacy:20220913-dhivehi:row:70,,,,
fuv,10694,rādde,"state, empire, kingdom",ރާއްދެ,,likely loanword/semi-native form,fritz,,,legacy:20220913-dhivehi:row:71,,,,
fuv,9209,bappā,father,ބައްޕާ,,,fritz,,,legacy:20220913-dhivehi:row:72,,,,
fuv,e25,vāreheduni,rainbow,ވާރެހެދުނި,,,fritz,,,legacy:20220913-dhivehi:row:73,,,,
fuv,e26,dagaⁿḍo,iron,ދަގަނޑޮ,,,fritz,,,legacy:20220913-dhivehi:row:74,,,,
fuv,248,daṣi,"below, beneath",ދަށި,,,fritz,,,legacy:20220913-dhivehi:row:75,,,,
fuv,6298,daro,firewood,ދަރޮ,,,fritz,,,legacy:20220913-dhivehi:row:76,,,,
fuv,7945,farobada,mountain,ފަރޮބަދަ,,likely loanword/semi-native form,fritz,,,legacy:20220913-dhivehi:row:77,,,,
fuv,8315,fuvak̊,betel nut,ފުވައް,,,fritz,,,legacy:20220913-dhivehi:row:78,,,,
fuv,13011,aharo,year,އަހަރޮ,,,fritz,,,legacy:20220913-dhivehi:row:79,,,,
fuv,9407,baḷo,dog,ބަޅޮ,,unexpected retroflexion,fritz,,,legacy:20220913-dhivehi:row:80,,,,
fuv,6663,doro,door,ދޮރޮ,,,fritz,,,legacy:20220913-dhivehi:row:81,,,,
fuv,7752,fiyāḷo,"foot, step",ފިޔާޅޮ,,,fritz,,,legacy:20220913-dhivehi:row:82,,,,
fuv,3607,koⁿdo,shoulder,ކޮނދޮ,,unexpected prenasalization & deretroflexion,fritz,,,legacy:20220913-dhivehi:row:83,,,,
fuv,3550,koṣāro,storehouse,ކޮށާރޮ,,,fritz,,,legacy:20220913-dhivehi:row:84,,,,
fuv,9712,mado,kernel of coconut,މަދޮ,,,fritz,,,legacy:20220913-dhivehi:row:85,,,,
fuv,13794,nāro,"vein, nerve, blood-vessel",ނާޱޮ,,,fritz,,,legacy:20220913-dhivehi:row:86,,,,
fuv,12096,oṇo,bamboo,އޮޱޮ,,,fritz,,,legacy:20220913-dhivehi:row:87,,,,
fuv,e27,fādigimakuḍu,spider,ފާދިގިމަކުޑު,,,fritz,,,legacy:20220913-dhivehi:row:88,,,,
fuv,e28,bakamūṇu,owl,ބަކަމޫޱު,,,fritz,,,legacy:20220913-dhivehi:row:89,,,,
fuv,10158,mūṇu,face,މޫޱު,,,fritz,,,legacy:20220913-dhivehi:row:90,,,,
fuv,2619,kahuᵐbu,turtle,ކަހުނބު,,,fritz,,,legacy:20220913-dhivehi:row:91,,,,
fuv,3469,keuḷu,chief of the Dhoni-crew,ކެއުޅު,,,fritz,,,legacy:20220913-dhivehi:row:92,,,,
fuv,1485,eⁿde,bed,އެނދެ,,,fritz,,,legacy:20220913-dhivehi:row:93,,,,
fuv,9615,bere,drum,ބެރެ,,,fritz,,,legacy:20220913-dhivehi:row:94,,,,
fuv,3474,kehuru,fur,ކެހުރު,,,fritz,,,legacy:20220913-dhivehi:row:95,,,,
fuv,4489,guguru,thunder,ގުގުރު,,,fritz,,,legacy:20220913-dhivehi:row:96,,,,
fuv,3759,kiḷi,saliva,ކިޅި,,,fritz,,,legacy:20220913-dhivehi:row:97,,,,
