khet,2411,unvī,nineteen,,,,elfenbein
khet,11616,vīh,20,,,,elfenbein
khet,?,vīʰɗa,30,,,,elfenbein
khet,?,vīhyārā̃,31,,,,elfenbein
khet,?,vīhbārā̃,32,,,,elfenbein
khet,?,ɓa vīhā̃,40,,,,elfenbein
khet,?,ɓa vīhā̃ ta ɗa,50,,,,elfenbein
khet,?,tre vīhā̃,60,,,,elfenbein
khet,?,saṭʰ ta ɗa,70,,,,elfenbein
khet,?,cār vīhā̃,80,,,,elfenbein
khet,?,cār vīhā̃ ta ɗa,90,,,,elfenbein
khet,992.1,ā̃,I,,,,elfenbein
khet,986,asa,we,,,,elfenbein
khet,5889,tū̃,you (sg.),,,,elfenbein
khet,5889,tū,you (sg.),,,,elfenbein
khet,?,tava,you (pl.),,,,elfenbein
