Sv,,hangaːru,fire,,hangaːru,,"knobloch2020sauji[p. 13, Table 2, /g/ medial]",,,knobloch2020sauji:t2:g:medial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,jaŋg,"fight, conflict",,jaŋg,,"knobloch2020sauji[p. 13, Table 2, /g/ final]",,,knobloch2020sauji:t2:g:final,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,qaziː,judge,,qaziː,,"knobloch2020sauji[p. 13, Table 2, /q/ initial];buddruss1967sau[p. 125];knobloch2020sauji[p. 13, Table 2, /z/ medial]",,,knobloch2020sauji:t2:q:initial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,kamaqal,stupid,,kamaqal,,"knobloch2020sauji[p. 13, Table 2, /q/ medial];buddruss1967sau[p. 107]",,,knobloch2020sauji:t2:q:medial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,qaʃuq,spoon,,qaʃuq,,"knobloch2020sauji[p. 13, Table 2, /q/ final];buddruss1967sau[p. 124]",,,knobloch2020sauji:t2:q:final,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,ʈ͡ʂir,milk,,ʈ͡ʂir,,"knobloch2020sauji[p. 13, Table 2, /ʈ͡ʂ/ initial]",,,knobloch2020sauji:t2:ʈ͡ʂ:initial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,anʈ͡ʂiː,eye,,anʈ͡ʂiː,,"knobloch2020sauji[p. 13, Table 2, /ʈ͡ʂ/ medial]",,,knobloch2020sauji:t2:ʈ͡ʂ:medial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,inʈ͡ʂ,bear,,inʈ͡ʂ,,"knobloch2020sauji[p. 13, Table 2, /ʈ͡ʂ/ final]",,,knobloch2020sauji:t2:ʈ͡ʂ:final,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,t͡ʃut͡ʃuː,breast,,t͡ʃut͡ʃuː,,"knobloch2020sauji[p. 13, Table 2, /t͡ʃ/ initial];knobloch2020sauji[p. 14, Table 4, /u/ example 2]",,,knobloch2020sauji:t2:t͡ʃ:initial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,kut͡ʃuroː,dog,,kut͡ʃuroː,,"knobloch2020sauji[p. 13, Table 2, /t͡ʃ/ medial]",,,knobloch2020sauji:t2:t͡ʃ:medial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,ʈikut͡ʃ,scorpion,,ʈikut͡ʃ,,"knobloch2020sauji[p. 13, Table 2, /t͡ʃ/ final]",,,knobloch2020sauji:t2:t͡ʃ:final,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,t͡ʃʰɑːlɛ,goat,,t͡ʃʰɑːlɛ,,"knobloch2020sauji[p. 13, Table 2, /t͡ʃʰ/ initial]",,,knobloch2020sauji:t2:t͡ʃʰ:initial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,d͡ʒuj,louse,,d͡ʒuj,,"knobloch2020sauji[p. 13, Table 2, /d͡ʒ/ initial]",,,knobloch2020sauji:t2:d͡ʒ:initial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,bud͡ʒiloː,hear,,bud͡ʒiloː,,"knobloch2020sauji[p. 13, Table 2, /d͡ʒ/ medial]",,,knobloch2020sauji:t2:d͡ʒ:medial,,,,verb pres m sg dialect:Sv:HKAT-sdg:Sau
Sv,,suːri,sun,,suːri,,"knobloch2020sauji[p. 13, Table 2, /s/ initial];knobloch2020sauji[p. 14, Table 4, /u/ example 1]",,,knobloch2020sauji:t2:s:initial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,asi,we,,asi,,"knobloch2020sauji[p. 13, Table 2, /s/ medial];knobloch2020sauji[p. 20, Table 6, Ergative/Genitive 1pl];knobloch2020sauji[p. 20, example (24) word 1, data 36_S_100213];knobloch2020sauji[p. 20, example (25) word 2, data 36_S_100213];knobloch2020sauji[p. 32, example (60) word 1, data 36_S_100213]",,,knobloch2020sauji:t2:s:medial,,,,1pl pron erg dialect:Sv:HKAT-sdg:Sau gen personal
Sv,,naːs,nose,,naːs,,"knobloch2020sauji[p. 13, Table 2, /s/ final];knobloch2020sauji[p. 13, Table 2, /n/ initial]",,,knobloch2020sauji:t2:s:final,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,zindagi,life,,zindagi,,"knobloch2020sauji[p. 13, Table 2, /z/ initial]",,,knobloch2020sauji:t2:z:initial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,meːz,table,,meːz,,"knobloch2020sauji[p. 13, Table 2, /z/ final]",,,knobloch2020sauji:t2:z:final,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,ʂinga,horn,,ʂinga,,"knobloch2020sauji[p. 13, Table 2, /ʂ/ initial]",,,knobloch2020sauji:t2:ʂ:initial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,deːʂoː,see,,deːʂoː,,"knobloch2020sauji[p. 13, Table 2, /ʂ/ medial]",,,knobloch2020sauji:t2:ʂ:medial,,,,verb pret dialect:Sv:HKAT-sdg:Sau
Sv,,baːriʂ,year,,baːriʂ,,"knobloch2020sauji[p. 13, Table 2, /ʂ/ final]",,,knobloch2020sauji:t2:ʂ:final,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,ʃaŋko,wood,,ʃaŋko,,"knobloch2020sauji[p. 13, Table 2, /ʃ/ initial]",,,knobloch2020sauji:t2:ʃ:initial,,,,noun dialect:Sv:HKAT-sdg:Sau
Sv,,uːʃiː,wind,,uːʃiː; uː.ʃiː,,"knobloch2020sauji[p. 13, Table 2, /ʃ/ medial];knobloch2020sauji[p. 15, example (1) V]",,,knobloch2020sauji:t2:ʃ:medial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,biʃ,twenty,,biʃ,,"knobloch2020sauji[p. 13, Table 2, /ʃ/ final]",,,knobloch2020sauji:t2:ʃ:final,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,xalaka,people,,xalaka,,"knobloch2020sauji[p. 13, Table 2, /x/ initial];knobloch2020sauji[p. 15, example (2)c word 2];knobloch2020sauji[p. 25, example (39) word 6, data 19_NU_000819];knobloch2020sauji[p. 30, example (54) word 6, data 19_NU_000819];knobloch2020sauji[p. 49, example (82) word 2, data 20_NU_000819];knobloch2020sauji[p. 50, example (83) word 2, data 10_MAN_000512]",,,knobloch2020sauji:t2:x:initial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,vaxti,time,,vaxti,,"knobloch2020sauji[p. 13, Table 2, /x/ medial];knobloch2020sauji[p. 13, Table 2, /v/ initial]",,,knobloch2020sauji:t2:x:medial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,xwax,good,,xwax,,"knobloch2020sauji[p. 13, Table 2, /x/ final]",,,knobloch2020sauji:t2:x:final,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,paːɣas,clean,,paːɣas,,"knobloch2020sauji[p. 13, Table 2, /ɣ/ medial]",,,knobloch2020sauji:t2:ɣ:medial,,,,dialect:Sv:HKAT-sdg:Sau
Sv,,hino,be,,hino,,"knobloch2020sauji[p. 13, Table 2, /h/ initial]",,,knobloch2020sauji:t2:h:initial,,,,verb copula pres m sg dialect:Sv:HKAT-sdg:Sau
Sv,,taːri,star,,taːri,,"knobloch2020sauji[p. 13, Table 2, /r/ medial];knobloch2020sauji[p. 14, Table 4, /aː/ example 1]",,,knobloch2020sauji:t2:r:medial,,,,dialect:Sv:HKAT-sdg:Sau
