Telugu,d228,aravaralu,"bits, fragments",,,,"burrow-emeneau1972den1[p. 400, entry 191(a)]",,DEN I (1972) records this reflex under old main 191; resolved to current DEDR d228.,burrow-emeneau1972den1:p400:u011:f001,,,,source-addition
Telugu,d228,aravaralu,"bits, fragments",,,,"burrow-emeneau1972den1[p. 400, entry 191(a)]",,DEN I (1972) records this variant under old main 191; resolved to current DEDR d228.,burrow-emeneau1972den1:p400:u011:f002,,,,source-addition variant
Telugu,d228,aravuḍu,"a bit, fragment",,,,"burrow-emeneau1972den1[p. 400, entry 191(a)]",,DEN I (1972) records this reflex under old main 191; resolved to current DEDR d228.,burrow-emeneau1972den1:p400:u011:f003,,,,source-addition
Pengo,d228,rec- (-c-),"to scrape (tongue with toothstick), sharpen (pencil)",,,verb,"burrow-emeneau1972den1[p. 400, entry 191(a)]",,DEN I (1972) records this reflex under old main 191; resolved to current DEDR d228.,burrow-emeneau1972den1:p400:u011:f004,,,,source-addition
Tulu,d229,arāḷů,a person doing half a day's work,,,,"burrow-emeneau1972den1[p. 400, entry 192]",,DEN I (1972) records this reflex under old main 192; resolved to current DEDR d229.,burrow-emeneau1972den1:p400:u012:f001,,,,source-addition
Malayalam,d240,anaṅṅuka,"to move, shake",,,verb,"burrow-emeneau1972den1[p. 400, entry 203]",,DEN I (1972) records this reflex under old main 203; resolved to current DEDR d240.,burrow-emeneau1972den1:p400:u015:f001,,,,source-addition
Malayalam,d240,anakkuka,"to shake, fan, excite",,,verb,"burrow-emeneau1972den1[p. 400, entry 203]",,DEN I (1972) records this variant under old main 203; resolved to current DEDR d240.,burrow-emeneau1972den1:p400:u015:f002,,,,source-addition variant
Malayalam,d240,anakkam,"moving, shaking",,,noun,"burrow-emeneau1972den1[p. 400, entry 203]",,DEN I (1972) records this derived under old main 203; resolved to current DEDR d240.,burrow-emeneau1972den1:p400:u015:f003,,,,source-addition derived
Tamil,d246,alaittal,to wash clothes by moving them about in water,,,"source label: RS, p. 128, item 47; verb","burrow-emeneau1972den1[p. 400, entry 208]",,DEN I (1972) records this reflex under old main 208; resolved to current DEDR d246.,burrow-emeneau1972den1:p400:u016:f001,,,,source-addition
Tamil,d258,alliyam,Kṛṣṇa's dance when he broke the tusk of the elephant that was set on him by Kaṃsa,,,,"burrow-emeneau1972den1[p. 400, entry 219]",,DEN I (1972) records this reflex under old main 219; resolved to current DEDR d258.,burrow-emeneau1972den1:p400:u017:f001,,,,source-addition
