tagin_taliha,,nulu,2nd pl. (familiar),,nulu,,abraham-sako2021[p. 57],,,tagin-puroik:305:d:1
bugun_bichom,,nathek,2nd pl. (honorific),,nathek,,abraham-sako2021[p. 57],,,tagin-puroik:306:x:1
bugun_kaspi,,nathe,2nd pl. (honorific),,nathe,,abraham-sako2021[p. 57],,,tagin-puroik:306:y:1
bugun_namphri,,nathəa,2nd pl. (honorific),,nathəa,,abraham-sako2021[p. 57],,,tagin-puroik:306:z:1
bugun_singchung,,nathəa,2nd pl. (honorific),,nathəa,,abraham-sako2021[p. 57],,,tagin-puroik:306:v:1
bugun_wangho,,nathəa,2nd pl. (honorific),,nathəa,,abraham-sako2021[p. 57],,,tagin-puroik:306:w:1
nyishi_chimpu,,nul,2nd pl. (honorific),,nul,,abraham-sako2021[p. 57],,,tagin-puroik:306:g:1
puroik_chug,,narei,2nd pl. (honorific),,narei,,abraham-sako2021[p. 57],,,tagin-puroik:306:c:1
puroik_gari,,nagaɲi,2nd pl. (honorific),,nagaɲi,,abraham-sako2021[p. 57],,,tagin-puroik:306:b:1
puroik_paji,,nagaita,2nd pl. (honorific),,nagaita,,abraham-sako2021[p. 57],,,tagin-puroik:306:e:1
puroik_phereng,,nagaɲi,2nd pl. (honorific),,nagaɲi,,abraham-sako2021[p. 57],,,tagin-puroik:306:a:1
tagin_baki,,nunu,2nd pl. (honorific),,nunu,,abraham-sako2021[p. 57],,,tagin-puroik:306:l:1
tagin_baki,,nunu,2nd pl. (honorific),,nunu,,abraham-sako2021[p. 57],,,tagin-puroik:306:l:2
tagin_maskia,,nolu,2nd pl. (honorific),,nolu,,abraham-sako2021[p. 57],,,tagin-puroik:306:n:1
tagin_nacho,,banuno,2nd pl. (honorific),,banuno,,abraham-sako2021[p. 57],,,tagin-puroik:306:k:1
tagin_sippi,,nunu,2nd pl. (honorific),,nunu,,abraham-sako2021[p. 57],,,tagin-puroik:306:j:1
tagin_sippi,,nunu,2nd pl. (honorific),,nunu,,abraham-sako2021[p. 57],,,tagin-puroik:306:j:2
tagin_takseng,,nonu,2nd pl. (honorific),,nonu,,abraham-sako2021[p. 57],,,tagin-puroik:306:f:1
tagin_takseng,,nonu,2nd pl. (honorific),,nonu,,abraham-sako2021[p. 57],,,tagin-puroik:306:f:2
tagin_taliha,,nulu,2nd pl. (honorific),,nulu,,abraham-sako2021[p. 57],,,tagin-puroik:306:d:1
bugun_bichom,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:x:1
bugun_kaspi,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:y:1
bugun_namphri,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:z:1
bugun_singchung,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:v:1
