Pr,n1273,kuṇḍuṇḍ,steering pole of plow,,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:10,,,,noun
Kt,n1272,ḍún-ḍun ku-,to harass,,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:11,,,,verb multiword-expression dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Kt,n1272,kamḍén,"guiding stick attached to the neck of a plow-driving ox; yoke, wooden crosspiece fastened over the necks of two animals",,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:12,,,,noun m dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Pr,n1273,kuṇḍuṇḍ,steering pole of plow,,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:13,,,,noun loanword
Kt,n1272,ḍen,fine (penalty),,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:14,,,,noun m
Wg,n1272,ḍan,fine (penalty),,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:15,,,,noun dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Ash,n1273,ḍën,fine (penalty),,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:16,,,,noun dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Pr,n1273,ḍëṇḍ,fine (penalty),,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:17,,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 loanword
Pr,n1273,ḍën,fine (penalty),,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:17:alt:2,nured:206:form:17,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 loanword alternate
Pr,n1273,ḍin,fine (penalty),,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:17:alt:3,nured:206:form:17,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 loanword alternate
Wg,n1272,duṇík,"thin, light stick made from olive wood",,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:18,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29
Kt,nured-208,ṭanë́,"walnut shell, corn cob",,,,"nured[page 208, revision 1823, 2025-10-17]",,,nured:208:form:1,,,,noun f dialect:Kt:nured-Kt-w:Western%20Kat%C3%AB dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Kt,nured-210,püṇ bu-,to become very fat,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:1,,,,verb multiword-expression
Pr,nured-210,ipün,one [used only in counting],,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:2,,,,num
Pr,nured-210,üpün,one [used only in counting],,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:2:alt:2,nured:210:form:2,,,num alternate
Kt,nured-210,püṇǘ,"kidney, calf (of leg)",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:3,,,,noun m dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,nured-210,püṇí,calf (of leg),,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:4,,,,noun dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
