loke_kagbeni,,ɲæktsa,neck,,ɲæktsa,Source lexical-similarity group 2,khadgi-marcuson-marcuson2021mustang[p. 126],,,mustang:5:loke_kagbeni:1
loke_lo_manthang,,ʂa,hair,,ʂa,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 126],,,mustang:6:loke_lo_manthang:1
loke_ghiling,,ʂa,hair,,ʂa,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 126],,,mustang:6:loke_ghiling:1
loke_chhosher,,ʂa,hair,,ʂa,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 126],,,mustang:6:loke_chhosher:1
loke_jharkot,,hɻ̥a,hair,,hɻ̥a,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 126],,,mustang:6:loke_jharkot:1
loke_kagbeni,,hɻ̥a,hair,,hɻ̥a,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 126],,,mustang:6:loke_kagbeni:1
loke_lo_manthang,,ŋo̤roŋ,face,,ŋo̤roŋ,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:7:loke_lo_manthang:1
loke_chhosher,,ŋo̤roŋ,face,,ŋo̤roŋ,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:7:loke_chhosher:1
loke_ghiling,,ŋo̤toŋ,face,,ŋo̤toŋ,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:7:loke_ghiling:1
loke_jharkot,,ŋo̤toŋ,face,,ŋo̤toŋ,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:7:loke_jharkot:1
loke_kagbeni,,ŋo̤rtuŋ,face,,ŋo̤rtuŋ,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:7:loke_kagbeni:1
loke_lo_manthang,,mik,eye,,mik,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:8:loke_lo_manthang:1
loke_ghiling,,mik,eye,,mik,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:8:loke_ghiling:1
loke_chhosher,,mik,eye,,mik,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:8:loke_chhosher:1
loke_jharkot,,mik,eye,,mik,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:8:loke_jharkot:1
loke_kagbeni,,mik,eye,,mik,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:8:loke_kagbeni:1
loke_lo_manthang,,a̤mdʑok,ear,,a̤mdʑok,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:9:loke_lo_manthang:1
loke_ghiling,,a̤mdʑok,ear,,a̤mdʑok,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:9:loke_ghiling:1
loke_chhosher,,a̤mdʑok,ear,,a̤mdʑok,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:9:loke_chhosher:1
loke_jharkot,,a̤mdʑok,ear,,a̤mdʑok,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:9:loke_jharkot:1
loke_kagbeni,,a̤mdʑok,ear,,a̤mdʑok,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:9:loke_kagbeni:1
loke_lo_manthang,,na,nose,,na,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:10:loke_lo_manthang:1
loke_ghiling,,na,nose,,na,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:10:loke_ghiling:1
loke_chhosher,,nacciː,nose,,nacciː,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:10:loke_chhosher:1
loke_jharkot,,nerci,nose,,nerci,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:10:loke_jharkot:1
loke_kagbeni,,nerci,nose,,nerci,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:10:loke_kagbeni:1
loke_lo_manthang,,kʰa,mouth,,kʰa,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:11:loke_lo_manthang:1
loke_ghiling,,kʰa,mouth,,kʰa,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:11:loke_ghiling:1
loke_chhosher,,kʰa,mouth,,kʰa,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:11:loke_chhosher:1
loke_jharkot,,kʰirkiː,mouth,,kʰirkiː,Source lexical-similarity group 2,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:11:loke_jharkot:1
loke_kagbeni,,kʰerkiː,mouth,,kʰerkiː,Source lexical-similarity group 2,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:11:loke_kagbeni:1
loke_lo_manthang,,so,tooth,,so,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:12:loke_lo_manthang:1
loke_ghiling,,so,tooth,,so,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:12:loke_ghiling:1
loke_chhosher,,so,tooth,,so,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:12:loke_chhosher:1
loke_jharkot,,so,tooth,,so,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:12:loke_jharkot:1
loke_kagbeni,,so,tooth,,so,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:12:loke_kagbeni:1
